Question,Answer,Comment,Instruction,Render As
お邪魔します,"おじゃまします","I'm coming in; please excuse the intrusion","Guess the reading (3k:邪,魔)",Image
一顧,"いっこ","a little thought; glance; slightest attention; slightest consideration; slightest notice","Guess the reading (3k:顧)",Image
不穏,"ふおん","disquieting; disturbing; restless; threatening; turbulent; unsettled","Guess the reading (3k:穏)",Image
丘陵,"きゅうりょう","hill","Guess the reading (3k:陵)",Image
乱伐,"らんばつ","overcutting of forests; reckless deforestation","Guess the reading (3k:伐)",Image
乳房,"にゅうぼう,ちぶさ","breast; udder,breast; udder","Guess the reading (3k:房)",Image
了承,"りょうしょう","acknowledgement; acknowledgment; approval; consent; understanding","Guess the reading (3k:了)",Image
了解,"りょうかい","agreement; comprehension; consent; understanding; OK; roger","Guess the reading (3k:了)",Image
互換,"ごかん","transposition; compatible (e.g. PC); interchange","Guess the reading (3k:換)",Image
亡霊,"ぼうれい","apparition; departed spirit; ghost; soul of the dead","Guess the reading (3k:霊)",Image
人畜,"じんちく","men and animals","Guess the reading (3k:畜)",Image
仏壇,"ぶつだん","Buddhist (household) altar","Guess the reading (3k:壇)",Image
令嬢,"れいじょう","(your) daughter; daughter of a good family; young woman","Guess the reading (3k:嬢)",Image
任免,"にんめん","appointments and dismissal","Guess the reading (3k:免)",Image
企図,"きと","plan; project; scheme","Guess the reading (3k:企)",Image
企業,"きぎょう","business; company; corporation; enterprise","Guess the reading (3k:企)",Image
企画,"きかく","arrangements; plan; planning; project","Guess the reading (3k:企)",Image
伐採,"ばっさい","cutting down trees; felling timber; logging; lumbering","Guess the reading (3k:伐)",Image
休憩,"きゅうけい","break; intermission; recess; rest","Guess the reading (3k:憩)",Image
伴奏,"ばんそう","(musical) accompaniment","Guess the reading (3k:伴)",Image
伸び悩む,"のびなやむ","to be sluggish; to fail to improve; to level off; to make little progress; to not grow as much as expected; to show little growth","Guess the reading (3k:伸)",Image
伸び率,"のびりつ","coefficient of extension; growth rate","Guess the reading (3k:伸)",Image
伸縮,"しんしゅく","elasticity; expansion and contraction; flexibility","Guess the reading (3k:伸)",Image
佳境,"かきょう","beautiful place; climax; good part; most interesting part (of a story); scenic spot","Guess the reading (3k:佳)",Image
侍従,"じじゅう","chamberlain","Guess the reading (3k:侍)",Image
供宴,"きょうえん","banquet; feast","Guess the reading (3k:宴)",Image
供託,"きょうたく","deposit","Guess the reading (3k:託)",Image
俳壇,"はいだん","the world of the haiku","Guess the reading (3k:壇)",Image
倒錯,"とうさく","inversion; perversion","Guess the reading (3k:錯)",Image
値崩れ,"ねくずれ","price collapse","Guess the reading (3k:崩)",Image
倹約,"けんやく","economy; frugality; thrift","Guess the reading (3k:倹)",Image
停滞,"ていたい","accumulation; congestion; delay; falling into arrears; stagnation; standstill; tie-up","Guess the reading (3k:滞)",Image
偶像,"ぐうぞう","idol; image; statue","Guess the reading (3k:偶)",Image
傍聴,"ぼうちょう","attending (without participating); listening (to a lecture, hearing, parliament session, etc.); observing; sitting in (e.g. on a meeting)","Guess the reading (3k:聴)",Image
催促,"さいそく","demand; demanding; pressing; urging","Guess the reading (3k:催,促)",Image
催涙,"さいるい","tear-inducing","Guess the reading (3k:催)",Image
催眠,"さいみん","hypnosis","Guess the reading (3k:催)",Image
債券,"さいけん","bond; debenture","Guess the reading (3k:債)",Image
債務,"さいむ","debt; liabilities; obligation to a person or party (usu. legal or contractual)","Guess the reading (3k:債)",Image
債権,"さいけん","claim; credit","Guess the reading (3k:債)",Image
傾聴,"けいちょう","listening closely","Guess the reading (3k:聴)",Image
僧籍,"そうせき","priesthood","Guess the reading (3k:籍)",Image
優遇,"ゆうぐう","favorable treatment; favourable treatment; good treatment; hearty welcome; hospitality; warm reception","Guess the reading (3k:遇)",Image
克己,"こっき","self control; self denial","Guess the reading (3k:克)",Image
免状,"めんじょう","certificate; diploma; licence; license; permit","Guess the reading (3k:免)",Image
免税,"めんぜい","duty exemption; tax exemption","Guess the reading (3k:免)",Image
免罪,"めんざい","indulgence; pardon; remission of sin; acquittal","Guess the reading (3k:免)",Image
免職,"めんしょく","discharge; dismissal; sacking","Guess the reading (3k:免)",Image
免許,"めんきょ","certificate; licence; license; permission; permit","Guess the reading (3k:免)",Image
免責,"めんせき","disclaimer; exemption from responsibility","Guess the reading (3k:免)",Image
免除,"めんじょ","discharge; exemption; exoneration","Guess the reading (3k:免)",Image
党籍,"とうせき","party membership; party register","Guess the reading (3k:籍)",Image
入れ墨,"いれずみ","tattoo (esp. a traditional Japanese one); tattooing","Guess the reading (3k:墨)",Image
兵糧,"ひょうろう","(army) provisions; food","Guess the reading (3k:糧)",Image
円弧,"えんこ","arc","Guess the reading (3k:弧)",Image
再審,"さいしん","reexamination; reopening of a case; retrial; review","Guess the reading (3k:審)",Image
冗舌,"にょうぜつ,じょうぜつ","garrulity; loquacity; talkativeness,garrulity; loquacity; talkativeness","Guess the reading (3k:冗)",Image
冠状,"かんじょう","coronal; coronary; coronate","Guess the reading (3k:冠)",Image
凍傷,"とうしょう","chilblains; frostbite","Guess the reading (3k:凍)",Image
凝り性,"こりしょう","susceptibility for a stiffening of the shoulders; fastidiousness; meticulousness; monomania; perfectionism; tendency to become totally absorbed in something","Guess the reading (3k:凝)",Image
凝縮,"ぎょうしゅく","condensation (of a vapour or gas); condensation (of ideas, emotions, etc.)","Guess the reading (3k:凝)",Image
凝視,"ぎょうし","fixation; gaze; stare","Guess the reading (3k:凝)",Image
処刑,"しょけい","execution","Guess the reading (3k:刑)",Image
処遇,"しょぐう","dealing with; treatment (of a person)","Guess the reading (3k:遇)",Image
分泌,"ぶんぴ,ぶんぴつ","secretion,secretion","Guess the reading (3k:泌)",Image
切符,"きっぷ","ticket","Guess the reading (3k:符)",Image
刑罰,"けいばつ","(criminal) punishment; penalty; sentence","Guess the reading (3k:刑)",Image
削減,"さくげん","curtailment; cut; reduction","Guess the reading (3k:削)",Image
削除,"さくじょ","deletion; elimination; erasure; striking out","Guess the reading (3k:削)",Image
割り勘,"わりかん","Dutch treat; splitting the bill; splitting the cost","Guess the reading (3k:勘)",Image
割譲,"かつじょう","cession (of territory)","Guess the reading (3k:譲)",Image
動揺,"どうよう","agitation; commotion; discomposure; disturbance; excitement; feeling shaken; oscillation; pitching; rolling; shaking; trembling; turmoil; unrest","Guess the reading (3k:揺)",Image
勘弁,"かんべん","forbearance; forgiveness; pardon","Guess the reading (3k:勘)",Image
勘違い,"かんちがい","mistaken idea; misunderstanding; wrong guess","Guess the reading (3k:勘)",Image
募債,"ぼさい","loan floatation; raising of a loan","Guess the reading (3k:募,債)",Image
勧誘,"かんゆう","canvasing; canvassing; encouragement; inducement; invitation; persuasion; solicitation","Guess the reading (3k:誘)",Image
包摂,"ほうせつ","connotation; encompassing; inclusion; subsumption","Guess the reading (3k:摂)",Image
北郊,"ほっこう","northern suburbs","Guess the reading (3k:郊)",Image
卑劣,"ひれつ","base; contemptible; cowardly; despicable; dirty; foul; mean","Guess the reading (3k:卑)",Image
卑屈,"ひくつ","grovelling; obsequious; self-abasing; servile; slavish; spineless; subservient","Guess the reading (3k:卑)",Image
卓抜,"たくばつ","excellence; preeminence; prevalence; superiority","Guess the reading (3k:卓)",Image
