question,answer,comment,instruction
"海豹","あざらし","Earless seal;true seal (animal)","Animals"
"海驢","あしか","Eared seal (esp. the California sea lion, Zalophus californianus);sea lion","Animals"
"雨虎/雨降","あめふらし","Sea hare (esp. species Aplysia kurodai)","Animals"
"洗熊/浣熊","あらいぐま","Common raccoon (Procyon lotor)","Animals"
"蟻食/食蟻獣","ありくい","Anteater","Animals"
"磯巾着/菟葵","いそぎんちゃく","Sea anemone","Animals"
"鼬鼠","いたち","Mustelid (any other member of the weasel family, incl. badgers, martens, minks, ferrets, otters, polecats, stoats, skunks, etc.);weasel (esp. the Japanese weasel, Mustela itatsi)","Animals"
"猪","いのしし","Beast (esp. one used for its meat, such as a boar or a deer);hog (esp. a wild boar, but also including the domesticated pig);hunting (of animals such as boar, deer, etc.);wild boar","Animals"
"井守","いもり","Newt (esp. the Japanese fire belly newt, Cynops pyrrhogaster)","Animals"
"海豚","いるか","Dolphin (or other small toothed whales, incl. porpoises, belugas, etc.)","Animals"
"兎","うさぎ","Coney;cony;hare;lagomorph (esp. leporids);rabbit","Animals"
"襟巻蜥蜴","えりまきとかげ","Frilled lizard (Chlamydosaurus kingii);frill-necked lizard","Animals"
"鸚鵡貝","おうむがい","Chambered nautilus (esp. species Nautilus pompilius)","Animals"
"狼","おおかみ","Wolf (Canis lupus);wolf in sheep's clothing;womanizer","Animals"
"御玉杓子","おたまじゃくし","Ladle;musical note;tadpole","Animals"
"膃肭臍","おっとせい","Alaskan fur seal;fur seal (esp. the northern fur seal, Callorhinus ursinus)","Animals"
"大蛇","おろち","Big snake;serpent","Animals"
"海狸","かいり","Beaver","Animals"
"蛙","かえる","Frog;kajika frog (Buergeria buergeri)","Animals"
"蛇舅母","かなへび","Lacertid (any lizard of family Lacertidae, esp. the Japanese grass lizard, Takydromus tachydromoides)","Animals"
"河馬","かば","Hippo;hippopotamus (Hippopotamus amphibius)","Animals"
"蝦蟇/蟇","がま","Toad (esp. the Japanese toad, Bufo japonicus)","Animals"
"氈鹿","かもしか","Serow;wild goat","Animals"
"羚羊","かもしか","Antelope;serow;wild goat","Animals"
"鴨嘴","かものはし","Platypus (Ornithorhynchus anatinus)","Animals"
"川獺/獺","かわうそ","Japanese river otter (Lutra lutra whiteleyi);otter (Lutra lutra)","Animals"
"狐","きつね","Fox (esp. the red fox, Vulpes vulpes);fox (i.e. a sly person);golden brown;light brown;soba or udon topped with deep-fried tofu","Animals"
"麒麟","きりん","Giraffe (Giraffa camelopardalis);horse that can ride 1000 ri in a day;qilin (Chinese unicorn)","Animals"
"蝙蝠","こうもり","Bat (Chiroptera spp.);opportunist;turncoat;umbrella","Animals"
"巨頭鯨","ごんどうくじら","Larger whales of family Delphinidae (esp. the pilot whales or blackfish)","Animals"
"犀","さい","Rhinoceros","Animals"
"山椒魚","さんしょううお","Salamander (amphibian of the order Caudata)","Animals"
"獅子","しし","Left-hand (stone) guardian lion-dog at a Shinto shrine;lion","Animals"
