Question,Answer,Comment,Instruction,Render as
"丁 (ちょう)","半,はん",,Guess the Antonym,Image
"丁度 (ちょうど)","凡そ,およそ",,Guess the Antonym,Image
"丁度・恰度 (ちょうど)","凡そ,およそ,大凡,おおよそ",,Guess the Antonym,Image
"丁重 (ていちょう)`入念 (にゅうねん)","粗略・疎略,そりゃく",,Guess the Antonym,Image
"丁重・鄭重 (ていちょう)","疎略,そりゃく,粗略,そりゃく",,Guess the Antonym,Image
"万全 (ばんぜん)","疎漏,そろう,疎漏・粗漏,そろう,粗漏,そろう",,Guess the Antonym,Image
"丈夫 (ますらお)","手弱女,たおやめ",,Guess the Antonym,Image
"三十日・晦日・晦 (みそか・つごもり)","朔,ついたち,朔日,ついたち",,Guess the Antonym,Image
"上 (うえ)","下,した",,Guess the Antonym,Image
"上 (かみ)","下,しも",,Guess the Antonym,Image
"上 (じょう)","下,か,下,げ",,Guess the Antonym,Image
"上がる (あがる)","下りる,おりる,降りる,おりる",,Guess the Antonym,Image
"上げる (あげる)","下ろす,おろす,降ろす,おろす",,Guess the Antonym,Image
"上げ田 (あげた)","凹田,くぼた,凹田・窪田,くぼた,窪田,くぼた",,Guess the Antonym,Image
"上り鮎 (のぼりあゆ)","落ち鮎,おちあゆ",,Guess the Antonym,Image
"上る (のぼる)","下る・降る,くだる,降りる,おりる,降る,くだる",,Guess the Antonym,Image
"上下動 (じょうげどう)","水平動,すいへいどう",,Guess the Antonym,Image
"上京 (じょうきょう)","下向,げこう",,Guess the Antonym,Image
"上出来 (じょうでき)","不出来,ふでき",,Guess the Antonym,Image
"上司 (じょうし)","部下,ぶか",,Guess the Antonym,Image
"上塗 (うわぬり)`上塗り (うわぬり)","下塗り・下塗,したぬり",,Guess the Antonym,Image
"上塗り・上塗 (うわぬり)","下塗,したぬり,下塗り,したぬり",,Guess the Antonym,Image
"上天 (じょうてん)","下土,かど",,Guess the Antonym,Image
"上宿 (じょうやど)","安宿,やすやど",,Guess the Antonym,Image
"上履 (うわばき)`上履き (うわばき)","下履き・下履,したばき",,Guess the Antonym,Image
"上履き・上履 (うわばき)","下履,したばき,下履き,したばき",,Guess the Antonym,Image
"上席 (じょうせき)","末席,まっせき・ばっせき",,Guess the Antonym,Image
"上張り・上貼り (うわばり)","下張り,したばり,下貼り,したばり",,Guess the Antonym,Image
"上手い (うまい)","拙い,つたない",,Guess the Antonym,Image
"上昇 (じょうしょう)","下降,かこう,低下,ていか,降下,こうか",,Guess the Antonym,Image
"上智 (じょうち)`上知 (じょうち)`上知・上智 (じょうち)","下愚,かぐ",,Guess the Antonym,Image
"上機嫌 (じょうきげん)","不機嫌,ふきげん",,Guess the Antonym,Image
"上演 (じょうえん)","休演,きゅうえん",,Guess the Antonym,Image
"上澄み (うわずみ)","淀み,よどみ,淀み・澱み,よどみ,澱み,よどみ",,Guess the Antonym,Image
"上物 (じょうもの)","安物,やすもの,駄物,だもの",,Guess the Antonym,Image
"上種 (じょうず)","下司,げす,下種・下衆・下司,げす,下衆,げす",,Guess the Antonym,Image
"上納 (じょうのう)","下付,かふ",,Guess the Antonym,Image
"上級 (じょうきゅう)","初級,しょきゅう",,Guess the Antonym,Image
"上製 (じょうせい)","並製,なみせい",,Guess the Antonym,Image
"上貼り (うわばり)`上張り (うわばり)","下張り・下貼り,したばり",,Guess the Antonym,Image
"上辺 (うわべ)","中味,なかみ,中身,なかみ,中身・中味,なかみ,本音,ほんね",,Guess the Antonym,Image
"上述 (じょうじゅつ)","後述,こうじゅつ",,Guess the Antonym,Image
"上鉋 (じょうしこ)","粗鉋,あらしこ",,Guess the Antonym,Image
"上首尾 (じょうしゅび)","不首尾,ふしゅび",,Guess the Antonym,Image
"下りる (おりる)","登る,のぼる",,Guess the Antonym,Image
"下ろす (おろす)","乗せる,のせる,積む,つむ,載せる,のせる",,Guess the Antonym,Image
"下僕 (げぼく)","下婢,かひ",,Guess the Antonym,Image
"下僚 (かりょう)","高官,こうかん",,Guess the Antonym,Image
"下剤 (げざい)","下痢止め,げりどめ,止瀉剤,ししゃざい",,Guess the Antonym,Image
"下劣 (げれつ)`野卑 (やひ)`野卑・野鄙 (やひ)`野鄙 (やひ)","高尚,こうしょう",,Guess the Antonym,Image
"下城 (げじょう)","登城,とじょう",,Guess the Antonym,Image
"下山 (げざん)","登山,とざん",,Guess the Antonym,Image
"下書 (したがき)`下書き (したがき)`下書き・下書 (したがき)","清書,せいしょ",,Guess the Antonym,Image
"下校 (げこう)","登校,とうこう",,Guess the Antonym,Image
"下熱 (げねつ)","発熱,はつねつ",,Guess the Antonym,Image
"下獄 (げごく)","出獄,しゅつごく",,Guess the Antonym,Image
"下町 (したまち)","山の手,やまのて",,Guess the Antonym,Image
