Question,Answer,Comment,Instruction,Render as
aa,"ア,カ,ガ,オ","ア(鴉,阿,亞),カ(呀),ガ(呀),オ(阿)",Guess the Onyomi for given Jyutping,Text
aai,"アイ,ヤク","アイ(挨,隘,埃),ヤク(隘)",Guess the Onyomi for given Jyutping,Text
aak,"ヤク,アク","ヤク(厄,扼),アク(扼,握)",Guess the Onyomi for given Jyutping,Text
aan,"アン","アン(晏)",Guess the Onyomi for given Jyutping,Text
aang,"オウ,ヨウ,エイ","オウ(罌),ヨウ(罌),エイ(罌)",Guess the Onyomi for given Jyutping,Text
aap,"オウ","オウ(押,鴨)",Guess the Onyomi for given Jyutping,Text
aat,"アツ,オウ,エン","アツ(遏,壓),オウ(押,壓),エン(壓)",Guess the Onyomi for given Jyutping,Text
aau,"オウ,ヨウ,イク,ユウ","オウ(拗,凹),ヨウ(拗),イク(拗),ユウ(拗)",Guess the Onyomi for given Jyutping,Text
ai,"アイ,エイ,ワイ,ヤク","アイ(矮,隘),エイ(翳),ワイ(矮),ヤク(隘)",Guess the Onyomi for given Jyutping,Text
ak,"アク,ヤク","アク(渥,扼,齷,握),ヤク(扼,厄)",Guess the Onyomi for given Jyutping,Text
am,"アン","アン(黯,暗,庵)",Guess the Onyomi for given Jyutping,Text
ang,"オウ,コウ,エイ,ヨウ","オウ(罌,鶯),コウ(更,哽),エイ(罌),ヨウ(罌)",Guess the Onyomi for given Jyutping,Text
ap,"アン,エン","アン(罨),エン(罨)",Guess the Onyomi for given Jyutping,Text
au,"オウ,ク,コウ","オウ(甌,嘔,毆,區,歐),ク(毆,嘔,區),コウ(區)",Guess the Onyomi for given Jyutping,Text
baa,"ハ,バ,ハツ,ワ,コウ,ヒ,ハク","ハ(葩,霸,把,巴,芭,笆),バ(芭),ハツ(叭),ワ(把),コウ(峇),ヒ(罷),ハク(霸)",Guess the Onyomi for given Jyutping,Text
baai,"ハイ,ヘイ","ハイ(擺,拜,敗,憊),ヘイ(憊)",Guess the Onyomi for given Jyutping,Text
baak,"ハク,ヒャク,ビャク,フク,ホク","ハク(柏,佰,白,伯,舶,迫,帛),ヒャク(佰,柏,百),ビャク(百,白,柏),フク(蔔),ホク(蔔)",Guess the Onyomi for given Jyutping,Text
baan,"ハン,ヘン,ベン,バン,フン,ショウ,ソウ","ハン(版,瘢,頒,斑,阪,扮,班,板),ヘン(瓣,扮),ベン(瓣),バン(板),フン(扮),ショウ(爿),ソウ(爿)",Guess the Onyomi for given Jyutping,Text
baat,"ハツ,ハチ,ベツ","ハツ(捌,八),ハチ(八,捌),ベツ(捌)",Guess the Onyomi for given Jyutping,Text
baau,"ホウ,ホ,バク","ホウ(鮑,勹,飽,砲,胞,炮,包),ホ(鮑),バク(爆)",Guess the Onyomi for given Jyutping,Text
bai,"ヘイ,フツ,ヘツ,ハ,ヒ","ヘイ(蔽,閉,幣,陛,弊,斃,敝),フツ(蔽),ヘツ(蔽),ハ(跛),ヒ(跛)",Guess the Onyomi for given Jyutping,Text
bak,"ホク","ホク(北)",Guess the Onyomi for given Jyutping,Text
ban,"ヒン,ホン,ビン,フン,リン","ヒン(殯,繽,鬢,瀕,檳,濱,斌,賓,稟,品,彬,擯),ホン(品,笨,奔),ビン(檳,鬢),フン(斌,彬),リン(稟)",Guess the Onyomi for given Jyutping,Text
bang,"ヒョウ,ホウ","ヒョウ(憑,繃),ホウ(繃,崩)",Guess the Onyomi for given Jyutping,Text
bat,"ヒツ,バツ,ハツ,ハイ,フ,ブ","ヒツ(畢,筆,弼),バツ(魃,拔),ハツ(魃),ハイ(拔),フ(不),ブ(不)",Guess the Onyomi for given Jyutping,Text
bei,"ヒ,ヘイ,ビ,ハイ,フ,ヒツ","ヒ(秘,髀,避,俾,悲,祕,比,庇,臂,被,碑,匕,費,彼,痺,卑,泌),ヘイ(俾,憊,髀),ビ(備,鼻),ハイ(憊),フ(俾),ヒツ(泌)",Guess the Onyomi for given Jyutping,Text
bek,"ヘキ","ヘキ(壁)",Guess the Onyomi for given Jyutping,Text
beng,"ヘイ,ビョウ,ヒョウ","ヘイ(柄,病,屏,餅),ビョウ(屏,病),ヒョウ(餅)",Guess the Onyomi for given Jyutping,Text
bik,"ヘキ,フク,ヒョク,ヒキ,ヒツ,ハク,ヒャク","ヘキ(碧,璧,壁),フク(逼,愎),ヒョク(逼,愎),ヒキ(逼),ヒツ(逼),ハク(迫),ヒャク(碧)",Guess the Onyomi for given Jyutping,Text
bin,"ヘン,ベン,ハン,ビン,サイ","ヘン(弁,鞭,扁,卞,變,辮,辨,辯,邊,貶),ベン(便,辨,辯,辮,卞,釆,鞭,弁),ハン(卞,釆),ビン(便),サイ(釆)",Guess the Onyomi for given Jyutping,Text
bing,"ヘイ,ヒョウ,ビョウ,ホウ","ヘイ(屏,丙,併,病,並,炳,兵,秉,柄),ヒョウ(冰,冫,迸,兵),ビョウ(屏,病),ホウ(迸,並)",Guess the Onyomi for given Jyutping,Text
bit,"ベツ,ヒツ","ベツ(別),ヒツ(必)",Guess the Onyomi for given Jyutping,Text
biu,"ヒョウ,ヒュウ,シャク,チョウ,テキ","ヒョウ(髟,杓,彪,飆,標,表),ヒュウ(髟,彪),シャク(杓),チョウ(杓),テキ(杓)",Guess the Onyomi for given Jyutping,Text
bo,"ハ,ヒ,ハン,バン,ホ","ハ(波,跛,玻,播,坡,簸,菠),ヒ(跛,坡),ハン(播,般),バン(播),ホ(菠)",Guess the Onyomi for given Jyutping,Text
bok,"ハク,バク,ヒョク,ボク","ハク(搏,雹,亳,箔,博,泊,駁,薄,舶,膊),バク(縛,駁,博),ヒョク(雹),ボク(雹)",Guess the Onyomi for given Jyutping,Text
bong,"ホウ,ボウ","ホウ(榜,膀,磅,蒡,邦),ボウ(磅,傍,榜,蒡,膀)",Guess the Onyomi for given Jyutping,Text
bou,"ホ,ホウ,フ,バク,ホク,ボク,ボウ,ボ,ブ,ハク","ホ(布,捕,哺,怖,保,褓,圃,堡,埔,補,埠,葆),ホウ(鴇,堡,襃,褓,葆,報,褒,瀑,寶,保),フ(怖,圃,埠,布),バク(曝,瀑,暴),ホク(曝,瀑),ボク(瀑,曝),ボウ(暴,瀑),ボ(簿),ブ(部),ハク(瀑)",Guess the Onyomi for given Jyutping,Text
bui,"ハイ,バイ,ケン,ホウ","ハイ(狽,杯,焙,輩,盃,背),バイ(貝,狽),ケン(狽),ホウ(焙)",Guess the Onyomi for given Jyutping,Text
buk,"ボク,ホク,バク,ハク,ボウ,ホウ,フク","ボク(樸,僕,卜,蹼,曝,瀑),ホク(蹼,曝,樸,瀑),バク(曝,暴,瀑),ハク(瀑,樸),ボウ(瀑,暴),ホウ(瀑),フク(伏)",Guess the Onyomi for given Jyutping,Text
