Question,Answer,Comment,Instruction,Render As
"銀行と言うのは||お〇〇||の日に傘を貸したがるが、雨の日には、人を見捨てようとするところだ。
先代はいつでもにこにこしている人だったけど、今度のはどうも||お〇〇||屋でいかんね。
折角な||お〇〇||な日なので、今日は垣を塗り替えた方がいいと思います。","お天気,おてんき","10k kanji:天,気
mood; temper; weather",Guess the Missing Word (10k),Text
"お母さんが「預かる」って言った僕の||お〇〇||、いつ返してくれるの？
||お〇〇||付き年賀はがきの抽選日は１月23日です。
それが「||お〇〇||」ってやつよ。","お年玉,おとしだま","10k kanji:年,玉
New Year's gift (usu. money given to a child by relatives and visitors)",Guess the Missing Word (10k),Text
"火災で全てのコンピューターディスクが駄目になってしまった時、会社はもう||お〇〇げ||の状況だった。
何もかもが難しい。||お〇〇げ||だい。
これ、私には||お〇〇げ||だよ。","お手上げ,おてあげ","10k kanji:手,上
being brought to one's knees; being done for; being in a hopeless situation; giving up; not knowing what to do; throwing up (one's) hands",Guess the Missing Word (10k),Text
"いつも行く店はカルビーのポテチが９８円。うす塩が俺の||お〇に〇り||だ。このうす塩味、実は時期によって原材料が変わる。今日のは化学調味料なしの自然塩。俺的に当たりだ。
彼女は成長して今まで着ていた||お〇に〇り||のドレスが着れなくなったので、それを仕立て直してやらなければならない。
ツイッターの||お〇に〇り||機能をしおりの代わりに使っているのは俺だけじゃないだろう。","お気に入り,おきにいり","10k kanji:気,入
bookmark (in a web browser); favorite; favourite; pet (e.g. teacher's pet)",Guess the Missing Word (10k),Text
"||〇ヶ〇||前までは、髪に結構ツヤがあったのですが、髪を切って沢山すいて貰ったところ、急に髪の毛がパサパサになってしまいました。
フレデイはこの||〇ヶ〇||というものずっと夜勤だったため、正常な時間に働いている友人達に会う機会がまるでなかった。
もし||〇ヶ〇||でこのタイプライターを完全に使いこなせたら、きみのものにしておいてもよい。","一ヶ月,いっかげつ","10k kanji:一,月
one month",Guess the Missing Word (10k),Text
"彼は||〇〇っ〇||だったので、唯一の相続人だった。
「兄弟はいますか？」「いいえ、||〇〇っ〇||です」
あなたのお母さんって、||〇〇っ〇||だった？","一人っ子,ひとりっこ","10k kanji:一,人,子
(an) only child",Guess the Missing Word (10k),Text
"翌朝、彼女は私の耳もとに口をよせて 「あたしたち、今晩パリへ帰りますの。あたしをこんな淋しい処へ||〇〇で||置いて置くわけに行かないっていうんですのよ。それやそうね」
翌朝、彼女は私の耳もとに口をよせて 「あたしたち、今晩パリへ帰りますの。あたしをこんな淋しい処へ||〇〇で||置いて置くわけに行かないつて云ふんですのよ。それやさうね」
マラソン競技に初めには、何十人もの選手が出発するが、ゴールまでくるのはごく一部の選手であり、優勝するのはたった||〇〇で||ある。","一人で,ひとりで","10k kanji:一,人
alone; by oneself; on one's own",Guess the Missing Word (10k),Text
"「さ、||〇〇み||もしましょう」「他に何かお手伝いすることはありませんか？」
激しい労働の後で||〇〇み||することほど心地よいことはない。
私は仕事を終えた後、||〇〇み||するため喫茶店へ行った。","一休み,ひとやすみ","10k kanji:一,休
(short) rest; break; breather",Guess the Missing Word (10k),Text
"このコート、結構するのよ。でも、めっちゃ気に入ってるし||〇〇ず||買っちゃおっと。
トムは、フランス語が母語のように流暢に話せるし、英語も||〇〇ず||話せるよ。","一先ず,ひとまず","10k kanji:一,先
after a fashion; for now; for the present; for the time being; though not quite satisfactorily",Guess the Missing Word (10k),Text
"自販機でコーヒーを買おうと１００円入れてボタンを押したら、||〇〇に||４本も、どかどかと落ちてきた！
この季節、日が陰ると||〇〇に||冷え込むので、調整しやすい服装でお越しください。
好機逸すべからず。この機に||〇〇に||仕事を仕上げてしまおう。","一気に,いっきに","10k kanji:一,気
all at once; all of a sudden; at a stretch; in one breath; in one go; in one gulp; in one sitting; suddenly; without a rest; without pausing; without stopping",Guess the Missing Word (10k),Text
"「トムってすごいんだよ。めちゃめちゃ高得点出してたんだ」「まぐれだよ。あいつがそんなに||〇〇い||はずないもん」
みんなは絵が||〇〇い||。でも、いつも別の人を目標にして自分のこと厳しく責めちゃダメだよ。誇りは持てれば十分。
大会で優勝したからって天狗になるな。お前と同じくらいに||〇〇い||やつなんて、世の中にはごろごろいるんだぞ。","上手い,うまい","10k kanji:上,手
appropriate; apt; clever (expression, trick, etc.); delicious; expert; fortunate; good; good; good (deal, idea, etc.); lucky; nice; profitable; promising; satisfactory; skilful; skilled; skillful; splendid; successful; tasty",Guess the Missing Word (10k),Text
"しかし、彼女が一つ目のグラスを持ち上げ、水をこぼした後では||〇つ〇||のグラスはどうするであろうか。
この通りを||〇つ〇||の角で左へ曲がりなさい。
||〇つ〇||の信号を左に曲がらないといけない。","二つ目,ふたつめ","10k kanji:二,目
one after next; second",Guess the Missing Word (10k),Text
"誰もが||〇の〇||を踏むような厳しい仕事だが、果敢に取り組んでいた。
彼は||〇の〇||を踏んでいる。","二の足,にのあし","10k kanji:二,足
hesitation; second step",Guess the Missing Word (10k),Text
"しかし、||〇〇とも||普通の人以上によく働く勤勉な人達でしたから、今では牛やガチョウも飼えるようになりました。
しかし、もし総司令官がそれを解決できないのなら、それについて君たち||〇〇とも||文書で国防省に報告したまえ。
トムとメアリーは傘を一緒に差しました。だけど、傘は充分な大きさではなくて||〇〇とも||濡れてしまいました。","二人とも,ふたりとも","10k kanji:二,人
both (people); the two of them",Guess the Missing Word (10k),Text
"一般投票による「ピープルズ・チョイス賞」が今年も発表され、メル・ギブソンとジュリア・ロバーツが最も||〇〇のある||映画男優と女優に選ばれた。
ウィンブルドンで行われる男子と女子のシングルス決勝は、１年で最もわくわくする、そして最も||〇〇のある||スポーツ行事の１つである。
この浜辺にはたくさんの海浜植物がありますから、||〇〇のある||泳ぎ場所ではありません。","人気のある,にんきのある","10k kanji:人,気
popular",Guess the Missing Word (10k),Text
"海戦に||〇〇って||出港したからには、乗組員が船に慣れる時間がないことが、しばしばあるものだ。
踊り手はつま||〇〇って||ぐるぐると回った。
会に||〇〇って||彼らは夕食をとった。","先立って,さきだって","10k kanji:先,立
before; in advance of; prior to; recently; some time ago; the other day",Guess the Missing Word (10k),Text
"私は博物館に間違った||〇り〇||から入ってしまった。もっと気をつけないといけなかった。
この部屋は、建物の||〇り〇||や部屋の窓のなど向きがいい。
大統領のボディーガードは||〇り〇||に配置されている。","入り口,いりくち,はいりくち,はいりぐち,いりぐち","10k kanji:入,口
approach; entrance; entry; gate; mouth,approach; entrance; entry; gate; mouth,approach; entrance; entry; gate; mouth,approach; entrance; entry; gate; mouth",Guess the Missing Word (10k),Text
"あいつには何を言っても無駄だから、もう||〇〇し||しないことにしたんだ。
私達が守るべき最善の策は、人のことには||〇〇し||しないことだ。
彼は誰にも彼のプライベートなことに||〇〇し||させなかった。","口出し,くちだし","10k kanji:口,出
butting in; interference; meddling",Guess the Missing Word (10k),Text
"||〇の〇||は、遠方の星が巨大な帯状に見えるものであって、その１つ１つは、われわれの知る太陽に似たものである。
初めて||〇の〇||を見た夜のことを私は覚えている。
天気が悪くて今年は||〇の〇||が見れないわね。","天の川,あまのかわ,あまのがわ","10k kanji:天,川
luminous band corresponding to the plane of the galaxy; Milky Way,luminous band corresponding to the plane of the galaxy; Milky Way",Guess the Missing Word (10k),Text
"「田中先輩ね、結婚したみたい」「そうなの？」「インスタに赤ちゃん抱いて||〇の〇||と一緒に写ってる写真アップしてた。ほら見て」「ほんとだ。幸せそうね」
無表情な||〇の〇||にいいよるのは、味つけの入ってないスープをすするようなものだ。
その||〇の〇||は赤ん坊が健康でないことを斟酌してくれるように頼まれた。","女の人,おんなのひと","10k kanji:女,人
woman",Guess the Missing Word (10k),Text
"うちのワンちゃんは||〇の〇||で、呼び鈴が鳴る時以外はほとんど吠えないし、散歩にもこだわってないみたいで、一切手がかからないお利口さんなんだ。
１９０４年、エスペラントを母語とする最初の||〇の〇||が生まれました。今日では生まれながらのエスペランティストが数千人存在しています。
あのプレイボーイと結婚するのはブロンドの||〇の〇||か、ブルーネットの||〇の〇||か五分五分といったところだ。どちらもきれいだから。","女の子,めのこ,おんなのこ","10k kanji:女,子
girl; woman,baby girl; daughter; girl; young woman",Guess the Missing Word (10k),Text
"知恵は||〇〇し||にせよ。
愛は||〇〇し||にせよ。","小出し,こだし","10k kanji:小,出
(apportioning) in small amounts",Guess the Missing Word (10k),Text
