Question,Answer,Comment,Instruction,Render as
熱い,"あつい","ardent//enthusiastic//extreme//fired up//hot (e.g. gaze)//hot (e.g. temper)//hot (to the touch)//hot (topic)//intense//of interest//passionate (feelings, etc.)//severe//zealous","Common reading and Common but hard kanji",Image
抱く,"いだく,だく","to bear (a grudge, ill will, etc.)//to brood//to cherish (e.g. an ambition)//to embrace//to entertain (hope, illusions, etc.)//to harbor//to harbour (suspicion, doubt, etc.)//to have (a thought or feeling)//to have sex with//to hold//to hold in one's arms (e.g. a baby)//to hug//to make love to//to sit on (eggs)//to sleep with","Common reading and Common but hard kanji",Image
入る,"いる,はいる","//to (be able to) fit (in a container, building, etc.)//to be (able to be) accommodated//to be (able to be) held//to be brought in//to be contained (in)//to be included (in)//to be inside (e.g. a box)//to be installed//to be introduced//to be obtained//to be received//to be scored (of points)//to be won (of votes)//to belong (in a category)//to come under (a heading)//to enter (a month, season, etc.)//to get into//to go into (e.g. politics)//to reach (e.g. a climax)//to start functioning//to start working//to turn on","Common reading and Common but hard kanji",Image
後ろめたい,"うしろめたい","(feeling) uneasy//guilty (feeling, conscience, look, etc.)","Common reading and Common but hard kanji",Image
渦巻く,"うずまく","to be all jumbled together (feelings, thoughts, etc.)//to curl (smoke)//to eddy//to surge//to sweep//to swirl//to whirl","Common reading and Common but hard kanji",Image
歌い上げる,"うたいあげる","to belt out a song//to express one's feelings fully in a poem//to praise in poetry//to sing at the top of one's voice","Common reading and Common but hard kanji",Image
打ちのめす,"うちのめす","to beat (someone) up//to injure (someone) so badly they cannot recover (esp. emotionally)//to knock down//to overwhelm (with mental anguish, etc.)","Common reading and Common but hard kanji",Image
訴える,"うったえる","to appeal to (reason, emotions, etc.)//to bring to (someone's attention)//to complain//to play on (one's sympathies)//to raise//to resort to (e.g. arms, violence)//to sue (a person)//to take someone to court//to work on (one's emotions)","Common reading and Common but hard kanji",Image
鬱陶しい,"うっとうしい","cloudy//depressing//gloomy (e.g. mood)//heavy (weather)//irritating//troublesome","Common reading and Common but hard kanji",Image
恨む,"うらむ","to bear a grudge against//to blame//to curse//to feel bitter towards//to resent","Common reading and Common but hard kanji",Image
負い目,"おいめ","(feeling of) indebtedness//feeling obliged","Common reading and Common but hard kanji",Image
抑える,"おさえる","to check//to contain//to control//to curb//to hold back (e.g. an enemy)//to hold in check//to keep within limits (e.g. spending)//to quell//to repress//to restrain (e.g. emotions)//to subdue//to suppress","Common reading and Common but hard kanji",Image
