Question,Answer,Comment,Instruction,Render as
鮎,"あい","ayu//salmon//sweetfish (Plecoglossus altivelis altivelis)","Uncommon reading and Uncommon kanji",Image
鮎並,"あいなめ","fat greenling (Hexagrammos otakii)","Uncommon reading and Uncommon kanji
Clue:||鮎魚女||",Image
鮎魚女,"あいなめ","fat greenling (Hexagrammos otakii)","Uncommon reading and Uncommon kanji",Image
障泥烏賊,"あおりいか","bigfin reef squid//oval squid (Sepioteuthis lessoniana)","Uncommon reading and Uncommon kanji",Image
鰓,"あぎと,えら","angle of the mandible//branchia//chin//gills//gonial angle//jaw","Uncommon reading and Uncommon kanji",Image
赤魚鯛,"あこうだい","Matsubara's red rockfish (Sebastes matsubarae)//red rockfish//red scorpionfish","Uncommon reading and Uncommon kanji",Image
阿古屋貝,"あこやがい","Akoya pearl oyster//Marten's pearl oyster (Pinctada fucata martensii)","Uncommon reading and Uncommon kanji",Image
浅蜊,"あさり","Japanese littleneck clam//Manila clam (Ruditapes philippinarum)","Uncommon reading and Uncommon kanji
Clue:||鯏||",Image
鯏,"あさり","Japanese littleneck clam//Manila clam (Ruditapes philippinarum)","Uncommon reading and Uncommon kanji",Image
甘鯛,"あまだい","blanquillo//horse-head fish//tilefish (Branchiostegus spp.)","Uncommon reading and Uncommon kanji",Image
醤蝦,"あみ","mysid//opossum shrimp (Mysida spp.)","Uncommon reading and Uncommon kanji",Image
鮟鱇,"あんこ,あんこう","curved gutter//fool//goosefish (any fish of family Lophiidae)//monkfish//potbellied sumo wrestler//sea devil//wrestler with a big belly","Uncommon reading and Uncommon kanji",Image
飯蛸,"いいだこ","ocellated octopus (Octopus ocellatus)","Uncommon reading and Uncommon kanji",Image
貽貝,"いがい","Korean mussel (Mytilus coruscus)","Uncommon reading and Uncommon kanji",Image
池蝶貝,"いけちょうがい","Hyriopsis schlegelii (species of freshwater mussel)","Uncommon reading and Uncommon kanji",Image
伊佐木,"いさき,いさぎ","chicken grunt (Parapristipoma trilineatum)//threeline grunt","Uncommon reading and Uncommon kanji",Image
伊勢海老,"いせえび","spiny lobster (esp. Japanese spiny lobster, Panulirus japonicus)","Uncommon reading and Uncommon kanji",Image
糸撚鯛,"いとよりだい","besugo//golden threadfin bream (Nemipterus virgatus)","Uncommon reading and Uncommon kanji",Image
鯔,"いな,とど,なよし,ぼら","adult striped mullet//after all is said and done//black mullet//flathead grey mullet//in the end//redlip mullet (Chelon haematocheilus)//striped mullet (Mugil cephalus)//young striped mullet","Uncommon reading and Uncommon kanji
Clue:||鰡||",Image
鰍,"いなだ,かじか","Japanese fluvial sculpin (Cottus pollux)//sculpin (any fish of family Cottidae, incl. the bullheads and the miller's-thumb)//young Japanese amberjack (Seriola quinqueradiata)","Uncommon reading and Uncommon kanji",Image
疣鯛,"いぼだい","Japanese butterfish (Psenopsis anomala)//melon seed","Uncommon reading and Uncommon kanji",Image
嘉魚,"いわな","char (esp. the Japanese char, Salvelinus pluvius)//charr","Uncommon reading and Uncommon kanji
Clue:||岩魚||",Image
鰻,"う,うな,むなぎ","eel (esp. the Japanese eel, Anguilla japonica)","Uncommon reading and Uncommon kanji",Image
鰾,"うきぶくろ,ひょう,ふえ,ほはら,ほばら","air bladder//swim bladder","Uncommon reading and Uncommon kanji",Image
鯎,"うぐい","Japanese dace (Tribolodon hakonensis)","Uncommon reading and Uncommon kanji",Image
鱓,"うつぼ,ごまめ","dried young anchovies (or sardines)//moray (eel) (Gymnothorax kidako)//muraenid","Uncommon reading and Uncommon kanji",Image
海栗,"うに","sea urchin//seasoned sea urchin eggs","Uncommon reading and Uncommon kanji
Clue:||雲丹||",Image
海鷂魚,"えい","ray (any fish of superorder Batoidea)","Uncommon reading and Uncommon kanji
Clue:||鱝||",Image
鱏,"えい","ray (any fish of superorder Batoidea)","Uncommon reading and Uncommon kanji
Clue:||海鷂魚/鱝||",Image
鱝,"えい","ray (any fish of superorder Batoidea)","Uncommon reading and Uncommon kanji",Image
狗母魚,"えそ","lizardfish (any fish of family Synodontidae)","Uncommon reading and Uncommon kanji",Image
魞,"えり","fish trap//fish weir//fishing weir//pouch-shaped bamboo fence across river, etc.","Uncommon reading and Uncommon kanji",Image
大鮃,"おひょう","halibut (esp. the Pacific halibut, Hippoglossus stenolepis)","Uncommon reading and Uncommon kanji",Image
海鼠,"かいそ,こ,なまこ","sea cucumber (Holothuroidea spp.)","Uncommon reading and Uncommon kanji",Image
鰄,"かいらぎ","fish skin with a granular texture, esp. shark and stingray//rough ceramic glaze (like sharkskin)//rough enamel","Uncommon reading and Uncommon kanji",Image
杜父魚,"かくぶつ,かじか,とふぎょ","fourspine sculpin (species of fish, Cottus kazika)//Japanese fluvial sculpin (Cot//Japanese fluvial sculpin (Cottus pollux)//sculpin (any fish of family Cottidae, incl. the bullheads and the miller's-thumb)","Uncommon reading and Uncommon kanji
Clue:||鰍||",Image
笠子,"かさご","marbled rockfish (Sebastiscus marmoratus)//scorpionfish","Uncommon reading and Uncommon kanji",Image
梶木,"かじき","marlin//sailfish//spearfish//swordfish","Uncommon reading and Uncommon kanji",Image
数の子,"かずのこ","herring roe","Uncommon reading and Uncommon kanji
Clue:||鯑||",Image
鯑,"かずのこ","herring roe","Uncommon reading and Uncommon kanji",Image
片口鰯,"かたくちいわし","Japanese anchovy (Engraulis japonica)","Uncommon reading and Uncommon kanji",Image
鰊,"かど,にしん","Pacific herring (Clupea pallasii)","Uncommon reading and Uncommon kanji",Image
兜海老,"かぶとえび","shield shrimp//tadpole shrimp (Triopsidae spp.)","Uncommon reading and Uncommon kanji",Image
兜蝦,"かぶとえび","shield shrimp//tadpole shrimp (Triopsidae spp.)","Uncommon reading and Uncommon kanji
Clue:||兜海老||",Image
兜蟹,"かぶとがに","horseshoe crab","Uncommon reading and Uncommon kanji
Clue:||鱟||",Image
鱟,"かぶとがに","horseshoe crab","Uncommon reading and Uncommon kanji",Image
叺,"かます","straw bag","Uncommon reading and Uncommon kanji",Image
梭子魚,"かます","barracuda (Sphyraena spp.)","Uncommon reading and Uncommon kanji
Clue:||梭魚||",Image
梭魚,"かます","barracuda (Sphyraena spp.)","Uncommon reading and Uncommon kanji",Image
鰈,"かれい","righteye flounder (any fish of family Pleuronectidae)","Uncommon reading and Uncommon kanji",Image
細螺,"きさご,きしゃご,しただみ","Umbonium costatum (species of sea snail)","Uncommon reading and Uncommon kanji",Image
鱚,"きす","sillago (any fish of genus Sillago, esp. the Japanese whiting, Sillago japonica)","Uncommon reading and Uncommon kanji",Image
黄肌鮪,"きはだまぐろ,きわだまぐろ","yellowfin tuna (Thunnus albacares)","Uncommon reading and Uncommon kanji",Image
鱨,"ぎばち","cut-tailed bullhead (species of catfish, Pseudobagrus aurantiacus)","Uncommon reading and Uncommon kanji",Image
吉備奈仔,"きびなご","silver-stripe round herring (Spratelloides gracilis)","Uncommon reading and Uncommon kanji",Image
黍魚子,"きびなご","silver-stripe round herring (Spratelloides gracilis)","Uncommon reading and Uncommon kanji
Clue:||吉備奈仔||",Image
金目鯛,"きんめだい","splendid alfonsino (Beryx splendens)","Uncommon reading and Uncommon kanji",Image
鱗,"こけ,こけら","scale (of fish, snake, etc.)//serif (on kana or kanji (e.g. in Mincho font))","Uncommon reading and Uncommon kanji",Image
鯒,"こち","flathead (esp. the bartailed flathead, Platycephalus indicus)","Uncommon reading and Uncommon kanji",Image
鮗,"このしろ","konoshiro gizzard shad (Konosirus punctatus)","Uncommon reading and Uncommon kanji",Image
小鰭,"こはだ","mid-sized konoshiro gizzard shad (i.e. about 15 cm in size)","Uncommon reading and Uncommon kanji",Image
鮴,"ごり","common freshwater goby (Gymnogobius urotaenia)//dusky tripletooth goby (Tridentiger obscurus)//fish of the genus Rhinogobius//Japanese fluvial sculpin (fish, Cottus pollux)","Uncommon reading and Uncommon kanji",Image
鯤,"こん","kun (in Chinese mythology, giant fish said to be able to turn into a bird)","Uncommon reading and Uncommon kanji",Image
権瑞,"ごんずい","striped eel catfish (Plotosus lineatus)","Uncommon reading and Uncommon kanji",Image
栄螺,"さざい,さざえ","turban shell (any mollusc of the family Turbinidae, esp. the horned turban, Turbo cornutus)","Uncommon reading and Uncommon kanji",Image
