Question,Answer,Comment,Instruction,Render as
鮎,"あい","ayu//salmon//sweetfish (Plecoglossus altivelis altivelis)","Uncommon reading and Uncommon kanji",Image
鮎並,"あいなめ","fat greenling (Hexagrammos otakii)","Uncommon reading and Uncommon kanji
Clue:||鮎魚女||",Image
鮎魚女,"あいなめ","fat greenling (Hexagrammos otakii)","Uncommon reading and Uncommon kanji",Image
青豌豆,"あおえんどう","green peas","Uncommon reading and Uncommon kanji",Image
石蓴,"あおさ","sea lettuce (Ulva spp.)","Uncommon reading and Uncommon kanji",Image
障泥烏賊,"あおりいか","bigfin reef squid//oval squid (Sepioteuthis lessoniana)","Uncommon reading and Uncommon kanji",Image
藜,"あかざ","fat hen//lamb's-quarters//pigweed//white gooseweed (Chenopodium album)","Uncommon reading and Uncommon kanji",Image
赤紫蘇,"あかじそ","red perilla//red shiso","Uncommon reading and Uncommon kanji",Image
赤味噌,"あかみそ","dark-brown miso paste","Uncommon reading and Uncommon kanji",Image
浅葱,"あさぎ,あさつき","chive (Allium schoenoprasum)//chives//pale blue-green","Uncommon reading and Uncommon kanji",Image
浅蜊,"あさり","Japanese littleneck clam//Manila clam (Ruditapes philippinarum)","Uncommon reading and Uncommon kanji",Image
鹹草,"あしたぐさ,あしたば","Angelica keiskei (species of angelica, a herb of the parsley family)","Uncommon reading and Uncommon kanji",Image
甘鯛,"あまだい","blanquillo//horse-head fish//tilefish (Branchiostegus spp.)","Uncommon reading and Uncommon kanji",Image
鮟鱇,"あんこ,あんこう","curved gutter//fool//goosefish (any fish of family Lophiidae)//monkfish//potbellied sumo wrestler//sea devil//wrestler with a big belly","Uncommon reading and Uncommon kanji",Image
伊佐木,"いさき,いさぎ","chicken grunt (Parapristipoma trilineatum)//threeline grunt","Uncommon reading and Uncommon kanji",Image
伊勢海老,"いせえび","spiny lobster (esp. Japanese spiny lobster, Panulirus japonicus)","Uncommon reading and Uncommon kanji",Image
鴨脚樹,"いちょう","gingko//ginkgo (Ginkgo biloba)//maidenhair tree","Uncommon reading and Uncommon kanji
Clue:||銀杏||",Image
銀杏,"いちょう,ぎんなん","maidenhair tree//gingko//gingko nut//ginkgo (Ginkgo biloba)//ginkgo nut","Uncommon reading and Uncommon kanji",Image
糸撚鯛,"いとよりだい","besugo//golden threadfin bream (Nemipterus virgatus)","Uncommon reading and Uncommon kanji",Image
鯔,"いな,とど,なよし,ぼら","adult striped mullet//after all is said and done//black mullet//flathead grey mullet//in the end//redlip mullet (Chelon haematocheilus)//striped mullet (Mugil cephalus)//young striped mullet","Uncommon reading and Uncommon kanji
Clue:||鰡||",Image
鰍,"いなだ,かじか","Japanese fluvial sculpin (Cottus pollux)//sculpin (any fish of family Cottidae, incl. the bullheads and the miller's-thumb)//young Japanese amberjack (Seriola quinqueradiata)","Uncommon reading and Uncommon kanji",Image
疣鯛,"いぼだい","Japanese butterfish (Psenopsis anomala)//melon seed","Uncommon reading and Uncommon kanji",Image
伊予柑,"いよかん","iyokan (Citrus iyo)","Uncommon reading and Uncommon kanji",Image
鰻,"う,うな,むなぎ","eel (esp. the Japanese eel, Anguilla japonica)","Uncommon reading and Uncommon kanji",Image
茴香,"ういきょう","fennel (Foeniculum vulgare)","Uncommon reading and Uncommon kanji",Image
魚醤油,"うおしょうゆ,うおじょうゆ","fish sauce (made from fermented salted fish)","Uncommon reading and Uncommon kanji",Image
薄口醤油,"うすくちしょうゆ","light soy sauce//thin soy sauce","Uncommon reading and Uncommon kanji",Image
海栗,"うに","sea urchin//seasoned sea urchin eggs","Uncommon reading and Uncommon kanji
Clue:||雲丹||",Image
牛蒡,"うまふぶき,ごぼう,ごんぼ","gobo//great burdock (Arctium lappa)","Uncommon reading and Uncommon kanji",Image
鱏,"えい","ray (any fish of superorder Batoidea)","Uncommon reading and Uncommon kanji",Image
荏胡麻,"えごま","egoma//oilseed perilla//wild sesame (Perilla frutescens var. frutescens)","Uncommon reading and Uncommon kanji",Image
榎茸,"えのきたけ,えのきだけ","enoki mushroom (Flammulina velutipes)//enokidake//enokitake//velvet shank//winter mushroom","Uncommon reading and Uncommon kanji",Image
葡萄,"えび","grape//grapevine","Uncommon reading and Uncommon kanji",Image
豌豆,"えんどう","green peas","Uncommon reading and Uncommon kanji",Image
陸蓮根,"おかれんこん","okra (Abelmoschus esculentus)","Uncommon reading and Uncommon kanji",Image
和蘭芹,"オランダぜり","parsley (Petroselinum crispum)","Uncommon reading and Uncommon kanji",Image
海鼠,"かいそ,こ,なまこ","sea cucumber (Holothuroidea spp.)","Uncommon reading and Uncommon kanji",Image
貝割れ大根,"かいわれだいこん","(white) radish sprouts","Uncommon reading and Uncommon kanji",Image
杜父魚,"かくぶつ,かじか,とふぎょ","fourspine sculpin (species of fish, Cottus kazika)//Japanese fluvial sculpin (Cot//Japanese fluvial sculpin (Cottus pollux)//sculpin (any fish of family Cottidae, incl. the bullheads and the miller's-thumb)","Uncommon reading and Uncommon kanji
Clue:||鰍||",Image
笠子,"かさご","marbled rockfish (Sebastiscus marmoratus)//scorpionfish","Uncommon reading and Uncommon kanji",Image
搗布,"かじめ","Ecklonia cava (species of brown alga)","Uncommon reading and Uncommon kanji",Image
数の子,"かずのこ","herring roe","Uncommon reading and Uncommon kanji",Image
片口鰯,"かたくちいわし","Japanese anchovy (Engraulis japonica)","Uncommon reading and Uncommon kanji",Image
搗栗,"かちぐり","dried chestnut","Uncommon reading and Uncommon kanji",Image
鰊,"かど,にしん","Pacific herring (Clupea pallasii)","Uncommon reading and Uncommon kanji",Image
蕪,"かぶら","turnip (Brassica rapa)","Uncommon reading and Uncommon kanji",Image
臭橙,"かぼす","kabosu (type of citrus fruit) (Citrus sphaerocarpa)","Uncommon reading and Uncommon kanji",Image
叺,"かます","straw bag","Uncommon reading and Uncommon kanji",Image
蒲鉾,"かまぼこ","kamaboko//steamed seasoned fish paste, usu. in a semicylindrical shape on a strip of wood and sliced to go in soup, etc.","Uncommon reading and Uncommon kanji",Image
韭,"かみら,にら,みら","Chinese chives//Chinese leek//garlic chives (Allium tuberosum)","Uncommon reading and Uncommon kanji
Clue:||韮||",Image
韮,"かみら,にら,みら","garlic chives (Allium tuberosum)//Chinese chives//Chinese leek","Uncommon reading and Uncommon kanji
Clue:||韭||",Image
芥子菜,"からしな","brown mustard//Chinese mustard//Indian mustard (Brassica juncea)//leaf mustard//mustard greens","Uncommon reading and Uncommon kanji",Image
軽羹,"かるかん","steamed sweet bun made from grated yam and rice flour","Uncommon reading and Uncommon kanji",Image
鰈,"かれい","righteye flounder (any fish of family Pleuronectidae)","Uncommon reading and Uncommon kanji",Image
甘蕉,"かんしょう","banana","Uncommon reading and Uncommon kanji",Image
雁擬き,"がんもどき","fried tofu fritter made with vegetables//ganmodoki","Uncommon reading and Uncommon kanji",Image
葱,"き","green onion//spring onion//Welsh onion (Allium fistulosum)","Uncommon reading and Uncommon kanji",Image
胡瓜,"きうり","cucumber (Cucumis sativus)","Uncommon reading and Uncommon kanji",Image
鱚,"きす","sillago (any fish of genus Sillago, esp. the Japanese whiting, Sillago japonica)","Uncommon reading and Uncommon kanji",Image
黄肌鮪,"きはだまぐろ,きわだまぐろ","yellowfin tuna (Thunnus albacares)","Uncommon reading and Uncommon kanji",Image
黄花蘿蔔,"きばなすずしろ","arugula//rocket (Eruca sativa)//ruccola","Uncommon reading and Uncommon kanji",Image
金柑,"きんかん","cumquat//kumquat (Fortunella spp.)","Uncommon reading and Uncommon kanji",Image
金目鯛,"きんめだい","splendid alfonsino (Beryx splendens)","Uncommon reading and Uncommon kanji",Image
九条葱,"くじょうねぎ","Kujō spring onion (variety common in the Kansai region)","Uncommon reading and Uncommon kanji",Image
グラニュー糖,"グラニューとう","granulated sugar","Uncommon reading and Uncommon kanji",Image
黒慈姑,"くろぐわい","Chinese water chestnut (Eleocharis dulcis var. tuberosa)//Eleocharis kuroguwai (species of spikerush)","Uncommon reading and Uncommon kanji",Image
慈姑,"くわい","Sagittaria trifolia var. edulis (edible variant of threeleaf arrowhead)","Uncommon reading and Uncommon kanji",Image
濃口醤油,"こいくちしょうゆ","dark soy sauce//regular soy sauce","Uncommon reading and Uncommon kanji",Image
鯒,"こち","flathead (esp. the bartailed flathead, Platycephalus indicus)","Uncommon reading and Uncommon kanji",Image
