Question,Answer,Comment,Instruction,Render as
"ひ文字し,ひ文字","飢い","ひもじい
ひ｜もじ｜し
ひ｜もじ
ひ文字し,ひ文字",Guess the compound word breakdown,Image
"一重","偏","ひとえ
ひと｜へ
一重",Guess the compound word breakdown,Image
"一重に","偏に","ひとえに
ひと｜へ｜に
一重に",Guess the compound word breakdown,Image
"下ろし","卸","おろし
下ろし",Guess the compound word breakdown,Image
"下垂る","滴る","したたる
下垂る",Guess the compound word breakdown,Image
"乞い願う","希う","こいねがう
乞い願う",Guess the compound word breakdown,Image
"争ふ","相撲","すもう
すまふ
争ふ",Guess the compound word breakdown,Image
"事割り","理","ことわり
こと｜わり
事割り",Guess the compound word breakdown,Image
"二度","再び","ふたたび
ふた｜たび
二度",Guess the compound word breakdown,Image
"仕付け","躾","しつけ
し｜つけ
仕付け",Guess the compound word breakdown,Image
"仕合はせ","幸せ","しあわせ
し｜あはせ
仕合はせ",Guess the compound word breakdown,Image
"傅くしむ","慈しむ","いつくしむ
いつくしむ
傅くしむ",Guess the compound word breakdown,Image
"先駆け","魁","さきがけ
さき｜がけ
先駆け",Guess the compound word breakdown,Image
"凍り","氷","こおり
こほり
凍り",Guess the compound word breakdown,Image
"出し","山車","だし
だし
出し",Guess the compound word breakdown,Image
"出づ水","泉","いずみ
いづ｜み
出づ水",Guess the compound word breakdown,Image
"刃金","鋼","はがね
刃金",Guess the compound word breakdown,Image
"受け賜る","承る","うけたまわる
うけ｜たまわる
受け賜る",Guess the compound word breakdown,Image
"口濯く,口濯ぐ","漱ぐ","くちすすぐ
くち｜すすく
くち｜すすぐ
口濯く,口濯ぐ",Guess the compound word breakdown,Image
"口端","嘴","くちばし
くち｜ばし
口端",Guess the compound word breakdown,Image
"口縁","唇","くちびる
くち｜べり
口縁",Guess the compound word breakdown,Image
"口輪","轡","くつわ
くつ｜わ
口輪",Guess the compound word breakdown,Image
"口食み","轡","くつばみ
くつ｜ばみ
口食み",Guess the compound word breakdown,Image
"召し","飯","めし
めし
召し",Guess the compound word breakdown,Image
"唾吐き","唾","つばき
つ｜ばき
唾吐き",Guess the compound word breakdown,Image
"固まり","塊","かたまり
固まり",Guess the compound word breakdown,Image
"土養ふ","培う","つちかう
つち｜かふ
土養ふ",Guess the compound word breakdown,Image
"城築く","築く","きずく
き｜づく
城築く",Guess the compound word breakdown,Image
"塩辛し","鹹い","しおからい
しほ｜からし
塩辛し",Guess the compound word breakdown,Image
"墨研り","硯","すずり
すみ｜ずり
墨研り",Guess the compound word breakdown,Image
"大旨","概ね","おおむね
おほ｜むね
大旨",Guess the compound word breakdown,Image
"大殿","大臣","おとど
おほ｜との
大殿",Guess the compound word breakdown,Image
"大神","狼","おおかみ
大神",Guess the compound word breakdown,Image
"女取る・妻取る","娶る","めとる
女取る・妻取る",Guess the compound word breakdown,Image
"妹人","妹","いもうと
いも｜ひと
妹人",Guess the compound word breakdown,Image
"官取る,官取どる","司る","つかさどる
つかさ｜どる
官取る,官取どる",Guess the compound word breakdown,Image
"寄す処","縁","よすが
よす｜が
寄す処",Guess the compound word breakdown,Image
"寝屋","閨","ねや
寝屋",Guess the compound word breakdown,Image
"寝座","塒","ねぐら
寝座",Guess the compound word breakdown,Image
"小石","礫","こいし
小石",Guess the compound word breakdown,Image
"屋代","社","やしろ
や｜しろ
屋代",Guess the compound word breakdown,Image
"屋形","館","やかた
や｜かた
屋形",Guess the compound word breakdown,Image
"岩穂","巌","いわお
いは｜ほ
岩穂",Guess the compound word breakdown,Image
"峰処","丘","おか
を｜か
峰処",Guess the compound word breakdown,Image
"巧み","匠","たくみ
巧み",Guess the compound word breakdown,Image
"差し挟む","挟む","さしはさむ
さし｜はさむ
差し挟む",Guess the compound word breakdown,Image
"庭鳥","鶏","にわとり
には｜とり
庭鳥",Guess the compound word breakdown,Image
"引き率る,引き居る","率いる","ひきいる
ひき｜ゐる
ひき｜ゐる
引き率る,引き居る",Guess the compound word breakdown,Image
