Question,Answer,Comment,Instruction,Render as
"[亜ぐ;次ぐ] [仔]
||stepchild||","継子,けいし;ままこ;ままっこ",,Guess the 2-kanji jukugo from given clues,Text
"[亜ぐ;次ぐ] [熾す;興す]
||occurring in succession||","継起,けいき",,Guess the 2-kanji jukugo from given clues,Text
"[亡う] [付く;附く]
||blunder;conceded goal;error;lost point (in a game)||","失点,しってん",,Guess the 2-kanji jukugo from given clues,Text
"[亡う] [功;聞き;聴き;~聞く;~聴く]
||abatement;becoming void;expiration;expiry;invalida||","失効,しっこう",,Guess the 2-kanji jukugo from given clues,Text
"[亡う] [神;芯;~芯]
||faint;losing consciousness;swoon||","失心,しっしん",,Guess the 2-kanji jukugo from given clues,Text
"[仆れる;斃れる;殪れる] [点てる;閉てる;~発つ;~起つ]
||handstand||","倒立,とうりつ",,Guess the 2-kanji jukugo from given clues,Text
"[仆れる;斃れる;殪れる] [翳;蔭;陰;~翳;~蔭;~陰]
||reflection||","倒影,とうえい",,Guess the 2-kanji jukugo from given clues,Text
"[仔] [友;朋]
||child;children||","子供,こども",,Guess the 2-kanji jukugo from given clues,Text
"[付く;附く] [刺す;射す;指す;挿す;止す;鎖す;閉ざす;~注す;~点す]
||point difference;point spread||","点差,てんさ",,Guess the 2-kanji jukugo from given clues,Text
"[付く;附く] [品;~下;~許]
||book with reading aids (such as kana or punctuatio||","点本,てんぽん",,Guess the 2-kanji jukugo from given clues,Text
"[付く;附く] [尾ける]
||dispensing a drop or spot of something;spot applic||","点着,てんちゃく",,Guess the 2-kanji jukugo from given clues,Text
"[付く;附く] [神;芯;~芯]
||cakes;dim sum;refreshment;simple Chinese food;Zen ||","点心,てんしん;てんじん",,Guess the 2-kanji jukugo from given clues,Text
"[付く;附く] [軍]
||point cloud;point group||","点群,てんぐん",,Guess the 2-kanji jukugo from given clues,Text
"[代え;換え;替え] [変え]
||change;conversion;transformation||","変換,へんかん",,Guess the 2-kanji jukugo from given clues,Text
"[代え;換え;替え] [形;~形]
||variation;variety||","変型,へんけい",,Guess the 2-kanji jukugo from given clues,Text
"[代え;換え;替え] [方]
||law revision;revised law||","変法,へんぽう",,Guess the 2-kanji jukugo from given clues,Text
