question,answer,comment,instruction
時,"じ,とき,どき","(1) time, moment, (2) hour",Guess the shogi term
形,"かた,がた,かたち,けい,なり","(good) shape; formation, position",Guess the shogi term
着,"ぎ,ちゃく","(one) move",Guess the shogi term
的,"てき,まと","aim, object",Guess the shogi term
腹,"はら","belly",Guess the shogi term
角,"かく,かど,すみ,つの","Bishop (Horned Chariot)",Guess the shogi term
盤,"さら,ばん","board",Guess the shogi term
椿,"ツバキ,つばき","camellia",Guess the shogi term
機,"き,はた","chance",Guess the shogi term
冠,"かうぶり,かがふり,かぶり,かむり,かん,かんぶり,かんむり,こうぶり","crown, major title",Guess the shogi term
段,"たん,だん","dan (higher grade)
rank (horizontal)",Guess the shogi term
図,"ず","diagram",Guess the shogi term
差,"さ,サシ,さし","difference",Guess the shogi term
方,"え,かた,がた,さま,へ,べ,ほう","direction",Guess the shogi term
生,"いく,うぶ,き,しょう,せい,なま,なまり,ふ","does not promote",Guess the shogi term
竜,"たつ,りゅう,りょう","Dragon (Dragon King), promoted rook",Guess the shogi term
引,"びき","draws back",Guess the shogi term
打,"だ,ダース","drops",Guess the shogi term
端,"たん,つま,はし,はじ,はした,はた,はな","edge",Guess the shogi term
入,"いり,しお","enters the promotionzone",Guess the shogi term
戦,"いくさ,せん","fight; game; match
game, fight; match",Guess the shogi term
筋,"きん,スジ,すじ","file; diagonal
tactics, tactical move, (standard) combination
tesuji, tactic, tactical move or sequence, petite combinasion",Guess the shogi term
左,"さ,ひだり","from the left",Guess the shogi term
右,"みぎ","from the right",Guess the shogi term
局,"きょく,つぼね","game",Guess the shogi term
金,"かな,かね,きん,こがね","Gold (Gold General)",Guess the shogi term
頭,"あたま,かしら,がしら,かぶし,かぶり,こうべ,ず,つむ,つむり,とう,ドタマ,どたま","head of --",Guess the shogi term
穴,"あな,ケツ,けつ,めど","hole",Guess the shogi term
馬,"ウマ,うま","Horse (Dragon Horse), promoted bishop",Guess the shogi term
意,"い","idea, thought, meaning",Guess the shogi term
合,"あい,ごう","interposes any piece (only used in solutions of Tsume Shogi)",Guess the shogi term
桂,"カツラ,かつら,けい","Japanese Judas tree (Cercidiphyllum Jap.)
Knight (Laurel Horse)",Guess the shogi term
玉,"ぎょく,たま","king (Jade General)",Guess the shogi term
王,"おう,おおきみ,おおぎみ","king",Guess the shogi term
級,"きゅう","kyu (lower grade)",Guess the shogi term
香,"か,かおり,きょう,こう,こり","Lance (Fragrant Chariot)",Guess the shogi term
寿,"ことぶき,じゅ","Long Life (Z.K. 100, a 611 move tsume, made by Kanju when he was 13 years old; not surpassed until 1955)",Guess the shogi term
損,"そん","loss",Guess the shogi term
気,"き,ぎ,け,げ","mind, mood, spirit",Guess the shogi term
分,"ぶ,ふん,ぶん","minute(s)",Guess the shogi term
手,"て","move; tempo",Guess the shogi term
直,"あたい,あたいえ,あたえ,じか,じき,ただ,ちょく,なお,ね,ひた","moves straight (vertical)",Guess the shogi term
上,"うえ,うわ,かみ,じょう","moves up",Guess the shogi term
桑,"くわ","mulberry",Guess the shogi term
敵,"かたき,てき","opponent",Guess the shogi term
桐,"キリ,きり","paulownia",Guess the shogi term
歩,"あゆみ,かち,ふ,ぶ,ほ","Pawn (Foot soldier)",Guess the shogi term
駒,"こま","piece(s)",Guess the shogi term
味,"あじ,み","potential (for attack) (lit. flavour, taste)",Guess the shogi term
問,"とい,もん","problem",Guess the shogi term
得,"う,とく","profit, gain (of material)",Guess the shogi term
飛,"ひ","Rook (Flying Chariot)",Guess the shogi term
秒,"びょう","second(s)",Guess the shogi term
順,"じゅん,ずん","sequence (of moves)",Guess the shogi term
銀,"ぎん,しろかね,しろがね","Silver (Silver General)",Guess the shogi term
同,"どう","takes (and moves to the square just mentioned)",Guess the shogi term
技,"ぎ,わざ","technique; art; skill",Guess the shogi term
位,"い,くらい","vanguard pawn (position)",Guess the shogi term
材,"ざい","-wood",Guess the shogi term
一着,"いっちゃく","(one) move",Guess the shogi term
順序,"じゅんじょ","(right) order of moves",Guess the shogi term
書体,"しょたい","(style of) script",Guess the shogi term
逆転,"ぎゃくてん","(sudden) reversal, turnover (of an advantageous position in a disadvantageous position by a mistake in the late middle-game or end-game)",Guess the shogi term
取る,"とる","(threaten to) take (also: take up a position)",Guess the shogi term
甘い,"あまい,うまい","(too) lenient, lax, slack",Guess the shogi term
一打,"いちだ","a blow, a drop",Guess the shogi term
一手,"いって,ひとて","a move; the only move; one tempo",Guess the shogi term
一発,"いっぱつ","a shot, a charge",Guess the shogi term
一助,"いちじょ","a support",Guess the shogi term
捌く,"さばく","achieve sabaki, develop, dispose of, disentangle",Guess the shogi term
実戦,"じっせん","actual game",Guess the shogi term
感心,"かんしん","admiration, wonder",Guess the shogi term
進行,"しんこう","advance",Guess the shogi term
進む,"すさむ,すすむ","advance, develop",Guess the shogi term
進出,"しんしゅつ","advance, expansion",Guess the shogi term
利点,"りてん","advantage",Guess the shogi term
有利,"ゆうり","advantage, profit",Guess the shogi term
狙う,"ねらう","aim at",Guess the shogi term
目的,"もくてき","aim, object",Guess the shogi term
八方,"はっぽう","all directions",Guess the shogi term
迎撃,"げいげき","ambush",Guess the shogi term
応手,"おうしゅ","answer",Guess the shogi term
解答,"かいとう","answer, solution",Guess the shogi term
控室,"ひかえしつ","anteroom",Guess the shogi term
脇息,"きょうそく","armrest",Guess the shogi term
運び,"はこび","arrangements, paving the way, progress",Guess the shogi term
芸当,"げいとう","art; feat",Guess the shogi term
技術,"ぎじゅつ","art; technique; skill",Guess the shogi term
攻め,"せめ","attack (n)",Guess the shogi term
攻防,"こうぼう","attack and defence",Guess the shogi term
襲う,"おそう","attack",Guess the shogi term
撃つ,"うつ,ぶつ","attack, destroy",Guess the shogi term
突く,"つく,つつく","attack, thrust (also: push a pawn)
push (pawn) (also: thrust, attack)",Guess the shogi term
下段,"かだん,げだん","back rank",Guess the shogi term
背中,"せなか","back",Guess the shogi term
悪手,"あくしゅ","bad move",Guess the shogi term
悪形,"あくがた,あくけい","bad shape",Guess the shogi term
悪い,"にくい,わるい","bad",Guess the shogi term
均衡,"きんこう","balance",Guess the shogi term
拠点,"きょてん","basis (for attack)",Guess the shogi term
基地,"きち","basis",Guess the shogi term
足場,"あしば","basis, foothold",Guess the shogi term
優る,"まさる","be better",Guess the shogi term
驚く,"おどろく","be surprised, frightened",Guess the shogi term
緩む,"ゆるむ","be weak",Guess the shogi term
劣る,"おとる","be worse",Guess the shogi term
実る,"みのる","bear fruit, be successful",Guess the shogi term
