Question,Answer,Comment,Instruction,Render As
"「うちの子、最近机とかかじるんだけど、お腹空いてるのかな？」「ちがうよ。歯が生え始めてるんだよ。子供って、歯が生える頃になると、机とか椅子とかかじるものなのよ。心配しなくて大〇夫よ」
「今度、子供たちに英語を教えることになったんだけど、嬉しい反面、緊張する。上手く喋れるかな」「すごいじゃん。少々失敗しても、ご愛敬ってことで大〇夫よ。自信もって頑張ってね！」
「昨夜、牡蠣食べたら、お腹痛くなって夜からずっとトイレとお友達なの」「大〇夫？今日休む？」「うん。そうする」「じゃぁ、みんなには伝えとくから、ゆっくり休んでね」「ありがとう」",丈,"丈:length;ten shaku;measure;Mr.;Ms.;height;stature;all (one has);only;that's all;merely",Guess the hidden Kanji,Text
"大〇夫だよ。最近、〇しいだけだよ。
大〇夫。〇しいだけだよ。",丈忙,"丈:length;ten shaku;measure;Mr.;Ms.;height;stature;all (one has);only;that's all;merely
忙:busy;occupied;restless",Guess the hidden Kanji,Text
"「あっ、財布にお金入れてくるの忘れたかも」「なぬっ」「まぁ、カードがあるし......。あっ、財布がない。財布、持ってくるの忘れたかも。まぁ、大〇夫かぁ」「はじめから、人の財布を当てにしてただろう？」「〇う。〇う。本当に忘れたんだって」
大〇夫、君ならジャストフィット間〇いないよ。",丈違,"違:difference;differ
丈:length;ten shaku;measure;Mr.;Ms.;height;stature;all (one has);only;that's all;merely",Guess the hidden Kanji,Text
"通貨、すなわち、当時だれもが用いていた言い方に従えば、通常の王国法貨を〇える代わりに、雇い主は従業員に代用貨幣をあたえていました。そして、この代用貨幣は金属だったり、木だったり、厚紙だったりしました。
私の友人に大学を卒業して立派な官吏となっておる者がある。ある時この人が私に曰うに、僕は学校に於て教ったことは何も役に立たなかった、しかし少しばかり学んだ哲学が僕に非常な利益を〇えたと。
一次リーグで敗退したほとんどのチームは国民を大いに失望させることになった。しかし、ボスニア・ヘルツェゴビナは最終戦に勝利して、民族紛争に明け暮れてきた国民に大きな夢と希望を〇えた。",与,"与:bestow;participate in;give;award;impart;provide;cause;gift;godsend",Guess the hidden Kanji,Text
"世の中のすべての人々が、あなたが〇えられてきたような有利な条件に〇まれてきたわけではない。
〇党の首脳たちは政治改革法案で知〇をしぼっています。
〇えられるより〇える方がいっそう〇まれている。",与恵,"恵:favor;blessing;grace;kindness
与:bestow;participate in;give;award;impart;provide;cause;gift;godsend",Guess the hidden Kanji,Text
"エメット理論が物理学に〇えたインパクトについては広く議論されているが、この論文では〇わない。
エメット理論が生物学に〇えたインパクトに関しては〇わない。",与扱,"扱:handle;entertain;thresh;strip
与:bestow;participate in;give;award;impart;provide;cause;gift;godsend",Guess the hidden Kanji,Text
"あの家は私のおばあさんが小さい時に住んでいた〇の上にあってひなぎくに囲まれまわりにりんごの木が植わっていた家にとてもよく似ている。
村落の子供はしばしば、〇の上に集まって、そこでトラックや自動車が町へ行ったり来たりするのを見るようになりました。
夏になると日が長くなり小さいおうちのまわりの木々は緑の葉でつつまれ、そして〇はひなぎくの花でまっしろになります。",丘,"丘:hill;knoll",Guess the hidden Kanji,Text
"〇の〇面にはキャンピングカーがいっぱいあった。
岩は〇の〇面を転がり落ちた。",丘斜,"丘:hill;knoll
斜:diagonal;slanting;oblique",Guess the hidden Kanji,Text
"私の家がある〇は市の全景を見〇すことができる。
〇の上の私達の学校から富士山がよく見〇せます。
私達は〇の頂上からの景色を見〇した。",丘渡,"丘:hill;knoll
渡:transit;ford;ferry;cross;import;deliver;diameter;migrate",Guess the hidden Kanji,Text
"〇の上に１〇の大きな家があります。
その〇の中腹に家が一〇あった。
〇の上に１〇の家があります。",丘軒,"丘:hill;knoll
軒:flats;counter for houses;eaves",Guess the hidden Kanji,Text
