Question,Answer,Comment,Instruction,Render As
"〇部のプログラマーは忘れているようだが、良いドキュメントを書くということは、良いプログラムを書くことよりも重要とは言わないまでも、同じ程度には重要なことなのだ。
たった〇つ点っていたその角の家の門灯が、突然消えたのには、何か意味がありそうだった。 　あるいは偶然かも知れない。が偶然にしても不吉な偶然だと思った。
「そうそう。せめて２階にも増やして欲しい・・・ってなんでお前がここにいる！？」「なんでって、そんなん決まってるやんか。〇緒に連れションするためや」",一,"一:one;one radical (no.1)",Guess the hidden Kanji,Text
"〇寧に添削してくださってありがとうございます。自分の間違いがとてもよく分かりました。
キレの良い包〇と私の腕があれば、野菜のみじん切りなんてあっという間よ。
はぁ？極みの野郎、ほんとキモっ。何でもかんでも包〇にしてるよ。",丁,"丁:street;ward;town;counter for guns, tools, leaves or cakes of something;even number;4th calendar sign",Guess the hidden Kanji,Text
"私の叔父さんの農場の〇面鳥たちは非常にやかましい。誰かにさっさと食べられたらいいのにと心底願っています。
ねえあなた、〇時に食事の準備ができてなかったら、わたしレストランに行きたいわ。
ねえ、もしさ、〇時にご飯できてないんだったら、ぼくレストランに行くよ。",七,"七:seven",Guess the hidden Kanji,Text
"「見てみて。この一〇円札、999999のゾロ目よ。すごくない？」「それは、偽札だよ」「えっ、どうして？」「日本のお札は、000001から900000までって決まってるからね」
もちろん〇能ではないからといって価値がないわけではないから、ＧＴＤはダメということにはならない。
レディ・ガガはハリケーン・サンディの被災者救済のため、赤十字に百〇ドルを寄付した。",万,"万:ten thousand;10,000",Guess the hidden Kanji,Text
"私どもは、再〇にわたり未払いになっている請求書１１１１のお支払いをしていただくようにお願いしてまいりました。
今回の問題は、非常に複雑な事情が深く関わっているため、第〇者が独自に調査する必要がある。
ピッチャーが誰であろうと、うちのナンバーワンバッターを〇振させることはできないだろう。",三,"三:three",Guess the hidden Kanji,Text
"英語がどうやったら〇達するか、ずっと悩んでるの。時々、言いたいこととか状況が説明できなかったり、自分でいい表現が浮かばなかったりするのよ。どうしたら、うまくできるようになると思う？
こうした熊独特の特徴が、熊が動かずに狩猟すること（アザラシの呼吸孔の脇でじっと動かず、アザラシが海面に〇がってくるのを待つ）を好む説明になっている。
世界の旅客機の半数以〇を製造しているボーイング社は、もっともなことだが、機体の他に欠陥を起こす可能性のあるものに、注意を引こうと躍起になっている。",上,"上:above;up",Guess the hidden Kanji,Text
"選対責任者のデビッド・プラフに。この選挙戦の縁の〇の英雄。アメリカの歴史でおそらく最高の選挙運動を設計したデビッド・プラフに、感謝したい。
添付ファイルに適応したソフトウエアを持っていないので、ファイルを開けません。別のファイル形式で再送して〇さい。
裁判官はその未決囚の行動に対する嫌悪の念をためらうことなくあからさまにして、できるだけ過酷な刑を〇した。",下,"下:below;down;descend;give;low;inferior",Guess the hidden Kanji,Text
"それに彼女はそれを受け入れることを拒否したのでずいぶん〇快な状態で生活してきたのである。「なんで自分のいやな場所に自分を縛りつけることで貯められるお金を全部使わなきゃならないの？」と文句を言いながら。
アマゾンから「アカウントへの〇正なアクセスがありました」ってメールが来て焦ったんだけど、よくよく考えると、アマゾンにアカウント持ってないんだよね。
そして、おしんとは違って、彼らは確かに〇平を言う。間違いなく勤務中には言わないだろうし。おおっぴらには普通言わないだろうが。",不,"不:negative;non-;bad;ugly;clumsy",Guess the hidden Kanji,Text
"９〇紀以降のバイキングの勢力拡大はノルマンディ、ガリシア、アンダルシア、シチリア、クリミアといった地域へと達した。
あなたがスポットを〇話するって言ったとき、そういった責任が生じるのは分かっていたはずでしょ。
彼は口下手で、お〇辞にも要領がいいとは言えませんが、それだけかえって私は彼が好きなのです。",世,"世:generation;world;society;public",Guess the hidden Kanji,Text
"「どうして靴下っていつも片一方だけなくなるんだろう？」「〇方なくなったらなくなったことに気づかないんだよ」「あ、そっか」
今、すべてをお話しするわけにはいきませんが、要するに、私の〇親は、今年の夏、当地には来ないのです。
お前と俺は、今回のプロジェクトでは車の〇輪ということだろう。仲良くしないことにはうまくいかないよ。",両,"両:both;old Japanese coin;counter for carriages (e.g., in a train);two",Guess the hidden Kanji,Text
