Question,Answer,Comment,Instruction,Render As
"マシュマロを〇に刺して火にあぶって食べるやつ、名前は知らないんだけどすごくうまそうだったよ。今度うちでもやってみようよ。
これは大阪で最高の〇かつのレストランです。",串,"串:spit;skewer",Guess the hidden Kanji,Text
"国の経済だって、家庭の経済だって、個人の経済だって、〇勘定でいいものではない。
スタミナ〇なのに量少なくないか？",丼,"丼:bowl;bowl of food",Guess the hidden Kanji,Text
"三村・泰〇氏（みむら・やすゆき＝コニチカ株式会社取締役）三日、心不全で死去。４５歳。
坂崎幸〇助はアルフィーに所属しています。
彼の名前は小倉知〇です。",之,"之:of;this",Guess the hidden Kanji,Text
"凍死しそうな〇食が手当てのため、病院に運び込まれた。だが、その〇食は治療費を清算するような金は一文も、もってなかった。
「なぜ物〇いなんかしてるんだね、ディオゲネスよ」「慈悲深さというのを教えてやってるんだ」
女性の〇食が５～６人の子どもをぞろぞろつれて物〇いをしていました。",乞,"乞:beg;invite;ask",Guess the hidden Kanji,Text
"「由美さん、見てくださいよ。斎藤さん、また晴〇くんいじめてますよ」「ほんとだ。この間、晴〇くん、マネージャーに褒められてたから、それが気に入らないんじゃないの？」「そうなんですか？」「さぁ？斎藤さんに聞いてみたら？」
「和〇さんって、ほんとカッコいいですよね？」「はい。知ってるよ」
達〇にはニューヨーク住まいの友人が数人いる。",也,"也:to be (classical)",Guess the hidden Kanji,Text
"クレオパトラの鼻が曲っていたとすれば、世界の歴史はその為に一変していたかも知れないとは名高いパスカルの警句である。しかし恋人と〇うものは滅多に実相を見るものではない。いや、我我の自己欺瞞は一たび恋愛に陥ったが最後、最も完全に行われるのである。
私と、同僚とが、山の崖っぷちに立っている小屋に等しい二間の家ーー二間と〇っても、上り口と、その次と、六畳に二畳の家に住んでいた。食べるものは、芋、干魚、豆腐、寒い山の上なので、冬になると芋が凍っている。
外に出る時は洋服、家の中では和服に限るとは誰も〇ふことだが、雨上りのぬかるみを高下駄でこねゆく風情もまた一興である。",云,"云:say",Guess the hidden Kanji,Text
"私たちみんなが目指しているこのことが、完全には達成されない方が良いというのは、人生の〇細とはいえない皮肉である。
実際には、極めて〇細な意味における場合を除いて、このことはまったく事実ではないように思われる。
あなたには〇細な事に思えるかも知れませんが、私にとってそれは注意すべきことなのです。",些,"些:a little bit;sometimes",Guess the hidden Kanji,Text
"テニスで〇は優太に一度も負けたことがなかたのに、あの試合だけは優太の圧勝だった。あの時、二人には一体何があったのだろうか。
〇は、相当酔っ払ってて、足元がおぼついてなかったよ。
〇を驚かす方法、ちょっと一緒に考えてよ。",亨,"亨:pass through;go smoothly",Guess the hidden Kanji,Text
"外国人を悩ますもう一つの、多くの日本人のもつ傾向は、「すべての」「あらゆる」というような言葉を使ったり、〇めかしたりして、あまりにも一般的であり、あまりにも広がりのある表現をする点にある。
脚韻と平〇が漢詩の基本的ルールとなっています。
教授がいつも不穏な未来を〇めかしてくるよ。",仄,"仄:be seen dimly;suggest;intimate;faint;stupid;hint",Guess the hidden Kanji,Text
"カーペットには埃を吸収するダストポケット効果があり、埃の飛散を防ぐ特長があるのだが、それが〇になった結果といえる。
なんぢわが〇のまへに我がために筵をまうけ、わが首にあぶらをそゝぎたまふ。わが酒杯はあふるゝなり。
彼らはおじを殺して父の〇を討とうと決心した。",仇,"仇:foe;enemy;revenge;grudge;feud",Guess the hidden Kanji,Text
