Question,Answer,Comment,Instruction,Render as
"鷽","うそ","𪀯,𬷗: スズメ目アトリ科の鳥。ユーラシア大陸に広く分布する。","Guess the reading, Level: 05",Image
"崟崟","ぎんぎん","㖗㖗,崯崯: 高くけわしいさま。","Guess the reading, Level: 05",Image
"檠","ともしびたて","㯳,灯立て: 灯火をたてるための台。","Guess the reading, Level: 05",Image
"薺","なずな","𮐥: アブラナ目アブラナ科の越年草。春の七草のひとつ。","Guess the reading, Level: 05",Image
"柞","ははそ,はわそ","𬄥: ブナ目ブナ科の落葉広葉樹。小楢(こなら)とも。
「ほうそ」「こなら」とも。","Guess the reading, Level: 05",Image
"庵点","いおりてん","〽: 日本語で、歌のはじめなどに置かれる約物のひとつ。〽","Guess the reading, Level: 05",Image
"寸寸","ずたずた","[⿱寸寸]「ずたずた」と訓む国字: こまかく、きれぎれであるさま。
「すんずん」とも。","Guess the reading, Level: 05",Image
"何時何時","いつなんどき","「何時(いつ)」を強めた語のこと。","Guess the reading, Level: 05",Image
"残念閔子騫","残念びんしけん","「残念」を孔門十哲の一人「顔淵」にかけ、同じく十哲の「閔子騫」と掛けたしゃれ。
漢学書生に始まる地口の一。","Guess the reading, Level: 05",Image
"石蓴","あおさ","アオサ目アオサ科の緑藻の総称。一部の緑藻は食用として利用される。","Guess the reading, Level: 05",Image
"丱角","かんかく","あげまき。幼児。","Guess the reading, Level: 05",Image
"頤を解く","おとがいを解く","あごが外れるほど大口を開けて笑うこと。
「おとがい」のみであれば、頦、顄、頜、頥、𫆺、𮨈 などの別表記有り。","Guess the reading, Level: 05",Image
"鬚髯","しゅぜん","あごひげと、ほおひげ。","Guess the reading, Level: 05",Image
"欺瞞","ぎまん","あざむくこと。だますこと。","Guess the reading, Level: 05",Image
"哂笑","しんしょう","あざわらうこと。","Guess the reading, Level: 05",Image
"膃肭臍","おっとせい","アシカ科のうち、キタオットセイ属とミナミオットセイ属の総称。","Guess the reading, Level: 05",Image
"鶩列","ぼくれつ","アヒルのようにならぶこと。また、朝廷の百官の列。","Guess the reading, Level: 05",Image
"応接に暇あらず","応接にいとまあらず","あまりにも物事が続いて起きるので、ゆっくり対応する余裕がないこと。","Guess the reading, Level: 05",Image
"聖林","ハリウッド","アメリカ合衆国カリフォルニア州のロサンゼルス市にある地区。","Guess the reading, Level: 05",Image
"愆尤","けんゆう","あやまち。過失。","Guess the reading, Level: 05",Image
"雹霰","はくさん,はくせん","あられのこと。","Guess the reading, Level: 05",Image
"限限","ぎりぎり","あることを限度として、それ以上、それ以外に余地のないこと。","Guess the reading, Level: 05",Image
"明礬泉","みょうばんせん","アルミニウムと硫酸イオンを含む温泉。&ruby{収斂}(しゅうれん}作用があり慢性皮膚病に有効とされる。","Guess the reading, Level: 05",Image
"演繹法","えんえきほう","ある前提から必然性をもって、段階的に結論を導く思考方法。帰納法に対する概念。","Guess the reading, Level: 05",Image
"等閑","なおざり","いいかげんにしておくさま。","Guess the reading, Level: 05",Image
"吝嗇臭い","けちくさい","いかにもけちである。しみったれ。","Guess the reading, Level: 05",Image
"悍ましい","おぞましい","いかにも嫌な感じがする。ぞっとするほど、いとわしいようである。
「鈍(おぞ)ましい」は、鈍いこと。愚かしいこと。","Guess the reading, Level: 05",Image
"背凭れ","せもたれ","いすの後部に取り付けられており、背中をもたせかける部分。","Guess the reading, Level: 05",Image
"目紛しい","めまぐるしい","いろいろな物事が次々に通りすぎ、目がまわるようである。","Guess the reading, Level: 05",Image
"霊鷲山","りょうじゅせん","インドに位置する山。釈迦が説法した所と伝えられている。","Guess the reading, Level: 05",Image
"疣猪","いぼいのしし","ウシ目イノシシ科の動物の総称。顔に垂れた肉と、発達した鋭い牙をもつ。","Guess the reading, Level: 05",Image
"器皿","きべい","うつわ。また、皿や小鉢。","Guess the reading, Level: 05",Image
"足恭","すきょう","うやうやしさの度が過ぎること。また、おもねりへつらうこと。
「しゅきょう」「すうきょう」とも。","Guess the reading, Level: 05",Image
"影向","ようごう","えいこう: 神仏が一時姿を現すこと。","Guess the reading, Level: 05",Image
"訪う","おとなう,とむら・とぶらう","おとずれる。訪問する。また、安否を問う。見舞う。","Guess the reading, Level: 05",Image
"浮太","おきゅうと","お救人,沖独活: 福岡県の郷土料理。エゴノリを煮て、薄く平らまたは板状に固めた寒天状のもの。","Guess the reading, Level: 05",Image
"透菓子麺麭","すかしかしぱん","カシパン目スカシカシパン科の生物。浅い海の砂底に半ば埋もれて生息する。","Guess the reading, Level: 05",Image
"兄部","このこうべ","かしらとなる人。主に、力仕事にあたる力者のかしらを指す。","Guess the reading, Level: 05",Image
"僻陬","へきすう","かたいなか。へんぴな土地。","Guess the reading, Level: 05",Image
"黴びる","かびる","かびがはえる。また、比喩的に、古くなる。","Guess the reading, Level: 05",Image
"甕天","おうてん","かめの中の天地。転じて狭い世間の意で、見識の狭いことのたとえ。","Guess the reading, Level: 05",Image
"蟪蛄","にいにいぜみ","カメムシ目セミ科の昆虫。平地の雑木林や都市部の緑地に棲息する。","Guess the reading, Level: 05",Image
"枳棘","ききょく","カラタチとイバラ。転じて、心にとげのある悪人。","Guess the reading, Level: 05",Image
"縺れる","もつれる","からみ合って入り乱れる。","Guess the reading, Level: 05",Image
"孅い","かよわい","か弱い,繊い,𡣳い: 弱々しく頼りない感じである。","Guess the reading, Level: 05",Image
"土器菜","かわらけな","キク目キク科の二年草。タビラコの別称。","Guess the reading, Level: 05",Image
"華尼拉","バニラ","キジカクシ目ラン科のつる性多年草。発酵、乾燥を繰り返すと甘い香りを放つ。","Guess the reading, Level: 05",Image
"羊蹄","しのね","ギシギシの古名。
羊蹄(ギシギシ)、羊蹄(ようてい)とも。","Guess the reading, Level: 05",Image
"緑啄木鳥","あおげら","キツツキ目キツツキ科の鳥。日本固有種。","Guess the reading, Level: 05",Image
"規尼涅","キニーネ,キニネ","キナの樹皮に含まれる主要なアルカロイド。マラリア治療の特効薬として知られる。","Guess the reading, Level: 05",Image
"秦吉了","さるか","キュウカンチョウの別名。","Guess the reading, Level: 05",Image
"柳葉魚","ししゃも","キュウリウオ目キュウリウオ科の魚。日本の固有種。","Guess the reading, Level: 05",Image
"瞬ぐ","まじろぐ","𥆒ぐ: まばたきをする。またたく。","Guess the reading, Level: 05",Image
"榛色","はしばみいろ","くすんだ赤みの黄色。ヘーゼルナッツの色として例えられる。","Guess the reading, Level: 05",Image
"窪隆","わりゅう","くぼんだ所と盛り上がった所。盛衰。","Guess the reading, Level: 05",Image
"汚穢","おあい,おわい・おかい","けがれ、よごれていること。また、そのもの。","Guess the reading, Level: 05",Image
"陰蝨","つぶじらみ,つびじらみ","ケジラミの異名。","Guess the reading, Level: 05",Image
"籟き","ひびき","こえや音のこと。","Guess the reading, Level: 05",Image
"闖入者","ちんにゅうしゃ","ことわりもなく、突然に入り込んでくる人。","Guess the reading, Level: 05",Image
"護謨紐","ごむひも","ゴムや伸縮糸などを丸打ち、あるいは平打ちして加工した紐。","Guess the reading, Level: 05",Image
"巵酒","ししゅ","さかずきについだ酒。杯酒。","Guess the reading, Level: 05",Image
"上る","たてまつる","さしあげる。献上する。
「のぼ・る」「か・る」「つかまつ・る」などとも。","Guess the reading, Level: 05",Image
"沙蚕","ごかい","サシバゴカイ目ゴカイ科の環形動物。主に釣り餌として使用される。","Guess the reading, Level: 05",Image
"九面芋","やつがしら","サトイモの一品種。 親芋を中心に小芋がたくさんできて大きな塊となる。","Guess the reading, Level: 05",Image
"潺湲","せんかん,せんえん","さらさらと水の流れるさま。また、涙がしきりに流れるさま。","Guess the reading, Level: 05",Image
"諄い","くどい","しつこくて、うるさい。また、あっさりしていない。","Guess the reading, Level: 05",Image
"須臾","しゅゆ,すゆ・しばらく","しばらくの間。わずかの間。","Guess the reading, Level: 05",Image
"蹲る","つくばるる","しゃがむ。うずくまる。つくばう。","Guess the reading, Level: 05",Image
"賺す","すかす,だます","𬢽す: 機嫌をとって、こちらの言うことを聞き入れるようにさせる。","Guess the reading, Level: 05",Image
"黔突","けんとつ","すすけて黒くなった煙突。","Guess the reading, Level: 05",Image
"真鶸","まひわ","スズメ目アトリ科の小鳥。植物食で、果実や、種子、芽などを食べる。","Guess the reading, Level: 05",Image
"泛駕の馬","ほうがの馬","ずばぬけた才能や学識があって、普通の道に従わない英雄豪傑のたとえ。","Guess the reading, Level: 05",Image
"和氏の璧","かしの璧","すばらしい宝石のたとえ。「連城の璧」とも。","Guess the reading, Level: 05",Image
"擂粉木","すりこぎ","すり鉢で、物をするのに用いる棒。","Guess the reading, Level: 05",Image
"混凝土","コンクリート","セメントや砂、砂利に水を混合して固めた、建築用材のひとつ。","Guess the reading, Level: 05",Image
"就中","なかんずく","その中でも。とりわけ。","Guess the reading, Level: 05",Image
"傅く","かしずく","そばに付き添ってたすける。人に仕えて大切に世話をする。","Guess the reading, Level: 05",Image
"大角草","いささぐさ","ソラマメの別称.","Guess the reading, Level: 05",Image
"諷んじる","そらんじる","そら読みする。そらでうたう。また、朗読したり、節をつけてうたう。","Guess the reading, Level: 05",Image
"加之","しかのみならず","そればかりでなく。その上に。かてて加えて。","Guess the reading, Level: 05",Image
"互に","かたみにに","たがいに。かわるがわる。","Guess the reading, Level: 05",Image
"遏絶","あつぜつ","たちきること。とどめ滅ぼすこと。
閼絶(あつぜつ)は、絶つこと。","Guess the reading, Level: 05",Image
"涵す","ひたす","たっぷりと水につける。十分にうるおす。","Guess the reading, Level: 05",Image
"恙虫","つつがむし","ダニ目ツツガムシ科のダニの総称。","Guess the reading, Level: 05",Image
"喟然","きぜん","ため息をつくさま。 嘆息するさま。","Guess the reading, Level: 05",Image
"袂貝","たもとがい","タモトガイ科、またはフトコロガイ科の小形の巻き貝。","Guess the reading, Level: 05",Image
"袂別","べいべつ","たもとをわかつこと。わかれること。","Guess the reading, Level: 05",Image
"輓近","ばんきん","ちかごろ。最近。近来。","Guess the reading, Level: 05",Image
"花魁鳥","エトピリカ","チドリ目ウミスズメ科の鳥。橙色の大きなくちばしをもつ。","Guess the reading, Level: 05",Image
"銀天社蛾","ぎんしゃちほこ","チョウ目シャチホコガ科の昆虫。白銀色の見た目をしている。","Guess the reading, Level: 05",Image
"通草木葉蛾","あけびこのは","チョウ目ヤガ科の昆虫。後翅を前翅の下に隠し、枯れ葉に擬態する。","Guess the reading, Level: 05",Image
"塵埃","じんあい","ちりとほこり。また、世の中のもろもろの汚れたもの。俗世間の事柄。","Guess the reading, Level: 05",Image
"殫竭","たんけつ","つきはてること。すっかりなくなること。","Guess the reading, Level: 05",Image
"月不見月","つきみずづき","つきみずつき: 陰暦五月の異名。","Guess the reading, Level: 05",Image
"山原水鶏","やんばるくいな","ツル目クイナ科の鳥。沖縄の山原地域の固有種で、絶滅危惧種。","Guess the reading, Level: 05",Image
"甘葛","あまずら","つる草の一種。また、それらから採った甘味料のひとつ.","Guess the reading, Level: 05",Image
"天蚕糸","てぐす","テグスサンの幼虫から絹糸腺を取り出し、酸で処理して得た白色透明の糸。","Guess the reading, Level: 05",Image
"蓖麻子油","ひましあぶら,ひましゆ","トウゴマの種子から採取する植物油の一種。","Guess the reading, Level: 05",Image
"犂牛の喩え","りぎゅうのたとえの喩え","どんな家柄でも、すぐれた才能があれば、必ず世に用いられるという教え。","Guess the reading, Level: 05",Image
"捏ちあげ","でっちあげ","ないことをあるように作り上げたこと。捏造。","Guess the reading, Level: 05",Image
"棗脩","そうしゅう","ナツメと干し肉のこと。","Guess the reading, Level: 05",Image
"石鹸草","さぼんそう","ナデシコ目ナデシコ科の多年草。「サポナリア」とも。","Guess the reading, Level: 05",Image
"滑滑","ぬめぬめ","なめらかで、すべるようなさま。","Guess the reading, Level: 05",Image
