Question,Answer,Comment,Instruction,Render as
"term","当期,敬語,学期,新語,今期,条件,中退,前期,期限,満期,定期預金,雨水,任期,定期,名付ける,期間,冬期,用語,期末,夏期,大雪,新学期,節,次期,術語,短期間,言葉","当期 current term
敬語 term respect
学期 term
新語 modern term
今期 present term
条件 term
中退 leaving during term
前期 first term
期限 term
満期 expiration(term)
定期預金 term deposit
雨水 rain water solar term(approx. February 19)
任期 term office
定期 fixed term
名付ける term
期間 term
冬期 winter term
用語 term
期末 end term
夏期 summer term
大雪 major snow solar term(approx. Dec. 7)
新学期 new term
節 term
次期 next term
術語 technical term
短期間 short term
言葉 term",Guess Vocab related to Keyword,Text
"outside","県外,内外,他,外角,出前,内職,外,上手投げ,外側,表,場外,戸外,表面,域外,外圧,余所,社外,表裏,野外,町外れ,外部,国外,市外,外面,屋外,裏表","県外 outside prefecture
内外 inside outside;inside outside country
他 outside
外角 outside corner
出前 outside catering
内職 side job(outside main employment)
外 outside;outside;outside group(family,company,)
上手投げ throw using outside arm
外側 outside
表 outside
場外 outside hall(stadium,market,)
戸外 outside
表面 outside
域外 outside area
外圧 outside pressure
余所 outside(family group)
社外 outside company
表裏 inside outside
野外 outside
町外れ just outside city limits
外部 outside(building);outside world;outside(group,c
国外 outside country
市外 outside city
外面 outside
屋外 outside
裏表 inside outside",Guess Vocab related to Keyword,Text
"children","児童,乳幼児,利口,子どもたち,子ども達,国学,地蔵,小学,子供たち,妻子,子供用,子供,目覚まし,子供達,子女,子育て,賢い,子ども,授業参観,子弟,抱える","児童 children
乳幼児 babies very young children
利口 well-behaved(children pets)
子どもたち children
子ども達 children
国学 provincial(established under ritsuryō educating
地蔵 Kshitigarbha(bodhisattva looks children,travell
小学 children eight years old ancient China
子供たち children
妻子 wife children
子供用 children;use children
子供 children
目覚まし early-morning treat(traditionally given child
子供達 children
子女 children
子育て raising children
賢い well-behaved(children pets)
子ども children
授業参観 parents'(when parents observe children)
子弟 children younger brothers;children
抱える (children,)provide",Guess Vocab related to Keyword,Text
"disposition","意地,明るい,気,性格,性質,処理,根性,仮処分,気象,配置,気心,意気,英気,肌,行政処分,体質,配備,気性,気質,資質,配列","意地 disposition
明るい sunny(disposition)
気 disposition
性格 disposition
性質 disposition
処理 disposition
根性 disposition
仮処分 provisional disposition
気象 disposition
配置 disposition
気心 disposition
意気 disposition
英気 excellent disposition
肌 disposition
行政処分 administrative measures(disposition)
体質 disposition
配備 disposition
気性 disposition
気質 disposition;disposition
資質 disposition
配列 disposition",Guess Vocab related to Keyword,Text
"known","知れる,伝わる,売る,事,売れる,現す,判る,分かる,表わす,立つ,未知,未知数,売り込む,触れる,聞こえる,発表,表立つ,通る,現わす,表す,解る","知れる become known;known
伝わる become known
売る known
事 otherwise known;also known
売れる well known
現す widely known
判る known
分かる known
表わす widely known
立つ become widely known
未知 yet known
未知数 yet known
売り込む become well known
触れる known
聞こえる well known
発表 making known
表立つ become known
通る known
現わす widely known
表す widely known
解る known",Guess Vocab related to Keyword,Text
"baseball","打ち込む,球団,球場,巨人,プロ野球,回,捕る,点数,球界,野球,放つ,生きる,左腕,球技,見送る,連打,野球部,選抜,阪神","打ち込む practice hitting(baseball,tennis,)
球団 baseball team
球場 baseball stadium
巨人 Tokyo Giants(baseball team)
プロ野球 professional baseball
回 inning(baseball)
捕る catch(wild animal,fish,insect,baseball,)
点数 runs(baseball)
球界 baseball world
野球 baseball
放つ hit(baseball)
生きる safe(baseball,,)
左腕 left-handed(baseball pitcher)
球技 ball game(baseball,tennis,soccer)
見送る pitch(baseball)
連打 consecutive hits(boxing,baseball)
野球部 baseball club(university,corporation,);basebal
選抜 National Invitational High-School Baseball Tour
阪神 Hanshin(company name: railway,dept. store,baseb",Guess Vocab related to Keyword,Text
"content","内容,実,存分,塩分,放題,中身,入り,大いに,思う存分,実体,分,水気,肉,低い,度,思いっきり,腹一杯,思い切り,満喫","内容 content
実 content;content
存分 heart's content
塩分 salt content
放題 heart's content
中身 content
入り content
大いに heart's content
思う存分 heart's content
実体 content
分 content(alcohol)
水気 water content
肉 content
低い low(rank,degree,value,content,quality,)
度 alcohol content(percentage)
思いっきり heart's content
腹一杯 heart's content
思い切り heart's content
満喫 eating(drinking)heart's content",Guess Vocab related to Keyword,Text
"fortune","占う,不運,家財,付け,星,幸い,幸せ,左前,運,築く,富,福,祝う,資産,幸運,財産,築き上げる,財","占う tell fortune
不運 ill fortune
家財 family fortune
付け fortune
星 fortune
幸い fortune
幸せ good fortune
左前 going badly(business,fortune,economy)
運 fortune
築く build(reputation,position,fortune,)
富 fortune
福 good fortune
祝う wish(happy future,good fortune,)
資産 fortune
幸運 fortune
財産 fortune
築き上げる build(fortune,reputation,enterprise,)
財 fortune",Guess Vocab related to Keyword,Text
"exit","出場,口,裏口,出口,出入り口,出入口,退く,出る,北口,西口,通用,東口,抜ける,非常口,南口,退場","出場 exit
口 exit
裏口 rear exit
出口 exit
出入り口 exit entrance
出入口 exit entrance
退く exit
出る exit
北口 north exit
西口 west exit
通用 entrance exit
東口 east exit
抜ける exit(program loop)
非常口 emergency exit
南口 south exit
退場 exit(stage);exit",Guess Vocab related to Keyword,Text
"famous","名著,名物,有名,名優,売れる,有名人,偉い,名曲,大社,名画,本場,名所,聞こえる,名高い,無名,高名","名著 famous book
名物 famous product
有名 famous
名優 famous actor
売れる famous
有名人 famous
偉い famous
名曲 famous piece music
大社 famous shrine
名画 famous picture
本場 place famous
名所 famous place
聞こえる famous
名高い famous
無名 famous
高名 famous",Guess Vocab related to Keyword,Text
