Question,Answer,Comment,Instruction,Render as
"death","三回忌,四十九日,享年,七回忌,凍死,免れる,一周忌,亡き後,取り留める,圧死,人身事故,変死,圧殺,刺し殺す,仮死,切腹,命懸け,墓標,他界,存否,死別,刺殺,四苦八苦,命拾い,死期,必殺,急逝,悲報,死線,命がけ,大往生,訃報,死闘,極刑,死に物狂い,輪廻,非業の死,夭折,弔い合戦,道連れ,没年,突き止める,死没,没,物故,遺留,断末魔,生命線,辞世,逝去,死生,追善,瀕死,遺留品,決死,","三回忌 second anniversary death
四十九日 forty-ninth person's death
享年 age death
七回忌 sixth anniversary death
凍死 death cold;freezing death
免れる escape(disaster,death,)
一周忌 first anniversary person's death
亡き後 death
取り留める narrowly escape(death)
圧死 crushed death;death crushing
人身事故 accident resulting personal injury death(traf
変死 unnatural death;violent death;accidental death
圧殺 crushing death
刺し殺す stab death
仮死 (state)apparent death
切腹 seppuku death penalty(where convict decapitated
命懸け life death situation
墓標 writing headstone(,date death,)
他界 death
存否 ",Guess Vocab related to Keyword,Text
"good","七福神,併せ持つ,上出来,反面教師,一長一短,伯楽,伝,健脚,利かす,喜望峰,令嬢,善行,口添え,佳境,吉報,勧善懲悪,口裏,好敵手,善玉,好走,吉兆,功罪,精肉,善人,好演,好球,好打,情操,善良,名家,美点,大漁,幸,快投,底抜け,真実味,大福,奔走,良妻,好例,福音,見逃し,美味,着心地,大部,掘り出し物,聞き上手,安眠,良書,遠目,良俗,志士,当たり年,美貌,豊漁,穴場,美名,高配,芳","七福神 Seven Deities Good Luck
併せ持つ two things(same)(good bad points)
上出来 good work;good performance
反面教師 good example what(how behave)
一長一短 good points shortcomings
伯楽 good judge horses cattle
伝 good offices
健脚 good walker
利かす put good use
喜望峰 Cape Good Hope
令嬢 daughter good family
善行 good conduct;good deed
口添え putting good word
佳境 good part
吉報 good news
勧善懲悪 rewarding good punishing evil
口裏 divining good bad luck listening
好敵手 good match
善玉 good;good guy
好走 good run
吉兆 good omen
功罪 good points bad points
精肉 (good quality)meat
善人 good
好演 good per",Guess Vocab related to Keyword,Text
"away","やっ付ける,抜き去る,川流れ,流失,上げ下げ,取り払う,他界,取り払い,外勤,消失,氷解,走り去る,夜逃げ,打ちまくる,古び衰える,吹き飛ぶ,手放す,晴らす,遠ざける,巻き上げる,崩れ去る,流れ出る,吹き飛ばす,投げ捨てる,押し流す,消え入る,飛び立つ,持ち去る,突き飛ばす,程遠い,外泊,流れ出す,消し去る,追い返す,駆け落ち,辞世,飛び去る,逃げ腰,干上がる,追い立てる,突き放す,逃げ込む,","やっ付ける away
抜き去る take away
川流れ carried away current
流失 washed away
上げ下げ setting(meals,)clearing away
取り払う clear away
他界 pass away
取り払い clearing(away)
外勤 working away office
消失 dying away
氷解 melting away
走り去る run away
夜逃げ running night(leave old life behind,away debt)
打ちまくる hammer away;pound away(keyboard)
古び衰える waste away
吹き飛ぶ blow away
手放す send away(child)
晴らす clear away
遠ざける keep away
巻き上げる take away
崩れ去る crumble away
流れ出る drift away
吹き飛ばす blow away;drive away
投げ捨てる throw away
押し流す carry away;wash away;sweep away
消え入る die away
飛び立つ fly away
持ち",Guess Vocab related to Keyword,Text
"life","世間並み,不死,命懸け,世俗,処世,三次元,安住,余生,生命線,命がけ,殺生,数奇,取り留める,世話物,現世,命からがら,福寿,実生活,立志,更年期,夜逃げ,天寿,終生,命脈,存否,息の根,門出,死闘,死生,水生,静物,天命,死線,悠々自適,盛時,浮世,迫真,生気,廃車,暮らし向き,後半生,習い,捨て身,水切り,有為,長命,生活苦,独居,立身出世,隠居","世間並み ordinary(life behavior)
不死 eternal life
命懸け risking life;staking life;life death situation
世俗 ordinary life
処世 conduct life;making way through life
三次元 real life
安住 living quiet life
余生 rest life
生命線 life line(palm reading);matter life death
命がけ putting life line;staking life;life death situ
殺生 destruction life
数奇 checkered(life,career,)
取り留める hang onto(life)
世話物 sewamono(Edo-period drama contemporary life)
現世 life
命からがら dear life
福寿 long life happiness
実生活 actual life;real life;everyday life
立志 deciding life goal;fixing aim life
更年期 chang",Guess Vocab related to Keyword,Text
"new","再認識,新兵,住み替える,初音,年明ける,実用新案,三が日,出直す,年越し,新機軸,参賀,斬新,新酒,新奇,切り張り,新版,心機一転,転入,着任,新調,新館,新著,新刊書,新約聖書,新地,賀正,開所,新雪,歌会始,門松,新妻,新説,新式,開眼,替え歌,書き下ろす,賀状,除夜,遷宮,新顔,新月,黎明,門出,目新しい,新譜,開墾,新造,新道,開講","再認識 seeing new light
新兵 new recruit
住み替える move new house(apartment,)
初音 first warbling heard New Year
年明ける New Year dawns
実用新案 new design practical use
三が日 first three days New Year(January 1-3)
出直す turn new leaf
年越し greeting New Year(New Year's Eve);welcoming Ne
新機軸 new departure
参賀 congratulatory visit Imperial Palace(New Year)
斬新 new
新酒 new brew sake
新奇 new
切り張り cutting part pasting new(shoji door)
新版 new book;new edition;new publication
心機一転 turning new leaf
転入 transfer(new)
着任 taking new post
新調 buying new;new melody;new composition;making",Guess Vocab related to Keyword,Text
"food","寝食,供応,稲荷,切り盛り,下味,一工夫,流し込む,他山の石,栄養価,歯応え,重箱,焼き物,唐揚げ,佃煮,減食,兵糧,流動食,舌鼓,猪口,生鮮食料品,油揚げ,残飯,盛り付ける,副食,生物,離乳食,衣食,美食,磯辺,生ゴミ,舌触り,差し入れる,風俗営業,食べ歩き,食べ残し,食わず嫌い,鍋物,常食,飲み食い,揚げ物,食い物","寝食 bed food
供応 entertaining food drink
稲荷 fried tofu(said favourite food foxes)
切り盛り cutting serving food
下味 seasoning food
一工夫 bit more(food)
流し込む wash(food)
他山の石 food thought
栄養価 food value
歯応え feel food while chewed
重箱 multi-tiered food box
焼き物 flame-broiled food(fish)
唐揚げ deep-fried food(chicken)
佃煮 preserved food boiled sweetened soy sauce
減食 cutting food intake;reducing allowance food
兵糧 food
流動食 liquid food(diet)
舌鼓 smacking lips(food)
猪口 small deep porcelain bowl serving food
生鮮食料品 perishable food
油揚げ deep-fried food
残飯 leftover food;fo",Guess Vocab related to Keyword,Text
"through","乗り切る,介して,伝来,完遂,切り崩す,滑空,抜け穴,分け入る,処世,根っから,吹っ切れる,縦貫,担ぎ出す,苦学,押し通す,松風,総覧,棒引き,密輸入,繰る,突き破る,貫き通す,蘭学,踏破,聞き出す,決め込む,横流し,読破,縁組,青嵐,見抜く,読み切る,窓越し,見破る,見通す,貫通,素通り,見透かす,通り抜ける,透視,駆け抜ける","乗り切る through(adversity)
介して through medium
伝来 transmission(through successive generations)
完遂 carrying through
切り崩す cut through(mountain)
滑空 gliding(through air)
抜け穴 hole can through
分け入る push through
処世 making way through life
根っから through through
吹っ切れる break through(doubts)
縦貫 running through
担ぎ出す convince accept post(through flattery)
苦学 working way through
押し通す carry through;push through
松風 (sound)wind blowing through pine trees
総覧 looking through
棒引き drawing line(through entry ledger,record book,
密輸入 importing through illegal channels
繰る l",Guess Vocab related to Keyword,Text
"Chinese","京劇,中華鍋,丙,太刀,提灯,大刀,和音,中共,国風,古文,国書,整体,水滸伝,禅譲,字書,干支,律令,漢詩,扶桑,矛,漢籍,韻,漢人,朗詠,棒読み,蓮華,拳法,返り点,行書,鉄線,本道,飯店,武術,草書,辛,連山,長征","京劇 classical Chinese opera
中華鍋 Chinese frying pan
丙 third sign Chinese calendar
太刀 Chinese glaive
提灯 Chinese lantern
大刀 Chinese glaive;Chinese glaive
和音 customary on reading(kanji)(opposed those deriv
中共 Chinese Communists;Chinese Communist Party
国風 waka(classical poetry,opposed Chinese poetry)
古文 ancient Chinese character(pre-Qin);Chinese char
国書 book written(opposed Chinese,)
整体 manipulative therapy based Chinese traditions,e
水滸伝 Water Margin(classic Chinese literature)
禅譲 abdication(Chinese emperor)favor virtuous succe
字書 dictionary Chinese ",Guess Vocab related to Keyword,Text
"mountain","名山,上り詰める,夏山,山元,切り崩す,山家,山人,冬山,山上,仙人,山姥,山寺,山並み,山里,山肌,山水,山塊,山奥,山桜,閉山,石山,渓流,連山,霊山,山路,山麓,縦走,高山病,裏山,修験道,裾野,未踏峰,山際,青嵐,雪山,高峰","名山 famous mountain
上り詰める reach summit(mountain)
夏山 summery mountain;mountain often climbed summer
山元 base mountain;owner mountain;foot mountain
切り崩す cut through(mountain)
山家 mountain villa;mountain retreat
山人 mountain wizard;mountain folk
冬山 mountain popular climbing winter;wintry mountai
山上 mountain top
仙人 immortal mountain wizard(Taoism);mountain man(h
山姥 mountain witch
山寺 mountain temple
山並み mountain range;mountain belt
山里 mountain village;mountain hamlet
山肌 bare surface mountain
山水 water flows mountain;mountain stream;mountain w
山塊 mountain",Guess Vocab related to Keyword,Text
"side","側壁,余興,下座,兼業,左方,横たえる,副産物,併記,右方,副業,売り方,副食,座右,母方,外伝,半身不随,堀端,向かい側,対訳,右辺,総菜,片や,寝そべる,左辺,挿話,父方,左舷,真横,裏山,鞍馬,抱き込む,横丁,横車,片面,船腹,通用門","側壁 side wall
余興 side show
下座 musicians' box left side stage
兼業 side business;perusing side business;job side
左方 left side
横たえる wear(sword,)side
副産物 side effect
併記 writing side side
右方 right side
副業 side job
売り方 selling side
副食 side dish
座右 side
母方 mother's side family
外伝 side story
半身不随 hemiplegia(paralysis side body)
堀端 side moat
向かい側 other side;opposite side
対訳 original text translation printed side side opp
右辺 right side(equation,expression,);right side(,ch
総菜 side dish
片や side
寝そべる lie relaxed side
左辺 left side(equation,expression,);left si",Guess Vocab related to Keyword,Text
