Question,Answer,Comment,Instruction,Render as
"cheerful","快活,晴れ晴れ,華やぐ,楽しげ","快活 cheerful
晴れ晴れ cheerful
華やぐ become cheerful
楽しげ cheerful",Guess Vocab related to Keyword,Text
"climate","風土記,暖地,社風,景況","風土記 description regional climate,culture,
暖地 region mild climate
社風 company climate spirit
景況 business climate",Guess Vocab related to Keyword,Text
"fee","追加料金,受講料,稿料,車代","追加料金 additional fee
受講料 course fee;tuition fee
稿料 manuscript fee
車代 cartage fee",Guess Vocab related to Keyword,Text
"flat","大味,平板,潟,絶壁","大味 flat
平板 flat;flat board
潟 tidal flat
絶壁 flat head",Guess Vocab related to Keyword,Text
"grove","竹林,杏林,木立,梅林","竹林 bamboo grove
杏林 apricot grove
木立 grove
梅林 plum grove;ume grove",Guess Vocab related to Keyword,Text
"individual","私人,一個人,会席,合従連衡","私人 private individual
一個人 individual
会席 set dishes served individual tray entertaining 
合従連衡 alliance(Six Kingdoms against Qin dynasty,ind",Guess Vocab related to Keyword,Text
"load","乗り切る,満載,自重,積み荷","乗り切る load completely(books shelf,luggage car)
満載 full load;carrying full load
自重 dead load
積み荷 load",Guess Vocab related to Keyword,Text
"mixture","混ぜ物,配合,混在,交錯","混ぜ物 mixture
配合 mixture
混在 mixture
交錯 mixture",Guess Vocab related to Keyword,Text
"programme","裏番組,式次第,生番組,出し物","裏番組 program competing another same timeslot(progra
式次第 program ceremony(programme)
生番組 live programme
出し物 programme",Guess Vocab related to Keyword,Text
"tour","周遊,食べ歩き,巡演,見回り","周遊 (circular)tour
食べ歩き eating tour
巡演 performance tour
見回り inspection tour",Guess Vocab related to Keyword,Text
"triple","三段跳び,三冠王,三重殺,三拍子","三段跳び triple jump
三冠王 winner triple crown
三重殺 triple play
三拍子 triple meter;triple;triple metre",Guess Vocab related to Keyword,Text
"unit","五人組,流量,特高,尺","五人組 five-family unit
流量 capacity(output throughput per unit)
特高 police unit controlling political thought expre
尺 shaku(unit distance approximately equal 30.3 cm)",Guess Vocab related to Keyword,Text
"upset","動転,大荒れ,番狂わせ,形相","動転 upset
大荒れ upset
番狂わせ upset
形相 look(angry upset look)",Guess Vocab related to Keyword,Text
"Heian","小袖,律令,上代,今様","小袖 short sleeved kimono(worn undergarment during H
律令 criminal,administrative civil codes Nara Heian 
上代 ancient times(Heian Nara periods)
今様 verse form Heian Kamakura periods consisting 4 ",Guess Vocab related to Keyword,Text
"proxy","串,名代,委任状,代執行","串 proxy(computer server)
名代 proxy
委任状 proxy
代執行 execution proxy",Guess Vocab related to Keyword,Text
"five","畿内,四苦八苦,侯","畿内 Kinai(five provinces immediate vicinity Kyoto)
四苦八苦 four eight kinds suffering(birth,old age,dise
侯 second highest rank five ranks nobility",Guess Vocab related to Keyword,Text
"contemporary","現代版,今風,世話物,今様","現代版 updated,contemporary edition
今風 contemporary
世話物 sewamono(Edo-period drama contemporary life)
今様 contemporary style",Guess Vocab related to Keyword,Text
"contrast","浮き立つ,店子,対置,引き換える","浮き立つ contrast
店子 tenant(contrast landlord)
対置 contrast
引き換える contrast",Guess Vocab related to Keyword,Text
"curve","急カーブ,外回り,反り,湾曲","急カーブ sharp curve
外回り outer tracks(loop curve)
反り curve
湾曲 curve",Guess Vocab related to Keyword,Text
"devise","案じる,編み出す,仕組む,考え出す","案じる devise
編み出す devise
仕組む devise
考え出す devise",Guess Vocab related to Keyword,Text
"flavour","香味,甘口,美味,醍醐味","香味 flavour
甘口 sweet flavour
美味 good flavour
醍醐味 flavour ghee",Guess Vocab related to Keyword,Text
"motion","上下動,発議,逆行,波動","上下動 vertical motion(earthquakes)
発議 motion
逆行 retrograde motion
波動 wave motion",Guess Vocab related to Keyword,Text
"now","通商産業省,今般,一安心,一進一退","通商産業省 (former)Ministry International Trade Industr
今般 now
一安心 peace mind(now)
一進一退 now advancing now retreating",Guess Vocab related to Keyword,Text
"objection","申し分,不同意,申し分のない,異存","申し分 objection
不同意 objection
申し分のない objection
異存 objection",Guess Vocab related to Keyword,Text
"pace","速足,急ぎ足,球速,歩幅","速足 quick pace
急ぎ足 quick pace;fast pace
球速 (pitcher's)pace
歩幅 pace",Guess Vocab related to Keyword,Text
"photography","実写,写真屋,修整,軟調","実写 on-the-spot filming photography
写真屋 photography supplies shop
修整 retouching(photography)
軟調 soft(tone,focus)(photography)",Guess Vocab related to Keyword,Text
"polish","練り直す,研ぎ,他山の石,練り上げる","練り直す polish
研ぎ polish
他山の石 stones other mountains(can polish own gems)
練り上げる polish",Guess Vocab related to Keyword,Text
"quarrel","言いがかり,言い合う,小競り合い,言い争い","言いがかり picking quarrel
言い合う quarrel
小競り合い quarrel
言い争い quarrel",Guess Vocab related to Keyword,Text
"zeal","熱量,熱血,精進,後生大事","熱量 zeal
熱血 zeal
精進 zeal quest enlightenment
後生大事 religious zeal",Guess Vocab related to Keyword,Text
"assemble","会する,紡ぐ,取り合わせる,集う","会する assemble
紡ぐ assemble(words)
取り合わせる assemble
集う assemble",Guess Vocab related to Keyword,Text
"calligraphy","半紙,揮毫,習字,書法","半紙 calligraphy paper(approx. 25cm 35cm)
揮毫 writing(commissioned calligraphy)
習字 calligraphy
書法 calligraphy",Guess Vocab related to Keyword,Text
"carriage","牛車,所作,熟し,立ち居振る舞い","牛車 ox carriage(Heian-era nobles)
所作 carriage
熟し carriage
立ち居振る舞い carriage",Guess Vocab related to Keyword,Text
"classification","仕分け,区分け,映倫,色分け","仕分け classification
区分け classification
映倫 Film Classification Rating Organization
色分け classification colour;classification",Guess Vocab related to Keyword,Text
"comfort","安楽,乗り心地,慰問,気遣う","安楽 comfort
乗り心地 comfort(vehicle)
慰問 giving comfort(sick,injured,)
気遣う worry(welfare comfort)",Guess Vocab related to Keyword,Text
"conjecture","忖度,察し,推察,推し量る","忖度 conjecture
察し conjecture
推察 conjecture
推し量る conjecture",Guess Vocab related to Keyword,Text
"culture","文物,風土記,養蚕,社風","文物 (products)culture civilization(civilisation)
風土記 description regional climate,culture,
養蚕 silkworm culture
社風 corporate culture",Guess Vocab related to Keyword,Text
"decree","天命,上意,詔書,降下","天命 heaven's decree
上意 will decree(shogun)
詔書 decree
降下 passing(order,decree,)",Guess Vocab related to Keyword,Text
"dissipation","放熱,道楽,散逸,放蕩","放熱 heat dissipation
道楽 dissipation
散逸 dissipation
放蕩 dissipation",Guess Vocab related to Keyword,Text
"distinction","判別,峻別,甲乙,功名","判別 distinction
峻別 rigorous distinction
甲乙 distinction(quality)
功名 (earning)distinction",Guess Vocab related to Keyword,Text
"electrical","差し込み,電気器具,電工,放電","差し込み (electrical)outlet
電気器具 electrical appliance
電工 electrical engineering
放電 electrical discharge",Guess Vocab related to Keyword,Text
"enterprise","官業,民業,壮挙,起業","官業 government-run enterprise
民業 private enterprise
壮挙 daring enterprise
起業 promotion enterprise",Guess Vocab related to Keyword,Text
"exception","忌避,変わり種,別物,番外","忌避 taking exception(judge)
変わり種 exception
別物 exception
番外 exception",Guess Vocab related to Keyword,Text
"generation","戦中派,語り継ぐ,前代,伝来","戦中派 war generation
語り継ぐ pass(story)generation generation
前代 previous generation
伝来 handed(generation generation)",Guess Vocab related to Keyword,Text
"incision","切り傷,切れ込み,切開,開腹","切り傷 incision
切れ込み incision
切開 incision
開腹 making surgical incision abdomen",Guess Vocab related to Keyword,Text
"merit","特長,褒章,回向,美点","特長 merit
褒章 medal merit
回向 transfer merit
美点 merit",Guess Vocab related to Keyword,Text
"mission","大任,宣教,お使い,特命","大任 important mission
宣教 religious mission
お使い mission
特命 special mission",Guess Vocab related to Keyword,Text
"narrative","語り物,人形浄瑠璃,説話,浪花節","語り物 narrative
人形浄瑠璃 puppet theatre which recited narrative dialo
説話 narrative
浪花節 variety sung narrative popular during Edo",Guess Vocab related to Keyword,Text
"rent","地代,借り受ける,裂け目,借り入れる","地代 land rent
借り受ける rent
裂け目 rent
借り入れる rent",Guess Vocab related to Keyword,Text
"snack","夜食,突き出し,模擬店,軽食","夜食 midnight snack;late-night snack
突き出し snack(served drink)
模擬店 snack bar
軽食 snack",Guess Vocab related to Keyword,Text
"somewhat","大振り,多目,短め,心持ち","大振り somewhat large
多目 somewhat larger(amount)
短め somewhat short
心持ち somewhat",Guess Vocab related to Keyword,Text
"transformation","変態,早変わり,転化,変幻","変態 transformation
早変わり quick transformation
転化 transformation
変幻 transformation",Guess Vocab related to Keyword,Text
"walk","連れ出す,踏み入れる,出歩く,楽勝","連れ出す take(walk,lunch,)
踏み入れる walk
出歩く walk
楽勝 walk park",Guess Vocab related to Keyword,Text
"yield","歩留まり,幸,屈する,服する","歩留まり yield;yield rate
幸 yield
屈する yield
服する yield",Guess Vocab related to Keyword,Text
"accept","服する,泣き寝入り,担ぎ出す,諾否","服する accept
泣き寝入り compelled accept situation
担ぎ出す convince accept post(through flattery)
諾否 decision accept decline;accept reject",Guess Vocab related to Keyword,Text
"auspicious","大安,祝い事,慶事,松竹梅","大安 auspicious
祝い事 auspicious occasion
慶事 auspicious event
松竹梅 pine,bamboo plum(auspicious grouping)",Guess Vocab related to Keyword,Text
"courage","勇,振り絞る,強がり,蛮勇","勇 courage
振り絞る muster(strength,courage,)
強がり show courage
蛮勇 brute courage",Guess Vocab related to Keyword,Text
"creation","創世,群生,霊長,万物","創世 creation world
群生 animate creation
霊長 crown(creation)
万物 creation",Guess Vocab related to Keyword,Text
"exclusive","借り切る,二律背反,専有,独占的","借り切る hire exclusive use
二律背反 choice between mutually exclusive alternative
専有 exclusive possession
独占的 exclusive",Guess Vocab related to Keyword,Text
"gossip","井戸端会議,世間話,下馬評,風評","井戸端会議 idle gossip
世間話 gossip
下馬評 gossip
風評 gossip",Guess Vocab related to Keyword,Text
"mass","大量殺人,追善,黒山,山塊","大量殺人 mass murder;mass killing
追善 mass dead
黒山 mass
山塊 mountain mass",Guess Vocab related to Keyword,Text
