一,"はじめ","Shogi pro: 浅沼一",First Name:
一二三,"ひふみ","Shogi pro: 加藤一二三",First Name:
一史座,"かずしざ","Shogi pro: 堀口一史座",First Name:
一基,"かずき","Shogi pro: 木村一基",First Name:
一岐代,"かずきよ","Shogi pro: 高島一岐代",First Name:
一生,"いっせい","Shogi pro: 高崎一生",First Name:
一男,"かずお","Shogi pro: 真部一男",First Name:
一義,"かずよし","Shogi pro: 西村一義",First Name:
一郎,"いちろう","Shogi pro: 市川一郎, 梶一郎, 田辺一郎",First Name:
丈資,"たけし","Shogi pro: 高田丈資",First Name:
三三,"さんぞう","Shogi pro: 上田三三",First Name:
三之,"みつゆき","Shogi pro: 荒巻三之",First Name:
三吉,"さんきち","Shogi pro: 坂田三吉",First Name:
三枚堂,"さんまいどう","Shogi pro: 三枚堂達也",Last Name:
三治,"さんじ","Shogi pro: 橋本三治",First Name:
三浦,"みうら","Shogi pro: 三浦弘行",Last Name:
三男,"みつお","Shogi pro: 角田三男",First Name:
三郎,"さぶろう","Shogi pro: 武市三郎",First Name:
上川,"うえかわ","Shogi pro: 上川香織",Last Name:
上村,"かみむら","Shogi pro: 上村亘",Last Name:
上田,"うえだ","Shogi pro: 上田三三, 上田初美",Last Name:
上野,"うえの","Shogi pro: 上野裕和, 上野裕寿",Last Name:
下平,"しもだいら","Shogi pro: 下平幸男",Last Name:
中井,"なかい","Shogi pro: 中井広恵, 中井捨吉",Last Name:
中倉,"なかくら","Shogi pro: 中倉宏美, 中倉彰子",Last Name:
中原,"なかはら","Shogi pro: 中原誠",Last Name:
中尾,"なかお","Shogi pro: 中尾敏之",Last Name:
中川,"なかがわ","Shogi pro: 中川大輔",Last Name:
中座,"ちゅうざ","Shogi pro: 中座真",Last Name:
中村,"なかむら","Shogi pro: 中村亮介, 中村修, 中村太地, 中村桃子, 中村真梨花",Last Name:
中澤,"なかざわ","Shogi pro: 中澤沙耶",Last Name:
中田,"なかた,なかだ","Shogi pro: 中田功, 中田宏樹, 中田章道",Last Name:
丸山,"まるやま","Shogi pro: 丸山忠久",Last Name:
丸田,"まるた","Shogi pro: 丸田祐三",Last Name:
主税,"ちから","Shogi pro: 阿久津主税",First Name:
久保,"くぼ","Shogi pro: 久保利明, 久保翔子",Last Name:
久史,"ひさし","Shogi pro: 小倉久史",First Name:
久津,"ひさつ","Shogi pro: 久津知子",Last Name:
久美,"くみ","Shogi pro: 山田久美",First Name:
久雄,"ひさお","Shogi pro: 廣津久雄, 長谷部久雄",First Name:
二上,"ふたかみ","Shogi pro: 二上達也",Last Name:
二見,"ふたみ","Shogi pro: 二見敬三",Last Name:
五十嵐,"いがらし","Shogi pro: 五十嵐豊一",Last Name:
五平,"ごへい","Shogi pro: 小野五平",First Name:
井上,"いのうえ","Shogi pro: 井上慶太, 井上義雄",Last Name:
井出,"いで","Shogi pro: 井出隼平",Last Name:
井田,"いだ","Shogi pro: 井田明宏",Last Name:
井道,"いどう","Shogi pro: 井道千尋",Last Name:
亘,"わたる","Shogi pro: 上村亘",First Name:
京須,"きょうす","Shogi pro: 京須行男",Last Name:
亮,"りょう","Shogi pro: 島本亮",First Name:
亮介,"りょうすけ","Shogi pro: 中村亮介",First Name:
仁子梨,"にこり","Shogi pro: 山口仁子梨",First Name:
仁茂,"ひとしげ","Shogi pro: 淡路仁茂",First Name:
今井,"いまい","Shogi pro: 今井絢",Last Name:
今泉,"いまいずみ","Shogi pro: 今泉健司",Last Name:
伊奈,"いな","Shogi pro: 伊奈祐介",Last Name:
伊奈川,"いながわ","Shogi pro: 伊奈川愛菓",Last Name:
伊緒,"いお","Shogi pro: 室田伊緒",First Name:
伊藤,"いとう","Shogi pro: 伊藤匠, 伊藤博文, 伊藤印達, 伊藤宗印, 伊藤宗寿, 伊藤宗看, 伊藤得寿, 伊藤明日香, 伊藤果, 伊藤沙恵, 伊藤看佐, 伊藤看寿, 伊藤看恕, 伊藤看理, 伊藤真吾, 伊藤真央, 伊藤能, 伊藤金五郎",Last Name:
伊達,"だて","Shogi pro: 伊達康夫",Last Name:
伸,"しん","Shogi pro: 市川伸",First Name:
伸之,"のぶゆき","Shogi pro: 屋敷伸之",First Name:
佐伯,"さえき","Shogi pro: 佐伯昌優",Last Name:
佐々木,"ささき","Shogi pro: 佐々木勇気, 佐々木大地, 佐々木慎, 佐々木海法",Last Name:
佐季子,"さきこ","Shogi pro: 小高佐季子",First Name:
佐瀬,"させ","Shogi pro: 佐瀬勇次",Last Name:
佐知子,"さちこ","Shogi pro: 高群佐知子",First Name:
佐藤,"さとう","Shogi pro: 佐藤和俊, 佐藤大五郎, 佐藤天彦, 佐藤寿子, 佐藤庄平, 佐藤康光, 佐藤慎一, 佐藤秀司, 佐藤紳哉, 佐藤義則, 佐藤豊",Last Name:
佑二郎,"ゆうじろう","Shogi pro: 高橋佑二郎",First Name:
佳介,"よしゆき","Shogi pro: 松本佳介",First Name:
佳子,"よしこ","Shogi pro: 多田佳子",First Name:
依田,"よだ","Shogi pro: 依田有司",Last Name:
俊之,"としゆき","Shogi pro: 森内俊之",First Name:
俊彦,"としひこ","Shogi pro: 河口俊彦",First Name:
信助,"しんすけ","Shogi pro: 平野信助",First Name:
信雄,"のぶお","Shogi pro: 森信雄",First Name:
修,"おさむ","Shogi pro: 中村修, 勝浦修",First Name:
修一,"しゅういち","Shogi pro: 小野修一, 池田修一",First Name:
修哉,"しゅうや","Shogi pro: 北楯修哉",First Name:
健二,"けんじ","Shogi pro: 小林健二, 神崎健二, 飯野健二",First Name:
健介,"けんすけ","Shogi pro: 北浜健介",First Name:
健司,"けんじ","Shogi pro: 今泉健司",First Name:
健太,"けんた","Shogi pro: 宮嶋健太",First Name:
健太郎,"けんたろう","Shogi pro: 石井健太郎",First Name:
健治郎,"けんじろう","Shogi pro: 阿部健治郎",First Name:
優太,"ゆうた","Shogi pro: 石川優太",First Name:
優月,"ゆづき","Shogi pro: 竹内優月",First Name:
優貴,"ゆうき","Shogi pro: 長谷川優貴",First Name:
允彦,"のぶひこ","Shogi pro: 坂口允彦",First Name:
元司,"もとじ","Shogi pro: 花村元司",First Name:
先崎,"せんざき","Shogi pro: 先崎学",Last Name:
光則,"みつのり","Shogi pro: 牧野光則",First Name:
光治,"みつはる","Shogi pro: 溝呂木光治",First Name:
光瑠,"こうる","Shogi pro: 阿部光瑠",First Name:
克彦,"かつひこ","Shogi pro: 室岡克彦",First Name:
児玉,"こだま","Shogi pro: 児玉孝一",Last Name:
八一雄,"やいちお","Shogi pro: 大野八一雄",First Name:
八代,"やしろ","Shogi pro: 八代弥",Last Name:
六彦,"むつひこ","Shogi pro: 吉田六彦",First Name:
内山,"うちやま","Shogi pro: 内山あや",Last Name:
内藤,"ないとう","Shogi pro: 内藤國雄",Last Name:
冨田,"とみた","Shogi pro: 冨田誠也",Last Name:
出口,"でぐち","Shogi pro: 出口若武",Last Name:
初美,"はつみ","Shogi pro: 上田初美",First Name:
利勝,"としかつ","Shogi pro: 吉田利勝",First Name:
利幸,"としゆき","Shogi pro: 坪内利幸",First Name:
利明,"としあき","Shogi pro: 久保利明",First Name:
利男,"としお","Shogi pro: 宮田利男",First Name:
前田,"まえだ","Shogi pro: 前田祐司",Last Name:
剣之助,"けんのすけ","Shogi pro: 小菅剣之助",First Name:
剱持,"けんもち","Shogi pro: 剱持松二",Last Name:
力,"つとむ","Shogi pro: 松下力",First Name:
功,"いさお","Shogi pro: 中田功",First Name:
加瀬,"かせ","Shogi pro: 加瀬純一",Last Name:
加藤,"かとう","Shogi pro: 加藤一二三, 加藤博二, 加藤圭, 加藤恵三, 加藤桃子, 加藤治郎, 加藤結李愛",Last Name:
勇樹,"ゆうき","Shogi pro: 藤倉勇樹",First Name:
勇次,"ゆうじ","Shogi pro: 佐瀬勇次",First Name:
勇気,"ゆうき","Shogi pro: 佐々木勇気",First Name:
勘一郎,"かんいちろう","Shogi pro: 飯塚勘一郎",First Name:
勝一,"しょういち","Shogi pro: 安西勝一",First Name:
勝又,"かつまた","Shogi pro: 勝又清和",Last Name:
勝巳,"かつみ","Shogi pro: 武者野勝巳",First Name:
勝浦,"かつうら","Shogi pro: 勝浦修",Last Name:
勝雄,"かつお","Shogi pro: 永沢勝雄",First Name:
北尾,"きたお","Shogi pro: 北尾まどか",Last Name:
北島,"きたじま","Shogi pro: 北島忠雄",Last Name:
北村,"きたむら","Shogi pro: 北村文男, 北村昌男, 北村桂香, 北村秀治郎",Last Name:
北楯,"きただて","Shogi pro: 北楯修哉",Last Name:
北浜,"きたはま","Shogi pro: 北浜健介",Last Name:
匠,"たくみ","Shogi pro: 伊藤匠",First Name:
千和子,"ちかこ","Shogi pro: 長沢千和子",First Name:
千尋,"ちひろ","Shogi pro: 井道千尋",First Name:
千嶺,"ちみね","Shogi pro: 山口千嶺",First Name:
千田,"ちだ","Shogi pro: 千田翔太",Last Name:
千紗,"ちさ","Shogi pro: 早水千紗",First Name:
千葉,"ちば","Shogi pro: 千葉幸生, 千葉涼子",Last Name:
升田,"ますだ","Shogi pro: 升田幸三",Last Name:
卓,"たく","Shogi pro: 森下卓",First Name:
卓造,"たくぞう","Shogi pro: 松浦卓造",First Name:
南,"みなみ",NULL,First Name or Last Name:
南口,"みなみぐち","Shogi pro: 南口繁一",Last Name:
博,"ひろし","Shogi pro: 本間博",First Name:
博二,"ひろじ","Shogi pro: 加藤博二",First Name:
博志,"ひろし","Shogi pro: 山本博志",First Name:
博文,"ひろふみ,ひろぶみ","Shogi pro: 伊藤博文, 芹沢博文",First Name:
博晴,"ひろはる","Shogi pro: 瀬戸博晴",First Name:
印達,"いんたつ","Shogi pro: 伊藤印達",First Name:
原田,"はらだ","Shogi pro: 原田泰夫",Last Name:
及川,"おいかわ","Shogi pro: 及川拓馬",Last Name:
友紀,"ともき","Shogi pro: 横山友紀",First Name:
古森,"こもり","Shogi pro: 古森悠太",Last Name:
古賀,"こが","Shogi pro: 古賀悠聖",Last Name:
史明,"しめい","Shogi pro: 岡崎史明",First Name:
吉田,"よしだ","Shogi pro: 吉田六彦, 吉田利勝",Last Name:
和,"やまと","Shogi pro: 高橋和",First Name:
和久,"かずひさ","Shogi pro: 大村和久",First Name:
和俊,"かずとし","Shogi pro: 佐藤和俊",First Name:
和史,"かずし","Shogi pro: 渡辺和史",First Name:
和宏,"かずひろ","Shogi pro: 西川和宏",First Name:
和晴,"かずはる","Shogi pro: 所司和晴",First Name:
和歌夫,"わかお","Shogi pro: 建部和歌夫",First Name:
和正,"かずまさ","Shogi pro: 山中和正",First Name:
和田,"わだ","Shogi pro: 和田あき, 和田はな",Last Name:
和男,"かずお","Shogi pro: 東和男",First Name:
和陽,"かずお","Shogi pro: 杉本和陽",First Name:
和雄,"かずお","Shogi pro: 石田和雄",First Name:
咲紀,"さき","Shogi pro: 川又咲紀",First Name:
咲緒里,"さおり","Shogi pro: 島井咲緒里",First Name:
哲也,"てつや","Shogi pro: 藤森哲也",First Name:
哲郎,"てつろう","Shogi pro: 糸谷哲郎",First Name:
啓三,"けいぞう","Shogi pro: 星田啓三",First Name:
啓太,"けいた","Shogi pro: 門倉啓太",First Name:
善治,"よしはる","Shogi pro: 羽生善治",First Name:
喜代作,"きよさく","Shogi pro: 関屋喜代作",First Name:
喜祐,"きすけ","Shogi pro: 谷頭喜祐",First Name:
嘉孝,"よしたか","Shogi pro: 木村嘉孝",First Name:
四郎,"しろう","Shogi pro: 板谷四郎",First Name:
國雄,"くにお","Shogi pro: 内藤國雄",First Name:
土佐,"とさ","Shogi pro: 土佐浩司",Last Name:
土居,"どい","Shogi pro: 土居市太郎",Last Name:
圭,"けい","Shogi pro: 加藤圭",First Name:
圭一,"けいいち","Shogi pro: 真田圭一",First Name:
圭生,"たまお","Shogi pro: 鹿野圭生",First Name:
坂口,"さかぐち","Shogi pro: 坂口允彦",Last Name:
坂東,"ばんどう","Shogi pro: 坂東香菜子",Last Name:
坂田,"さかた","Shogi pro: 坂田三吉",Last Name:
坪内,"つぼうち","Shogi pro: 坪内利幸",Last Name:
基芳,"もとよし","Shogi pro: 奥野基芳",First Name:
堀,"ほり","Shogi pro: 堀彩乃",Last Name:
堀口,"ほりぐち","Shogi pro: 堀口一史座, 堀口弘治",Last Name:
塚田,"つかだ","Shogi pro: 塚田恵梨花, 塚田正夫, 塚田泰明",Last Name:
増田,"ますだ","Shogi pro: 増田康宏, 増田敏二, 増田裕司",Last Name:
多恵子,"たえこ","Shogi pro: 森安多恵子",First Name:
多田,"ただ","Shogi pro: 多田佳子",Last Name:
大五郎,"だいごろう","Shogi pro: 佐藤大五郎",First Name:
大介,"だいすけ","Shogi pro: 鈴木大介",First Name:
大内,"おおうち","Shogi pro: 大内延介",Last Name:
大原,"おおはら","Shogi pro: 大原英二",Last Name:
大友,"おおとも","Shogi pro: 大友昇",Last Name:
大和久,"おおわく","Shogi pro: 大和久彪",Last Name:
大地,"だいち","Shogi pro: 佐々木大地",First Name:
大夢,"ひろむ","Shogi pro: 渡辺大夢",First Name:
大山,"おおやま","Shogi pro: 大山康晴",Last Name:
大島,"おおしま","Shogi pro: 大島映二, 大島綾華",Last Name:
大崎,"おおさき","Shogi pro: 大崎熊雄",Last Name:
大平,"おおひら","Shogi pro: 大平武洋",Last Name:
大庭,"おおば","Shogi pro: 大庭美夏, 大庭美樹",Last Name:
大村,"おおむら","Shogi pro: 大村和久",Last Name:
