question,answer,comments,instruction
氷,"アイスランド","アイスランド : 氷島 , 氷州","Guess the Country's name from the first Kanji"
愛,"アイスランド,アイルランド","アイスランド : 愛撒倫 , 愛斯蘭
アイルランド : [愛蘭] , 愛蘭土","Guess the Country's name from the first Kanji"
亜,"アジア,アメリカ,アルゼンチン,アルメニア","アジア : 亜細亜
アメリカ : [亜米利加]
アルゼンチン : [亜爾然丁]
アルメニア : 亜美尼亜","Guess the Country's name from the first Kanji"
阿,"アフガニスタン,アフリカ,アルジェリア,オマーン,オランダ","アフガニスタン : 阿富汗斯坦
アフリカ : 阿弗利加
アルジェリア : [阿爾及]
オマーン : 阿曼
オランダ : 阿蘭陀","Guess the Country's name from the first Kanji"
米,"アメリカ","アメリカ : 米利堅","Guess the Country's name from the first Kanji"
也,"イエメン","イエメン : 也門","Guess the Country's name from the first Kanji"
英,"イギリス","イギリス : [英吉利] , 英国","Guess the Country's name from the first Kanji"
以,"イスラエル,イタリア","イスラエル : 以色列
イタリア : 以太利","Guess the Country's name from the first Kanji"
伊,"イタリア,イラン","イタリア : [伊太利] , 伊太利亜
イラン : 伊蘭","Guess the Country's name from the first Kanji"
義,"イラン","イラン : 義蘭","Guess the Country's name from the first Kanji"
印,"インド","インド : [印度]","Guess the Country's name from the first Kanji"
烏,"ウクライナ","ウクライナ : 烏克蘭","Guess the Country's name from the first Kanji"
宇,"ウルグアイ","ウルグアイ : 宇柳貝","Guess the Country's name from the first Kanji"
厄,"エクアドル","エクアドル : [厄瓜多]","Guess the Country's name from the first Kanji"
埃,"エジプト","エジプト : [埃及]","Guess the Country's name from the first Kanji"
越,"エチオピア,ベトナム","エチオピア : 越日於比亜
ベトナム : [越南]","Guess the Country's name from the first Kanji"
澳,"オーストラリア","オーストラリア : 澳大利亜","Guess the Country's name from the first Kanji"
濠,"オーストラリア","オーストラリア : [濠太剌利] , 濠太剌利亜","Guess the Country's name from the first Kanji"
豪,"オーストラリア","オーストラリア : 豪州","Guess the Country's name from the first Kanji"
