question,answer,comment,instruction
"一
sample words:
どれ一つ
一つ置きに
一突き",ひとつ,"一:one, a unit; the same; just; once
どれ一つ(どれひとつ):not one
一つ置きに(ひとつおきに):alternately
一突き(ひとつき):stab; lunge; thrust",Jouyou. JLPT : N5
"一
sample words:
一折り
一間
一盛り",ひと,"一:one, a unit; the same; just; once
一折り(ひとおり):one box
一間(ひとま):one room
一盛り(ひともり):pile",Jouyou. JLPT : N5
"七
sample words:
無くて七癖
七重
七十",なな,"七:seven
無くて七癖(なくてななくせ):every person has their eccentricities
七重(ななえ):sevenfold; seven-ply
七十(ななそ):seventy; 70",Jouyou. JLPT : N5
"三
sample words:
三従兄弟
三貴
三十",み,"三:three
三従兄弟(みいとこ):third cousin
三貴(みき):Miki; Miki Corporation
三十(みそ):30; thirty",Jouyou. JLPT : N5
"上
sample words:
お上さん
上方歌舞伎
上期",かみ,"上:up, upper part, top, summit; surface; far better;....................
お上さん(おかみさん):missus; missis
上方歌舞伎(かみがたかぶき):kabuki in the Kyoto-Osaka style
上期(かみき):first half of the (fiscal) year",Jouyou. JLPT : N5
"上
sample words:
上付き文字
上の子
上を行く",うえ,"上:up, upper part, top, summit; surface; far better;....................
上付き文字(うえつきもじ):superscript
上の子(うえのこ):the older child
上を行く(うえをいく):to be ahead of",Jouyou. JLPT : N5
"下
sample words:
下刈り
下つき
下付き文字",した,"下:come down, go down; get down, descend; be given; .................
下刈り(したがり):weeding
下つき(したつき):subscript
下付き文字(したつきもじ):subscript",Jouyou. JLPT : N5
"下
sample words:
足下
足下を見る
御膝下",もと,"下:come down, go down; get down, descend; be given; .................
足下(あしもと):gait; current; most recent; underfoot; pace; at o..
足下を見る(あしもとをみる):to size up (e.g. customer when setting a high pri.
御膝下(おひざもと):Imperial court; close aid (of a nobleman, etc.); .....",Jouyou. JLPT : N5
"中
sample words:
心の中
此の中
卑下も自慢の中",うち,"中:inside, interior, midst, middle, mean, midway
心の中(こころのうち):one's mind; one's inner thoughts; one's heart; on.
此の中(このうち):the other day; meanwhile; recently
卑下も自慢の中(ひげもじまんのうち):taking pride in one's humility is a form of bragg..",Jouyou. JLPT : N5
"中
sample words:
背中
背中を出す
中刳り",なか,"中:inside, interior, midst, middle, mean, midway
背中(せなか):back (of the body)
背中を出す(せなかをだす):to bare one's back
中刳り(なかぐり):boring",Jouyou. JLPT : N5
"九
sample words:
九重
九日
九十路",ここの,"九:nine
九重(ここのえ):imperial palace; ninefold; the Court
九日(ここのか):9th day of the month; nine days
九十路(ここのそじ):age ninety; one's nineties",Jouyou. JLPT : N5
"二
sample words:
二子
二十路
二間",ふた,"二:two
二子(ふたご):twins; twin
二十路(ふたそじ):age twenty; one's twenties
二間(ふたま):two rooms",Jouyou. JLPT : N5
"五
sample words:
五重
五日
五日熱",いつ,"五:five; five years old
五重(いつえ):five-storied; fivefold; quintuplicate
五日(いつか):five days; 5th day of the month
五日熱(いつかねつ):trench fever",Jouyou. JLPT : N5
"人
sample words:
書き人
ぱりさい人
人くろん",ひと,"人:man, human being, mankind, person, people; charac..
書き人(かきびと):writer
ぱりさい人(ぱりさいびと):Pharisee
人くろん(ひとくろん):human clone",Jouyou. JLPT : N5
"先
sample words:
先立ち
先っちょ
差し出し先",さき,"先:point, tip, end; nozzle; head (of a line); the fi..
先立ち(さきだち):before
先っちょ(さきっちょ):point; end; tip
差し出し先(さしだしさき):address",Jouyou. JLPT : N5
"入
sample words:
入り揚げる
入目
討ち入り",いり,"入:go in, come in; flow into; set; set in. put in, t......
入り揚げる(いりあげる):to lavish money on
入目(いりめ):expenses
討ち入り(うちいり):raid",Jouyou. JLPT : N5
"八
sample words:
八重
八重咲き
八重の潮路",や,"八:eight
八重(やえ):multilayered; doubled
八重咲き(やえざき):double blossom
八重の潮路(やえのしおじ):distant seas",Jouyou. JLPT : N5
