Question,Answer,Comment,Instruction,Render as
"一","ひと","one",Guess the Kunyomi,Image
"七","なな","seven",Guess the Kunyomi,Image
"世","よ","world;society;public;life;lifetime;age;era;period;epoch;generation;reign;rule;the times;world (of existence)",Guess the Kunyomi,Image
"主","おも,ぬし,あるじ","chief;main;principal;important;main secondary or supporting role (in kyogen),head (of a household, etc.);leader;master;owner;proprietor;proprietress;subject (of a rumour, etc.);doer (of a deed);guardian spirit (e.g. long-resident beast, usu. with mystical powers);long-time resident (or employee, etc.);husband;you,head (of a household);proprietor (of a store);proprietress;landlord;landlady;master (of a servant);entertaining someone as one's guest",Guess the Kunyomi,Image
"今","いま","now;the present time;just now;soon;immediately;another;more",Guess the Kunyomi,Image
"内","うち","inside;within;while (e.g. one is young);during;within (e.g. a day);in the course of;among;amongst;(out) of;between;in (secret, chaos, poverty, etc.);amidst;with (e.g. success);within oneself;one's feelings;inner thoughts;we;our company;our organization;one's home;one's family;my spouse;my husband;my wife;signed on behalf of (husband's name) by his wife;I;me;imperial palace grounds;emperor",Guess the Kunyomi,Image
"他","ほか","another place;some other place;somewhere else;another (person or thing);other;different;something else;someone else;the rest;et al.;beyond (one's expectations, imagination, etc.);outside;except;but;other than;apart from;besides;in addition to;as well as;on top of",Guess the Kunyomi,Image
"伝","つて","means of making contact;intermediary;go-between;connections;influence;pull;good offices",Guess the Kunyomi,Image
"位","くらい","throne;crown;(nobleman's) seat;government position;court rank;social standing;class;echelon;rung;grade (of quality, etc.);level;tier;rank;position of a figure (e.g. tens, thousands);digit;(decimal) place",Guess the Kunyomi,Image
"何","なん,なに","what;some;how many;many;a lot of;several;a few,what;you-know-what;that thing;whatsit;whachamacallit;what's-his-name;what's-her-name;penis;(one's) thing;dick;(not) at all;(not) in the slightest;what?;huh?;hey!;come on!;oh, no (it's fine);why (it's nothing);oh (certainly not)",Guess the Kunyomi,Image
"兄","あに","older brother;elder brother",Guess the Kunyomi,Image
"先","さき","point;tip;end;nozzle;head (of a line);front;first;before;ahead (of);(the way) ahead;beyond;future;previous;prior;former;recent;last;destination;address;place where you do something;rest (e.g. of a story);continuation;remaining part;the other party",Guess the Kunyomi,Image
"光","ひかり","light;illumination;ray;beam;gleam;glow;happiness;hope;influence;power;vision;eyesight;optical fiber;optical fibre",Guess the Kunyomi,Image
"共","ども,とも","first-person plural (or singular);second or third person plural (implies speaker is of higher status than those referred to),together with;same;both;all;neither;none;including ...",Guess the Kunyomi,Image
"冬","ふゆ","winter",Guess the Kunyomi,Image
"出","で","coming out;going out;outflow;efflux;rising (of the Sun or the Moon);attending (work);appearing (on stage);one's turn to go on;start;beginning;origins;background;person (or item) originating from ...;graduate of ...;native of ...;member of ... (lineage);architectural member that projects outward;highest point of the stern of a ship;amount (comprising something);amount of time or effort required to do something",Guess the Kunyomi,Image
"前","まえ","in front (of);before (e.g. a building);before;earlier;previously;prior;ago;(minutes) to (the hour);(the) front;frontal part;fore;head (e.g. of a line);forward;ahead;(in the) presence (of);in front (of someone);previous (e.g. page);prior (e.g. engagement);first (e.g. half);former (e.g. example);portion;helping;front (of one's body or clothing);breast (of a coat, kimono, etc.);privates;private parts;criminal record;previous conviction;(a) prior",Guess the Kunyomi,Image
"割","わり","rate;ratio;proportion;one tenth;ten percent;(comparative) profit;gain;assignment;allotment;allocation;match;schedule of matches;diluted with (of drinks);mixed with;discount;rebate",Guess the Kunyomi,Image
"力","ちから","force;strength;might;vigour;vigor;energy;capability;ability;proficiency;capacity;faculty;efficacy;effect;effort;endeavours;endeavors;exertions;power;authority;influence;good offices;agency;support;help;aid;assistance;stress;emphasis;means;resources",Guess the Kunyomi,Image
"北","きた","north;the North;northern territories;North Korea;north wind",Guess the Kunyomi,Image
"午","うま","the Horse (seventh sign of the Chinese zodiac);hour of the Horse (around noon, 11am-1pm, or 12 noon-2pm);south;fifth month of the lunar calendar",Guess the Kunyomi,Image
"南","みなみ","south",Guess the Kunyomi,Image
"原","はら","field;plain;prairie;tundra;moor;wilderness",Guess the Kunyomi,Image
"口","くち","mouth;opening;hole;gap;orifice;mouth (of a bottle);spout;nozzle;mouthpiece;gate;door;entrance;exit;speaking;speech;talk (i.e. gossip);taste;palate;mouth (to feed);opening (i.e. vacancy);available position;invitation;summons;kind;sort;type;opening (i.e. beginning);counter for mouthfuls, shares (of money), stove burners, and swords",Guess the Kunyomi,Image
"右","みぎ","right;right-hand side;afore-mentioned (esp. in vertical Japanese writing);foregoing;forgoing;above",Guess the Kunyomi,Image
"名","な","name;given name;title;fame;renown;reputation;pretext;pretense;justification;appearance",Guess the Kunyomi,Image
"味","あじ","flavor;flavour;taste;charm;appeal;uniqueness;attractiveness;experience;taste (e.g. of victory);smart;clever;witty;strange",Guess the Kunyomi,Image
"命","いのち","life;life force;lifetime;lifespan;most important thing;foundation;core;paired tattoos of the 'life' kanji on the upper arms of a man and woman (indicating unwavering love);fate;destiny;karma",Guess the Kunyomi,Image
"品","しな","article;item;thing;goods;stock;quality;flirtatiousness;coquetry",Guess the Kunyomi,Image
"土","つち","earth;soil;dirt;clay;mud;the earth (historically, esp. as opposed to the heavens);the ground;the land;low-quality torinoko-gami (containing mud);(period of) refraining from construction in the direction of the god of the earth (in Onmyōdō)",Guess the Kunyomi,Image
"場","ば","place;spot;space;field;discipline;sphere;realm;occasion;situation;scene (of a play, movie, etc.);session (of the stock market);table;area in which cards are laid out (in a card game);round (east, south, etc.)",Guess the Kunyomi,Image
"夏","なつ","summer",Guess the Kunyomi,Image
"夕","ゆう","evening",Guess the Kunyomi,Image
"夢","ゆめ","dream",Guess the Kunyomi,Image
"大","おお","large;big;great;major;important;serious;heavy;loud;older;senior;final;ultimate;rough;broad;general",Guess the Kunyomi,Image
"夫","おっと","husband",Guess the Kunyomi,Image
