Question,Answer,Comment,Instruction,Render as
"貝,||かい||","shell, shellfish","",Guess the meaning of the Kunyomi reading,Text
"一,||ひと,ひとつ||","one, a unit, the same, just, once","Onyomi: イチ,イツ = one, a",Guess the meaning of the Kunyomi reading,Text
"雨,||あめ,あま||","rain, rainfall","Onyomi: ウ = rain, fainfall",Guess the meaning of the Kunyomi reading,Text
"右,||みぎ||","right, right hand","Onyomi: ウ,ユウ = right, right hand",Guess the meaning of the Kunyomi reading,Text
"円,||まるい||","round, circular, spherical","Onyomi: エン = circle, yen",Guess the meaning of the Kunyomi reading,Text
"音,||おと,ね||","sound, noise, roar, fame, tone, note, voice, chirping","Onyomi: オン,イン = sound, noise, pronunciation, tone",Guess the meaning of the Kunyomi reading,Text
"火,||ひ,ほ||","fire, flame, blaze","Onyomi: カ = fire, Tuesday",Guess the meaning of the Kunyomi reading,Text
"花,||はな||","flower, blossom, cherry blossoms, essence, spirit, pride, pearl, youth, best days, beautiful woman, flower arrangement, flowercard game","Onyomi: カ = flower",Guess the meaning of the Kunyomi reading,Text
"下,||した,しも,もと,さげる,さがる,くだる,くだす,くださる,おろす,おりる||","come down, go down, get down, descend, be given, be less than, have diarrhea, retire, leave the capital, give, confer, oblige, favor with, let down, lower, issue (orders), hand down (decisions), ","Onyomi: カ,ゲ = low class, inferiority, second, or last volume",Guess the meaning of the Kunyomi reading,Text
"学,||まなぶ||","learn, study","Onyomi: ガク = learning, study, science, scholarship, erudition",Guess the meaning of the Kunyomi reading,Text
"休,||やすむ,やすまる,やすめる||","rest, take a day off, be absent, retire, sleep, rest (oneself), let idle, suspend, have (someone) rest, set at ease, give relief to, fallow (land), be rested, feel at ease, repose, be relieved","Onyomi: キュウ = rest, take a day off, be absent, retire, sleep",Guess the meaning of the Kunyomi reading,Text
"九,||ここの,ここのつ||","nine","Onyomi: キュウ,ク = nine",Guess the meaning of the Kunyomi reading,Text
"玉,||たま||","ball, bowl, sphere, bulb, lens, gem, jewel, bullet, shot, shell, billiards, tool, cat’s paw, pretty girl, person, margin (in stocks), testicles","Onyomi: ギョク = gem, jewel, precious stone, jade",Guess the meaning of the Kunyomi reading,Text
"金,||かね,かな||","money, metal","Onyomi: キン,コン = gold, money, Friday",Guess the meaning of the Kunyomi reading,Text
"空,||そら,あく,あける,から||","become empty, be less crowded, empty, sky, heavens, air, weather, memory, absentmindedness","Onyomi: クウ = air, sky, emptiness, vanity, unreality, hollow, void",Guess the meaning of the Kunyomi reading,Text
"月,||つき||","moon, month","Onyomi: ゲツ,ガツ = moon, month, Monday, month (of the year)",Guess the meaning of the Kunyomi reading,Text
"犬,||いぬ||","dog, spy","Onyomi: ケン = dog",Guess the meaning of the Kunyomi reading,Text
"見,||みる,みえる,みせる||","see, look at, witness, observe, regard as, sightsee, look through, examine, consult (a lexicon), tell (one’s future), estimate, care for, try, test, be seen, be visible, be in sight, look like, s","Onyomi: ケン = hopes, chances, ideas, opinion",Guess the meaning of the Kunyomi reading,Text
"五,||いつ,いつつ||","five, five years old","Onyomi: ゴ = five",Guess the meaning of the Kunyomi reading,Text
"口,||くち||","mouth, lips, speech, words, one's taste, stopper, plug, nozzle, orifice, slit, aperture, door, gate, entrance, route, ascent, employment, job, call (for a doctor), share, kind, lot, brand, beginn","Onyomi: コウ,ク = mouth",Guess the meaning of the Kunyomi reading,Text
"左,||ひだり||","left, the left, leftist","Onyomi: サ = left, the following",Guess the meaning of the Kunyomi reading,Text
"山,||やま||","mountain, hill, height, knoll, heap, pile, crown (of a hat), seam (of an obi), speculation, adventure, climax, acme, crisis, forest, mine","Onyomi: サン = mount, mountain",Guess the meaning of the Kunyomi reading,Text
"三,||み,みつ,みっつ||","three","Onyomi: サン = three",Guess the meaning of the Kunyomi reading,Text
"字,||あざ||","section of a village","Onyomi: ジ = character, letter, word, handwriting",Guess the meaning of the Kunyomi reading,Text
"耳,||みみ||","ear, edge, border, loop, selvage, bread crusts","Onyomi: ジ = ear",Guess the meaning of the Kunyomi reading,Text
"四,||よ,よつ,よっつ,よん||","four","Onyomi: シ = four",Guess the meaning of the Kunyomi reading,Text
"糸,||いと||","thread, yarn, gut, string (of a violin), (fish) line","Onyomi: シ = thread, one tenthousandth of a hair",Guess the meaning of the Kunyomi reading,Text
"子,||こ||","child, offspring, the young (of animals)","Onyomi: シ,ス = viscount, master, child, male, fruit, seed,offspring, the young (of animals)",Guess the meaning of the Kunyomi reading,Text
"七,||なな,ななつ,なの||","seven","Onyomi: シチ = seven",Guess the meaning of the Kunyomi reading,Text
"車,||くるま||","wheel, vehicle, carriage, wagon, cart, wheelbarrow, gocart, jinricksha, van, automobile","Onyomi: シャ = vehicle, a vehicle load",Guess the meaning of the Kunyomi reading,Text
"手,||て,た||","hand, arm, help, handwriting, handle, means, trick, snare, skill, kind, direction, side, trouble, care, control, management, possession, connection, injury","Onyomi: シュ = hand, arm, help, handwriting, handle, means, trick, snare, skill, kind, direction, side, trouble, care, control, management, possession, connection, injury",Guess the meaning of the Kunyomi reading,Text
"十,||とお,と||","ten","Onyomi: ジュウ,ジッ = ten",Guess the meaning of the Kunyomi reading,Text
"出,||でる,だす||","appear, come out, emerge, haunt, infest, be found, get back, be served (meals), lead to, enter, find (oneself) at, come out (as a result), leave, go out, get out, attend, appear, work (at), parti","Onyomi: シュツ,スイ = born of, appearing from, going out, sending out",Guess the meaning of the Kunyomi reading,Text
"女,||おんな,め||","woman, female, sweetheart, girl","Onyomi: ジョ,ニョ,ニョウ = woman, girl, daughter",Guess the meaning of the Kunyomi reading,Text
"小,||ちいさい,こ,お||","small, little, diminutive, minute, fine, trivial,short, pretty, petty, nearly,nice","Onyomi: ショウ = smallness, minor, small,humility prefix, small",Guess the meaning of the Kunyomi reading,Text
"上,||うえ,うわ,かみ,あげる,あがる,のぼる,のぼせる,のぼす||","up, upper part, top, summit, surface, far better, higher, (in) authority, as far as…is concerned, besides, after, emperor, sovereign, upon (examination), influence of (liquor), lord, shogun, supe","Onyomi: ジョウ,ショウ = top, best, first volume,upper part, government,aboard a ship or vehicle, from the standpoint of, as a matter of (fact),governmental, imperial, best, high class, going up, presenting, showing",Guess the meaning of the Kunyomi reading,Text
"森,||もり||","woods, grove","Onyomi: シン = woods, grove",Guess the meaning of the Kunyomi reading,Text
"人,||ひと||","man, human being, mankind, person, people, character, personality, true man, man of talent, adult, other people, messenger, visitor","Onyomi: ジン,ニン = man, person, people",Guess the meaning of the Kunyomi reading,Text
"水,||みず||","water","Onyomi: スイ = water, ice water, Wednesday",Guess the meaning of the Kunyomi reading,Text
"生,||いきる,いかす,いける,うまれる,うむ,おう,はえる,はやす,き,なま||","grow, spring up, cut (teeth),cultivate, wear (a beard),revive, resuscitate, restore to life, let live, spare a life, make the most of, give life to, stet,keep alive, arrange flowers (in a vase), ","Onyomi: セイ,ショウ = birth, life, existence, living, subsistence, student",Guess the meaning of the Kunyomi reading,Text
"青,||あお,あおい||","blue, green, green light, pale, unripe, green","Onyomi: セイ,ショウ = blue, green, green light",Guess the meaning of the Kunyomi reading,Text
"正,||ただしい,ただす,まさ||","correct, adjust, reform, redress, straighten, amend,right, righteous, just, honest, truthful, proper, lawful, healthy, moral, straight, straightforward, perfect","Onyomi: セイ,ショウ = right, righteousness, justice, original, plus, positive, genuine,just, punctual, senior,Regular",Guess the meaning of the Kunyomi reading,Text
"夕,||ゆう||","evening","Onyomi: セキ = evening",Guess the meaning of the Kunyomi reading,Text
"赤,||あか,あかい,あからむ,あからめる||","red, crimson, scarlet, Communist, Red,become red,blush, redden","Onyomi: セキ,シャク = red, crimson, scarlet",Guess the meaning of the Kunyomi reading,Text
"石,||いし||","stone, pebble, rock, jewel, the go playing stones","Onyomi: セキ,シャク,コク = stone, pebble, rock, jewel, the go playing stones,4.96 bushels, 10 cubic feet (of lumber)",Guess the meaning of the Kunyomi reading,Text
"川,||かわ||","river, stream, brook","Onyomi: セン = river, stream, brook",Guess the meaning of the Kunyomi reading,Text
"先,||さき||","point, tip, end, nozzle, head (of a line), the first priority, the future, objective, destination, sequel, remainder, the other party, future","Onyomi: セン = the future, priority, precedence",Guess the meaning of the Kunyomi reading,Text
"千,||ち||","thousand, many","Onyomi: セン = thousand, many",Guess the meaning of the Kunyomi reading,Text
"草,||くさ||","grass, grass hand (writing), weeds, herbs, plants, pasture","Onyomi: ソウ = grass, grass hand (writing), weeds, herbs, plants, pasture",Guess the meaning of the Kunyomi reading,Text
"早,||はやい,はやまる,はやめる||","quick, fast, speedy, brisk, prompt, early, premature,hasten, precipitate, accelerate, expedite, advance (the date),be hasty, be rash","Onyomi: ソウ,サッ = quick, fast, speedy, brisk, prompt, early, premature",Guess the meaning of the Kunyomi reading,Text
"足,||あし,たりる,たる,たす||","foot, leg, paw, flipper, tentacles, arms, walk, step, pace, speed, footing, draft (of a ship), foot (of a mountain), trace, deficit, shortage,money,be sufficient, suffice, serve, answer, will do ","Onyomi: ソク = foot, leg, counter for pairs of footwear",Guess the meaning of the Kunyomi reading,Text
"村,||むら||","village, hamlet","Onyomi: ソン = village, hamlet",Guess the meaning of the Kunyomi reading,Text
"大,||おお,おおきい,おおいに||","large, great, grand, mighty, immense, severe, heavy,very, much, greatly, exceedingly,heavy (rain), loud (voice), fullsize, lifesize","Onyomi: ダイ,タイ = large, huge, grand, the greater, size, very, inveterate (smoker), severe (damage), success",Guess the meaning of the Kunyomi reading,Text
"男,||おとこ||","man, male, fellow, adult, manhood, male servant, paramour","Onyomi: ダン,ナン = man, male, baron,counter for sons",Guess the meaning of the Kunyomi reading,Text
