Question,Answer,Comment,Instruction,Render as
"串,||くし||","spit, skewer","",Guess the meaning of the Kunyomi reading,Text
"丼,||どんぶり,どん||","bowl, bowl of food","",Guess the meaning of the Kunyomi reading,Text
"乞,||こう||","ask, request, invite, pray for, beg, solicit","",Guess the meaning of the Kunyomi reading,Text
"俺,||おれ||","I","",Guess the meaning of the Kunyomi reading,Text
"匂,||におう||","be fragrant, smell, stink, glow, be bright","",Guess the meaning of the Kunyomi reading,Text
"唄,||うた||","songs accompanied by the samisen","",Guess the meaning of the Kunyomi reading,Text
"宛,||あてる||","address (a letter)","",Guess the meaning of the Kunyomi reading,Text
"尻,||しり||","buttocks, hips, rear or back of a person, bottom(of a kettle), tail end, tag end","",Guess the meaning of the Kunyomi reading,Text
"嵐,||あらし||","storm, tempest","",Guess the meaning of the Kunyomi reading,Text
"弥,||や||","all the more, increasingly","",Guess the meaning of the Kunyomi reading,Text
"枕,||まくら||","pillow","",Guess the meaning of the Kunyomi reading,Text
"柿,||かき||","persimmon","",Guess the meaning of the Kunyomi reading,Text
"桁,||けた||","beam, girder, spar, yard, unit or column(in figures)","",Guess the meaning of the Kunyomi reading,Text
"爪,||つめ,つま||","nail, claw, talon, hoof, hook, catch, plectrum","",Guess the meaning of the Kunyomi reading,Text
"箸,||はし||","chopsticks","",Guess the meaning of the Kunyomi reading,Text
"肘,||ひじ||","elbow, arm (of something)","",Guess the meaning of the Kunyomi reading,Text
"脇,||わき||","the other way, another place, side, armpit, flank, supporting role","",Guess the meaning of the Kunyomi reading,Text
"膝,||ひざ||","knee, lap","",Guess the meaning of the Kunyomi reading,Text
"虹,||にじ||","rainbow","",Guess the meaning of the Kunyomi reading,Text
"裾,||すそ||","cuff(of trousers), hem (of a skirt), foot (of a mountain)","",Guess the meaning of the Kunyomi reading,Text
"誰,||だれ||","who","",Guess the meaning of the Kunyomi reading,Text
"謎,||なぞ||","riddle, puzzle, enigma, hint, tip","",Guess the meaning of the Kunyomi reading,Text
"釜,||かま||","kettle, cauldron, iron pot, bioler","",Guess the meaning of the Kunyomi reading,Text
"鍋,||なべ||","pan, pot, kettle","",Guess the meaning of the Kunyomi reading,Text
"鎌,||かま||","sickle, scythe, trick","",Guess the meaning of the Kunyomi reading,Text
"闇,||やみ||","darkness, grief, gloom, disorder, black market","",Guess the meaning of the Kunyomi reading,Text
"頃,||ころ||","time, period,about (regarding time)","",Guess the meaning of the Kunyomi reading,Text
"頬,||ほお||","","",Guess the meaning of the Kunyomi reading,Text
"駒,||こま||","horse, colt, pony, chessman, frame (of a film), bridge (of a violin)","",Guess the meaning of the Kunyomi reading,Text
"鶴,||つる||","","",Guess the meaning of the Kunyomi reading,Text
"畏,||おそれる||","fear, be overawed, be apprehensive","Onyomi: イ = fear, be overawed, be apprehensive",Guess the meaning of the Kunyomi reading,Text
"萎,||なえる||","wither, droop, weaken, be paralyzed, be lame","Onyomi: イ = wither, droop, weaken, be paralyzed, be lame",Guess the meaning of the Kunyomi reading,Text
"淫,||みだら||","licentious, indecent, lewd","Onyomi: イン = lewdness, licentiousness",Guess the meaning of the Kunyomi reading,Text
"艶,||つや||","gloss, luster, glaze, polish, brightness, charm, romance, love","Onyomi: エン = luster, glaze, polish, charm",Guess the meaning of the Kunyomi reading,Text
"瓦,||かわら||","tile","Onyomi: ガ = tile",Guess the meaning of the Kunyomi reading,Text
