Question,Answer,Comment,Instruction,Render as
"且,||かつ||","also, furthermore","",Guess the meaning of the Kunyomi reading,Text
"但,||ただし||","but, however, excepting that","",Guess the meaning of the Kunyomi reading,Text
"坪,||つぼ||","area about 36 square feet","",Guess the meaning of the Kunyomi reading,Text
"垣,||かき||","fence, hedge, wall","",Guess the meaning of the Kunyomi reading,Text
"堀,||ほり||","moat, canal, ditch","",Guess the meaning of the Kunyomi reading,Text
"塚,||つか||","mound, hillock, tumulus","",Guess the meaning of the Kunyomi reading,Text
"岬,||みさき||","cape, spit, promontory","",Guess the meaning of the Kunyomi reading,Text
"据,||すえる,すわる||","set (a table), lay (a foundation), place (a gun), install, equip, appoint (to a position),squat down, sit down, (eyes) are fixed on","",Guess the meaning of the Kunyomi reading,Text
"杉,||すぎ||","cryptomeria, sugi, Japan cedar","",Guess the meaning of the Kunyomi reading,Text
"枠,||わく||","frame, framework, reel, spindle, spool, rim, box (in printing), limit","",Guess the meaning of the Kunyomi reading,Text
"棚,||たな||","shelf, ledge, rack, mount, mantelpiece, trellis, lattice","",Guess the meaning of the Kunyomi reading,Text
"浦,||うら||","creek, inlet, bay, gulf, beach, seacoast","",Guess the meaning of the Kunyomi reading,Text
"漬,||つける,つかる||","soak, moisten, steep, pickle, preserve, add (salt) to,be soaked in, be submerged, be flooded, take a dip, be seasoned","",Guess the meaning of the Kunyomi reading,Text
"畝,||うね||","ridge (in a field), furrow, rib or cord (in cloth)","",Guess the meaning of the Kunyomi reading,Text
"肌,||はだ||","skin, body, grain, texture, disposition","",Guess the meaning of the Kunyomi reading,Text
"虞,||おそれ||","fear, anxiety, concern, uneasiness","",Guess the meaning of the Kunyomi reading,Text
"蚊,||か||","mosquito","",Guess the meaning of the Kunyomi reading,Text
"猿,||さる||","monkey, ape, minic, sly person, door bolt, fastener","Onyomi: エン = monkey",Guess the meaning of the Kunyomi reading,Text
"渦,||うず||","eddy, whirlpool, vortex","Onyomi: カ = eddy, whirlpool, vortex",Guess the meaning of the Kunyomi reading,Text
"靴,||くつ||","shoes, boots","Onyomi: カ = shoes",Guess the meaning of the Kunyomi reading,Text
"稼,||かせぐ||","work, earn money","Onyomi: カ = work, earn money",Guess the meaning of the Kunyomi reading,Text
"懐,||ふところ,なつかしい,なつかしむ,なつく,なつける||","bosom, breast, heart, pocket, purse, dear, longedfor, yearning for, yearn for, miss someone, win over, win another’s heart, become attached to","Onyomi: カイ = heart, feeling",Guess the meaning of the Kunyomi reading,Text
"殻,||から||","husk, hull, nutshell, castoff skin, tofu refuse, corpse, earth's crust","Onyomi: カク = husk, hull, nutshell, castoff skin, tofu refuse, corpse, earth's crust",Guess the meaning of the Kunyomi reading,Text
"渇,||かわく||","be thirsty, feel dry, dry up, be parched","Onyomi: カツ = thirst",Guess the meaning of the Kunyomi reading,Text
"患,||わずらう||","be ill, suffer from, be afficted","Onyomi: カン = disease",Guess the meaning of the Kunyomi reading,Text
"堪,||たえる||","endure, support, withstand, resist, brave, weather, be fit for, be equal to","Onyomi: カン = endure, support, withstand, resist, brave, weather, be fit for, be equal to",Guess the meaning of the Kunyomi reading,Text
"陥,||おちいる,おとしいれる||","fall into, get into, slide into, lapse into, cave in, sink, fall (a fort), ensnare, tempt","Onyomi: カン = fall into, get into, slide into, lapse into, cave in, sink, fall (a fort)",Guess the meaning of the Kunyomi reading,Text
"飢,||うえる||","be hungry, starve","Onyomi: キ = be hungry, starve",Guess the meaning of the Kunyomi reading,Text
"偽,||いつわる,にせ||","lie, falsity, deceive, pretend, cheat, sham, counterfeit, forgery, imitation, false (prophet)","Onyomi: ギ = lie, falsity, deceive, pretend, cheat",Guess the meaning of the Kunyomi reading,Text
"窮,||きわめる,きわまる||","investigate thoroly, carry to extremes, be in a dilemma","Onyomi: キュウ = be destitute, suffer, be perplexed, be cornered",Guess the meaning of the Kunyomi reading,Text
"拒,||こばむ||","refuse, reject, decline, repudiate, resist, oppose, prevent, deny","Onyomi: キョ = refuse, reject, decline, repudiate, resist, oppose, prevent, deny",Guess the meaning of the Kunyomi reading,Text
"暁,||あかつき||","dawn, daybrake, in the event (of)","Onyomi: ギョウ = dawn, daybrake, in the event (of)",Guess the meaning of the Kunyomi reading,Text
"挟,||はさむ,はさまる||","put between, hold between, insert, jam into, nip, interpose, get between, be caught in, be jammed in, be hemmed in, be sandwiched between, be pinned under, lie between","Onyomi: キョウ = put between, hold between, insert, jam into, nip, interpose",Guess the meaning of the Kunyomi reading,Text
"恭,||うやうやしい||","respectful, reverent","Onyomi: キョウ = respectful, reverent",Guess the meaning of the Kunyomi reading,Text
"矯,||ためる||","straighten, correct, reform, cure, control (one's feelings), pretend, falsify, aim","Onyomi: キョウ = straighten, correct, reform, cure, control (one's feelings), pretend, falsify, aim",Guess the meaning of the Kunyomi reading,Text
"謹,||つつしむ||","be discreet, be careful, be prudent, be cautious, restrain oneself, be moderate","Onyomi: キン = be discreet, be careful, be prudent, be cautious, restrain oneself, be moderate",Guess the meaning of the Kunyomi reading,Text
"琴,||こと||","long horizontal Japanese harp, a koto, lyre","Onyomi: キン = harp",Guess the meaning of the Kunyomi reading,Text
"襟,||えり||","neck, neckband, collar, lapel","Onyomi: キン = neck, neckband, collar, lapel",Guess the meaning of the Kunyomi reading,Text
"隅,||すみ||","corner, nook","Onyomi: グウ = corner",Guess the meaning of the Kunyomi reading,Text
"薫,||かおる||","smell, be fragrant","Onyomi: クン = send forth fragrance, be scented, impregnate with",Guess the meaning of the Kunyomi reading,Text
"蛍,||ほたる||","firefly","Onyomi: ケイ = firefly",Guess the meaning of the Kunyomi reading,Text
"茎,||くき||","stem, stalk","Onyomi: ケイ = stem, stalk",Guess the meaning of the Kunyomi reading,Text
"弦,||つる||","bowstring, teakettle handle made of bamboo or vines","Onyomi: ゲン = bowstring, chord (in geometry), hypotenuse, crescent (moon), bowstring, string (of an instrument)",Guess the meaning of the Kunyomi reading,Text
"繭,||まゆ||","cocoon","Onyomi: ケン = cocoon",Guess the meaning of the Kunyomi reading,Text
"懸,||かける,かかる||","hang, set up (a ladder), cover, construct, install, sit down, sprinkle, pour on, put on, ring up, weigh, multiply, levy, pay (in installments), anchor, start (a machine), wind, turn on (radio), s","Onyomi: ケン,ケ = hang, set up (a ladder), cover, construct, install, sit down, sprinkle, pour on, put on, ring up, weigh, multiply, levy, pay (in installments), anchor, start (a machine), wind, turn on (radio), spend on, offer (prizes), put (under treatment), set (on fire)",Guess the meaning of the Kunyomi reading,Text
"嫌,||きらう,いや||","hate, detest, dislike, disagreeable","Onyomi: ケン,ゲン = dislike, hate, be unwilling (to do something),",Guess the meaning of the Kunyomi reading,Text
"溝,||みぞ||","ditch, gutter, drain, groove, slot, gulf, gap","Onyomi: コウ = ditch, gutter, sewer, drain",Guess the meaning of the Kunyomi reading,Text
"江,||え||","inlet, bay","Onyomi: コウ = inlet, bay",Guess the meaning of the Kunyomi reading,Text
"貢,||みつぐ||","support, finance","Onyomi: コウ,ク = tribute",Guess the meaning of the Kunyomi reading,Text
"懇,||ねんごろ||","kind, courteous, hospitable, cordial","Onyomi: コン = kind, courteous, hospitable, cordial",Guess the meaning of the Kunyomi reading,Text
"唆,||そそのかす||","tempt, seduce, instigate, promote","Onyomi: サ = tempt, seduce, instigate, promote",Guess the meaning of the Kunyomi reading,Text
"砕,||くだく,くだける||","break, smash, crush, pulverize, tax (one's ingenuity), explain simply,crumble, be crushed, go to pieces, become familiar","Onyomi: サイ = break, smash, crush, pulverize, tax (one's ingenuity), explain simply",Guess the meaning of the Kunyomi reading,Text
"酢,||す||","vinegar","Onyomi: サク = vinegar",Guess the meaning of the Kunyomi reading,Text
"傘,||かさ||","umbrella, parasol","Onyomi: サン = umbrella, parasol",Guess the meaning of the Kunyomi reading,Text
