Question,Answer,Comment,Instruction,Render as
"卸,||おろす,おろし||","sell at wholesale, grated (vegetables), wholesale","",Guess the meaning of the Kunyomi reading,Text
"又,||また||","again, and, furthermore, on the other hand","",Guess the meaning of the Kunyomi reading,Text
"姫,||ひめ||","princess, young lady of birth,little, pretty","",Guess the meaning of the Kunyomi reading,Text
"掛,||かける,かかる,かかり||","hang on, be suspended from, be caught, be trapped, be built, begin, arrive at, require, cost, play against, oppose, be splashed, weigh (a pound), be levied, (the instrument or tool) works, attack","",Guess the meaning of the Kunyomi reading,Text
"滝,||たき||","waterfall, rapids, cascade","",Guess the meaning of the Kunyomi reading,Text
"瀬,||せ||","current, torrent, rapids, shallows, shoal","",Guess the meaning of the Kunyomi reading,Text
"哀,||あわれ,あわれむ||","pity, have mercy on, sympathize with, grief, sorrow, misery, compassion, pathos","Onyomi: アイ = pity, have mercy on, sympathize with",Guess the meaning of the Kunyomi reading,Text
"慰,||なぐさめる,なぐさむ||","amuse oneself, make sport of, seduce, comfort, console, cheer","Onyomi: イ = amuse oneself, make sport of, seduce",Guess the meaning of the Kunyomi reading,Text
"詠,||よむ||","recite, chant","Onyomi: エイ = poem, song, singing, composing",Guess the meaning of the Kunyomi reading,Text
"炎,||ほのお||","flame, blaze","Onyomi: エン = inflammation",Guess the meaning of the Kunyomi reading,Text
"殴,||なぐる||","hit, beat, thrash","Onyomi: オウ = hit, beat, thrash",Guess the meaning of the Kunyomi reading,Text
"穏,||おだやか||","calm, quiet, peace, moderation","Onyomi: オン = calm, quiet, peace, moderation",Guess the meaning of the Kunyomi reading,Text
"架,||かける,かかる||","build (a bridge), hang","Onyomi: カ = frame, mount, stand, support, hang up, shelf",Guess the meaning of the Kunyomi reading,Text
"嫁,||よめ,とつぐ||","marry off, get married, bride, young wife, daughterin law","Onyomi: カ = marry (a man), be married to, blame",Guess the meaning of the Kunyomi reading,Text
"華,||はな||","flower","Onyomi: カ,ケ = flower, petal, shining, luster, China",Guess the meaning of the Kunyomi reading,Text
"塊,||かたまり||","lump, chunk, clod, mass, clump, cluster, group, flock, bigotry, personification (of)","Onyomi: カイ = lump, chunk, clod, mass, clot, ingot",Guess the meaning of the Kunyomi reading,Text
"怪,||あやしい,あやしむ||","doubt, be suspicious of, wonder at, undependable, mysterious, strange","Onyomi: カイ = mystery, apparition",Guess the meaning of the Kunyomi reading,Text
"悔,||くいる,くやむ,くやしい||","repend, regret,repent of, mourn for, condole with, vexing, regretable, mortifying","Onyomi: カイ = repend, regret",Guess the meaning of the Kunyomi reading,Text
"隔,||へだてる,へだたる||","separate, interpose, screen, shield, estrange, be distant from, be separated from, become estranged","Onyomi: カク = distance, every other, alternate",Guess the meaning of the Kunyomi reading,Text
"岳,||たけ||","peak, mountain","Onyomi: ガク = peak, mountain",Guess the meaning of the Kunyomi reading,Text
"滑,||すべる,なめらか||","slide, glide, skate, be slippery, slip, fail in exams, smooth","Onyomi: カツ,コツ = slide, glide, skate, be slippery, slip, fail in exams",Guess the meaning of the Kunyomi reading,Text
"貫,||つらぬく||","pierce, penetrate, perforate, shoot through, attain (one's object)","Onyomi: カン = 8.3/1 pounds",Guess the meaning of the Kunyomi reading,Text
"換,||かえる,かわる||","change, turn, convert, exchange, renew, substitute, replace, relieve","Onyomi: カン = change, turn, convert, exchange, renew, substitute, replace",Guess the meaning of the Kunyomi reading,Text
"冠,||かんむり||","crown, diadem, a top character radical","Onyomi: カン = crown, diadem, first, best, peerless",Guess the meaning of the Kunyomi reading,Text
"肝,||きも||","liver, pluck, courage, nerve","Onyomi: カン = liver",Guess the meaning of the Kunyomi reading,Text
"緩,||ゆるい,ゆるやか,ゆるむ,ゆるめる||","loose, slack, lenient, generous, slow, easy (grade), gentle, slow (stream), loosen, lessen, relax, be unguarded, be moderate, unbend, unfasten, ease, slacken, mitigate","Onyomi: カン = loosen, lessen, relax, be unguarded, be moderate",Guess the meaning of the Kunyomi reading,Text
"欺,||あざむく||","deceive, cheat, delude","Onyomi: ギ = deceive, cheat, delude",Guess the meaning of the Kunyomi reading,Text
"忌,||いむ,いまわしい||","abhor, have an aversion for, avoid, shun, taboo, abstain from, objectionable, abominable, offensive, ominous, unlucky","Onyomi: キ = mourning, death anniversary, something detestable",Guess the meaning of the Kunyomi reading,Text
"企,||くわだてる||","plan, plot, propose, design, intend, contemplate, attempt, undertake","Onyomi: キ = plan, plot, propose, design, intend, contemplate, attempt, undertake",Guess the meaning of the Kunyomi reading,Text
"既,||すでに||","previously, already, long ago, on the point of, actually","Onyomi: キ = previously, already, long ago, on the point of, actually",Guess the meaning of the Kunyomi reading,Text
"虐,||しいたげる||","oppress, tyrannixe","Onyomi: ギャク = oppress, tyrannixe",Guess the meaning of the Kunyomi reading,Text
"凝,||こる,こらす||","feel stiff, get stiff, be absorbed in, be devoted to, be a fanatic, elaborate, concentrate, devote, apply, strain, rack","Onyomi: ギョウ = freeze, congeal",Guess the meaning of the Kunyomi reading,Text
"脅,||おびやかす,おどす,おどかす||","threaten, coerce","Onyomi: キョウ = threaten, coerce",Guess the meaning of the Kunyomi reading,Text
"愚,||おろか||","foolish, stupid, dull","Onyomi: グ = folly, foolishness, absurdity, fool",Guess the meaning of the Kunyomi reading,Text
"携,||たずさえる,たずさわる||","carry (in the hand), be armed with, carry along, bring (someone) along, participate in, be concerned in","Onyomi: ケイ = carry (in the hand), be armed with, carry along, bring (someone) along",Guess the meaning of the Kunyomi reading,Text
"鶏,||にわとり||","chicken","Onyomi: ケイ = chicken",Guess the meaning of the Kunyomi reading,Text
"契,||ちぎる||","pledge, vow, swear, promise","Onyomi: ケイ = pledge, vow, swear, promise",Guess the meaning of the Kunyomi reading,Text
"掲,||かかげる||","put up, hang out, hoist, display, publish, insert, describe, mention","Onyomi: ケイ = put up, hang out, hoist, display, publish, insert, describe, mention",Guess the meaning of the Kunyomi reading,Text
"憩,||いこい,いこう||","rest, relax, repose","Onyomi: ケイ = rest, relax, repose",Guess the meaning of the Kunyomi reading,Text
"鯨,||くじら||","whale","Onyomi: ゲイ = whale",Guess the meaning of the Kunyomi reading,Text
"幻,||まぼろし||","vision, dream, illusion, apparition","Onyomi: ゲン = vision, dream, illusion, apparition",Guess the meaning of the Kunyomi reading,Text
"賢,||かしこい||","wise, intelligent","Onyomi: ケン = wisdom, cleverness",Guess the meaning of the Kunyomi reading,Text
"雇,||やとう||","employ, hire","Onyomi: コ = employ, hire",Guess the meaning of the Kunyomi reading,Text
"顧,||かえりみる||","look back, turn around, look back upon, review, examine oneself, take notice of","Onyomi: コ = look back, turn around, look back upon, review, examine oneself, take notice of",Guess the meaning of the Kunyomi reading,Text
"悟,||さとる||","perceive, discern, realize, understand, comprehend, attain enlightenment, find one's philosophy","Onyomi: ゴ = perceive, discern, realize, understand, comprehend, attain enlightenment, find one's philosophy",Guess the meaning of the Kunyomi reading,Text
"慌,||あわてる,あわただしい||","be confused, lose one's head, be hurried, be hasty, busy, bustling, confused","Onyomi: コウ = be confused, lose one's head, be hurried, be hasty",Guess the meaning of the Kunyomi reading,Text
"綱,||つな||","rope, cord, string, line, hawser, cable, morality","Onyomi: コウ = class (in zoology)",Guess the meaning of the Kunyomi reading,Text
"控,||ひかえる||","memo, duplicate, waiting, prop, reserve","Onyomi: コウ = draw in, hold back, suspend (judgment), refrain from, be moderate, write, make notes, wait, have, moderate (a report)",Guess the meaning of the Kunyomi reading,Text
"硬,||かたい||","hard, solid, tough, rigid, tight, steady, firm, strict, safe, reliable, upright, chaste, constant, stiff, bookish, classical, stubborn","Onyomi: コウ = hard, solid, tough, rigid, tight, steady, firm, strict, safe, reliable, upright, chaste, constant, stiff, bookish, classical, stubborn",Guess the meaning of the Kunyomi reading,Text
"巧,||たくみ||","skill, ingenuity","Onyomi: コウ = skilled",Guess the meaning of the Kunyomi reading,Text
"絞,||しぼる,しめる,しまる||","strangle, constrict, wring,squeeze, press, extract, milk, close tight, extort, scold","Onyomi: コウ = strangle, constrict, wring",Guess the meaning of the Kunyomi reading,Text
"恨,||うらむ,うらめしい||","bear a grudge, show resentment, hateful, bitter","Onyomi: コン = bear a grudge, show resentment",Guess the meaning of the Kunyomi reading,Text
"魂,||たましい||","soul, spirit","Onyomi: コン = soul, spirit",Guess the meaning of the Kunyomi reading,Text
"催,||もよおす||","hold (a meeting), give (a dinner), feel, show signs of, develop symptoms of, feel (sick)","Onyomi: サイ = hold (a meeting), give (a dinner), feel, show signs of, develop symptoms of, feel (sick)",Guess the meaning of the Kunyomi reading,Text
"削,||けずる||","plane, sharpen, whittle, pare, shave (leather), scrape off, cross out, reduce, curtail","Onyomi: サク = plane, sharpen, whittle, pare, shave (leather), scrape off, cross out, reduce, curtail",Guess the meaning of the Kunyomi reading,Text
"搾,||しぼる||","wring, squeeze, press, extract, milk, close tight, extort, scold","Onyomi: サク = wring, squeeze, press, extract, milk, close tight, extort, scold",Guess the meaning of the Kunyomi reading,Text
"撮,||とる||","take (pictures)","Onyomi: サツ = pick, pinch, hold in the fingers, summarize",Guess the meaning of the Kunyomi reading,Text
"擦,||する,すれる||","rub, chafe, strike (a match), frost (glass),wear, become sophisticated","Onyomi: サツ = rub, scour, scrub, scratch, scrape, brush",Guess the meaning of the Kunyomi reading,Text
"諮,||はかる||","consult with","Onyomi: シ = consult with",Guess the meaning of the Kunyomi reading,Text
"慈,||いつくしむ||","love, be affectionate to, pity","Onyomi: ジ = love, be affectionate to, pity",Guess the meaning of the Kunyomi reading,Text
"侍,||さむらい||","warrior, samurai","Onyomi: ジ = wait upon, serve",Guess the meaning of the Kunyomi reading,Text
"施,||ほどこす||","give alms, conduct (educational work), carry out, administer (first aid), apply (bandages), perform (an operation)","Onyomi: シ,セ = give alms, conduct (educational work), carry out, administer (first aid), apply (bandages), perform (an operation)",Guess the meaning of the Kunyomi reading,Text
"湿,||しめる,しめす||","get damp, get moist, get wet,wet, moisten, dampen","Onyomi: シツ = dampness, moisture, itch",Guess the meaning of the Kunyomi reading,Text
"寿,||ことぶき||","long life, congratulations","Onyomi: ジュ = age, one's natural life, longevity, congratulations",Guess the meaning of the Kunyomi reading,Text
"殊,||こと||","especially, exceptionally, above all","Onyomi: シュ = especially, exceptionally, above all",Guess the meaning of the Kunyomi reading,Text
"潤,||うるおう,うるおす,うるむ||","be watered, profit by, receive benefits, become rich,moisten, water, irrigate, dip, enrich, profit,be dimmed, be clouded, get muddy, be wet","Onyomi: ジュン = be watered, profit by, receive benefits, become rich",Guess the meaning of the Kunyomi reading,Text
"鐘,||かね||","bell, gong, chimes, carillon","Onyomi: ショウ = bell, gong, chimes, carillon",Guess the meaning of the Kunyomi reading,Text
"焦,||こげる,こがす,こがれる,あせる||","burn, scorch, singe, char,pine for,yearn for, be deeply in love with, be scorched,be in a hurry, be hasty, be impatient, be overzealous","Onyomi: ショウ = burn, scorch, singe, char",Guess the meaning of the Kunyomi reading,Text
"昇,||のぼる||","rise, ascend, go up, climb, go to (the capital), add up to, be promoted, advance (in price), sail up, come up (on the agenda)","Onyomi: ショウ = rise, ascend, go up, climb, go to (the capital), add up to, be promoted, advance (in price), sail up, come up (on the agenda)",Guess the meaning of the Kunyomi reading,Text
"譲,||ゆずる||","turn over, hand over, transfer, convey, assign, deed, bequeath, give away, give up, sell, dispose of, yield to, be inferior to, defer, postpone","Onyomi: ジョウ = turn over, hand over, transfer, convey, assign, deed, bequeath, give away, give up, sell, dispose of, yield to, be inferior to, defer, postpone",Guess the meaning of the Kunyomi reading,Text
"辱,||はずかしめる||","humiliate, put to shame, disgrace, insult, rape, assault","Onyomi: ジョク = humiliate, put to shame, disgrace, insult, rape, assault",Guess the meaning of the Kunyomi reading,Text
"辛,||からい||","hot, acrid, sharp, salty, bitter, trying, harsh, severe","Onyomi: シン = H, eighth",Guess the meaning of the Kunyomi reading,Text
"伸,||のびる,のばす,のべる||","extend, lengthen, stretch, spread, be postponed, increase, grow, progress, develop, be straightened, be flattened, be smoothed, be exhausted,let (nails) grow, straighten, uncoil, spread out, reac","Onyomi: シン = stretching",Guess the meaning of the Kunyomi reading,Text
"遂,||とげる||","accomplish, attain, commit (suicide)","Onyomi: スイ = accomplish, attain, commit (suicide)",Guess the meaning of the Kunyomi reading,Text
"炊,||たく||","cook, boil","Onyomi: スイ = cook, boil",Guess the meaning of the Kunyomi reading,Text
"衰,||おとろえる||","decline, wane, weaken, abate, decay, wither, waste away","Onyomi: スイ = decline, wane, weaken, abate, decay, wither, waste away",Guess the meaning of the Kunyomi reading,Text
"穂,||ほ||","ear, head (of grain), crest (of waves)","Onyomi: スイ = ear, head (of grain), crest (of waves)",Guess the meaning of the Kunyomi reading,Text
"酔,||よう||","get drunk, feel sick, be poisoned, be elated, be spellbound","Onyomi: スイ = get drunk, feel sick, be poisoned, be elated, be spellbound",Guess the meaning of the Kunyomi reading,Text
"粋,||いき||","chic, style","Onyomi: スイ = purity, essence, pith, cream, pick, elite, choice, elegance, fashion, taste, gracefulness, considerateness",Guess the meaning of the Kunyomi reading,Text
"婿,||むこ||","soninlaw","Onyomi: セイ = soninlaw",Guess the meaning of the Kunyomi reading,Text
"請,||こう,うける||","ask, request, invite, pray for, beg, solicit,receive, accept, take, get, obtain, face, front of, inherit, catch the public's fancy","Onyomi: セイ,シン = requesting, inviting",Guess the meaning of the Kunyomi reading,Text
"惜,||おしい,おしむ||","be sparing of, be frugal with, be stingy with, regret, value, prize, be reluctant,regrettable, pitiful, disappointing, precious, wasteful","Onyomi: セキ = be sparing of, be frugal with, be stingy with, regret, value, prize, be reluctant",Guess the meaning of the Kunyomi reading,Text
"潜,||ひそむ,もぐる||","lurk, lie dormant, be hidden,dive, get into, crawl into","Onyomi: セン = conceal, hide, lower (the voice)",Guess the meaning of the Kunyomi reading,Text
"繕,||つくろう||","repair, mend, darn, trim, tidy up, adjust","Onyomi: ゼン = repair, mend, darn, trim, tidy up, adjust",Guess the meaning of the Kunyomi reading,Text
"礎,||いしずえ||","foundation stone, cornerstone","Onyomi: ソ = foundation stone, cornerstone",Guess the meaning of the Kunyomi reading,Text
"粗,||あらい||","rough, coarse, rugged, loose (fabric), large (meshes)","Onyomi: ソ = roughness, coarseness, not fine, neglect, careless",Guess the meaning of the Kunyomi reading,Text
"阻,||はばむ||","obstruct, prevent, impede, deter, hinder, thwart, resist, frustrate","Onyomi: ソ = separate from, prevent, stop",Guess the meaning of the Kunyomi reading,Text
"双,||ふた||",NULL,"Onyomi: ソウ = a pair, a set, comparison, counter for pairs",Guess the meaning of the Kunyomi reading,Text
"葬,||ほうむる||","bury, shelve","Onyomi: ソウ = bury, shelve",Guess the meaning of the Kunyomi reading,Text
"憎,||にくむ,にくい,にくらしい,にくしみ||","hate, detest,hateful, abominable, poorlooking,horrible, provoking,hatred, enmity","Onyomi: ゾウ = hate, detest",Guess the meaning of the Kunyomi reading,Text
"遭,||あう||","meet, interview","Onyomi: ソウ = meet, interview",Guess the meaning of the Kunyomi reading,Text
"桑,||くわ||","mulberry","Onyomi: ソウ = mulberry",Guess the meaning of the Kunyomi reading,Text
"掃,||はく||","sweep, brush, gather up","Onyomi: ソウ = sweep, brush, gather up",Guess the meaning of the Kunyomi reading,Text
"促,||うながす||","urge, press, demand, stimulate, incite, quicken, invite (attention to)","Onyomi: ソク = urge, press, demand, stimulate, incite, quicken, invite (attention to)",Guess the meaning of the Kunyomi reading,Text
"袋,||ふくろ||","bag, sack, pouch","Onyomi: タイ = bag, bag counter",Guess the meaning of the Kunyomi reading,Text
"怠,||おこたる,なまける||","neglect, be off guard, be feeling better,be lazy, be idle","Onyomi: タイ = laziness, neglect",Guess the meaning of the Kunyomi reading,Text
"滞,||とどこおる||","stagnate, be delayed, be left undone, be overdue, fall into arrears","Onyomi: タイ = stopping",Guess the meaning of the Kunyomi reading,Text
"奪,||うばう||","take by force, deprive of, disposess","Onyomi: ダツ = take by force, snatch away, oust, deprive of, disposess, plunder, usurp, absorb (attention), fascinate",Guess the meaning of the Kunyomi reading,Text
"鍛,||きたえる||","forge, temper, drill, train, practice","Onyomi: タン = forge, temper, drill, train, practice",Guess the meaning of the Kunyomi reading,Text
"鋳,||いる||","cast, mint, coin","Onyomi: チュウ = casting",Guess the meaning of the Kunyomi reading,Text
"聴,||きく||","hear, listen to, learn of, inquire, follow advice","Onyomi: チョウ = careful inquiry",Guess the meaning of the Kunyomi reading,Text
"彫,||ほる||","carve, engrave, sculpture, inscribe","Onyomi: チョウ = carving",Guess the meaning of the Kunyomi reading,Text
"超,||こえる,こす||","cross, go beyond, exceed, clear (an obstacle), overstep (authority)","Onyomi: チョウ = super, ultra",Guess the meaning of the Kunyomi reading,Text
"鎮,||しずめる,しずまる||","get quiet, calm down, grow still, subside, die down, be suppressed,calm, pacify, soothe, alleviate, appease, suppress, quell","Onyomi: チン = ancient garrisons for peacepreservation",Guess the meaning of the Kunyomi reading,Text
"締,||しまる,しめる||","tie, tighten, wring, constrict, strangle, shut, total, control strictly, rebuke,be shut, be locked, be fastened, be tight, be firm, become sober, reform, be thrifty","Onyomi: テイ = tie, tighten, wring, constrict, strangle, shut, total, control strictly, rebuke",Guess the meaning of the Kunyomi reading,Text
"塗,||ぬる||","paint, plaster, daub, lacquer","Onyomi: ト = paint, plaster, daub, lacquer",Guess the meaning of the Kunyomi reading,Text
"凍,||こおる,こごえる||","freeze, be frozen over, congeal,freeze, be chilled, be frozen","Onyomi: トウ = freeze, be frozen over, congeal",Guess the meaning of the Kunyomi reading,Text
"豚,||ぶた||","pig, hog, swine","Onyomi: トン = hog",Guess the meaning of the Kunyomi reading,Text
"粘,||ねばる||","be sticky, be glutinous, be greasy, persevere","Onyomi: ネン = be sticky, be glutinous, be greasy, persevere",Guess the meaning of the Kunyomi reading,Text
"縛,||しばる||","bind, tie, fasten, truss, fetter, restrain, chain, arrest, catch","Onyomi: バク = arrest, binding",Guess the meaning of the Kunyomi reading,Text
"帆,||ほ||","sail","Onyomi: ハン = sail",Guess the meaning of the Kunyomi reading,Text
"伴,||ともなう||","accompany, bring with, be accompanied by, be involved in","Onyomi: ハン,バン = accompany, bring with, be accompanied by, be involved in",Guess the meaning of the Kunyomi reading,Text
"卑,||いやしい,いやしむ,いやしめる||","humble, base, mean, vile, vulgar, greedy,despise","Onyomi: ヒ = humble, base, mean, vile, vulgar, greedy",Guess the meaning of the Kunyomi reading,Text
"漂,||ただよう||","float (on the water)","Onyomi: ヒョウ = float (on the water)",Guess the meaning of the Kunyomi reading,Text
"苗,||なえ,なわ||","seedling, sapling, shoot","Onyomi: ビョウ = seedling, sapling, shoot",Guess the meaning of the Kunyomi reading,Text
"赴,||おもむく||","proceed to, get, become, tend toward","Onyomi: フ = proceed to, get, become, tend toward",Guess the meaning of the Kunyomi reading,Text
"伏,||ふせる,ふす||","bend down, bow down, lie prostrate,turn over, lay face down, cover, lay (pipes), lay (an ambush), hide","Onyomi: フク = bend down, bow down, lie prostrate",Guess the meaning of the Kunyomi reading,Text
