Question,Answer,Comment,Instruction,Render as
"刈,||かる||","cut, clip, shear, reap, trim, prune","",Guess the meaning of the Kunyomi reading,Text
"咲,||さく||","bloom, blossom","",Guess the meaning of the Kunyomi reading,Text
"娘,||むすめ||","daughter, girl, young woman","",Guess the meaning of the Kunyomi reading,Text
"峠,||とうげ||","mountain pass, crisis, crest, climax","",Guess the meaning of the Kunyomi reading,Text
"扱,||あつかう||","treat, entertain, manage, deal with, conduct, work on, handle, manipulate","",Guess the meaning of the Kunyomi reading,Text
"繰,||くる||","reel (thread), wind, gin (cotton), spin, turn (pages), look up (a word, etc.), refer to, count (the days), open (shutters)","",Guess the meaning of the Kunyomi reading,Text
"芋,||いも||","potato","",Guess the meaning of the Kunyomi reading,Text
"芝,||しば||","lawn, sod, turf","",Guess the meaning of the Kunyomi reading,Text
"込,||こむ,こめる||","be crowded, requiring (a lot of work),include, load (a gun), concentrate on, devote oneself to","",Guess the meaning of the Kunyomi reading,Text
"握,||にぎる||","grasp, hold, make (sushi balls), assume (power), make (money), get (proof)","Onyomi: アク = grasp, hold, make (sushi balls), assume (power), make (money), get (proof)",Guess the meaning of the Kunyomi reading,Text
"違,||ちがう,ちがえる||","differ, vary, disagree with, be mistaken, cross or pass (someone), No (negation), change, alter, disguise, make a mistake, break (a promise), sprain, dislocate, cross (two sticks)","Onyomi: イ = differ, vary, disagree with, be mistaken, cross or pass (someone), No (negation)",Guess the meaning of the Kunyomi reading,Text
"偉,||えらい||","great, famous, excellent, remarkable","Onyomi: イ = greatness",Guess the meaning of the Kunyomi reading,Text
"隠,||かくす,かくれる||","hide, conceal, cover, veil, cloak, disguise, disappear, pass away, be anonymous, lurk","Onyomi: イン = hide, conceal, cover, veil, cloak, disguise",Guess the meaning of the Kunyomi reading,Text
"陰,||かげ,かげる||","darken, cloud up, be obscured, shade, back, (your) assistance","Onyomi: イン = the yin principle, negative, melancholy, north side of a mountain, sex organs, secret, shadow, south side of a river, negative electrode, earth, bottom, back, inactivity, nighttime, moon",Guess the meaning of the Kunyomi reading,Text
"影,||かげ||","light, shadow, silhouette, phantom, reflection, figure, trace","Onyomi: エイ = shadow",Guess the meaning of the Kunyomi reading,Text
"鋭,||するどい||","pointed, sharp, violent, scathing, keen (sense), sharp (ear), penetrating (eye), shrewd","Onyomi: エイ = sharpness, edge, (sharp) weapon, picked men (soldiers), the pick",Guess the meaning of the Kunyomi reading,Text
"越,||こす,こえる||","cross, pass, spend, tide over, outrun, exceed, surpass, move, go, come, go beyond, exceed, clear (an obstacle), overstep (authority)","Onyomi: エツ = cross, pass, spend, tide over, outrun, exceed, surpass, move, go, come",Guess the meaning of the Kunyomi reading,Text
"鉛,||なまり||","lead(metal)","Onyomi: エン = lead(metal)",Guess the meaning of the Kunyomi reading,Text
"縁,||ふち||","edge, verge, shore, side, brink, margin, brim, rim, flange, frill, frame, bank, fringe, border","Onyomi: エン = relation, connection, affinity, ties, bond, blood relation, karma relation, fate, destiny, chance, marriage, acquaintance, marriage alliance, veranda, balcony",Guess the meaning of the Kunyomi reading,Text
"煙,||けむる,けむり,けむい||","smoke, smolder, be smoky, smoky, fumes, spray","Onyomi: エン = smoke",Guess the meaning of the Kunyomi reading,Text
"汚,||けがす,けがれる,けがらわしい,よごす,よごれる,きたない||","make dirty, stain, pollute, defile, contaminate, disgrace, dishonor, rape, get dirty, be defiled, be contaminated, filthy, unfair, soil, debauch, be stained, tarnish, dirty, filthy, unclean, soil","Onyomi: オ = make dirty, stain, pollute, defile, contaminate, disgrace, dishonor, rape",Guess the meaning of the Kunyomi reading,Text
"奥,||おく||","heart, interior","Onyomi: オウ = heart, interior",Guess the meaning of the Kunyomi reading,Text
