Question,Answer,Comment,Instruction,Render As
"戦陣の中。戦いの中にあること。||陣||＊にいる人、あるいは非常に繁忙な環境にいる人へ贈る見舞いを「||陣||＊見舞い」などと言う。","陣中,じんちゅう","戦陣の中。戦いの中にあること。陣中にいる人、あるいは非常に繁忙な環境にいる人へ贈る見舞いを「陣中見舞い」などと言う。",Guess the Word or Reading,Text
"遺体をそのまま埋めて葬ること。火葬の場合は遺体を焼いて遺骨のみ埋める。","土葬,どそう","遺体をそのまま埋めて葬ること。火葬の場合は遺体を焼いて遺骨のみ埋める。",Guess the Word or Reading,Text
"初夏の青葉の頃に吹く、やや強い風。青葉に吹き付け、青葉を揺らす風。","青嵐,あおあらし","初夏の青葉の頃に吹く、やや強い風。青葉に吹き付け、青葉を揺らす風。",Guess the Word or Reading,Text
"郵便物の送り先。宛名や住所、郵便番号などから構成される。「宛て先」とも書く。","宛先,あてさき","郵便物の送り先。宛名や住所、郵便番号などから構成される。「宛て先」とも書く。",Guess the Word or Reading,Text
"花をささげること。特に、お葬式などの法要で花をささげることを指す。","献花,けんか","花をささげること。特に、お葬式などの法要で花をささげることを指す。",Guess the Word or Reading,Text
"原稿の下書き、まだ内容が正式なものとして決まっていない文章を指す語。","草稿,そうこう","原稿の下書き、まだ内容が正式なものとして決まっていない文章を指す語。",Guess the Word or Reading,Text
"年越しすること、新しい年を迎えることを意味する表現。物事が年内に完了せず、正月をまたぐ、という意味で用いられる語。","越年,えつねん","年越しすること、新しい年を迎えることを意味する表現。物事が年内に完了せず、正月をまたぐ、という意味で用いられる語。",Guess the Word or Reading,Text
"いちど振り返ってみること、少し考えてみること、などの意味の表現。もっぱら「||一||＊だに値しない」のような言い回しで用いられる語。","一顧,いっこ","いちど振り返ってみること、少し考えてみること、などの意味の表現。もっぱら「一顧だに値しない」のような言い回しで用いられる語。",Guess the Word or Reading,Text
"洪水や河川の氾濫などにより、農地や道路などの土地が広範囲に水に浸かる・覆われる状況を指す語。大雨が原因で発生する場合もある。「冠」の字は「上にかぶせる」という意味であり、土地の上に水が溜まって土地が水面下に沈む状況を表現する。対象が水没してしまっている状況を指す語といえる。||冠||＊に似た表現に「浸水」もあるが、浸水は主に住宅などの建造物の中に水が入り込む状況を指して用いられる。「浸」は「ひた（る）」という意味の字である。基本的には、畑や道路が水に浸る場合は「||冠||＊」、住宅などが水に浸かる場合は「浸水」と表現される。浸水は程度によって「床上浸水」や「床下浸水」などのようにも表現される。住宅について「||冠||＊」と表現される場合もあるが、これは住人が屋根の上に逃れる他なくなるほど家屋がどっぷり水に浸かる状況で用いられる場合が多い。","冠水,かんすい","洪水や河川の氾濫などにより、農地や道路などの土地が広範囲に水に浸かる・覆われる状況を指す語。大雨が原因で発生する場合もある。「冠」の字は「上にかぶせる」という意味であり、土地の上に水が溜まって土地が水面下に沈む状況を表現する。対象が水没してしまっている状況を指す語といえる。冠水に似た表現に「浸水」もあるが、浸水は主に住宅などの建造物の中に水が入り込む状況を指して用いられる。「浸」は「ひた（る）」という意味の字である。基本的には、畑や道路が水に浸る場合は「冠水」、住宅などが水に浸かる場合は「浸水」と表現される。浸水は程度によって「床上浸水」や「床下浸水」などのようにも表現される。住宅について「冠水」と表現される場合もあるが、これは住人が屋根の上に逃れる他なくなるほど家屋がどっぷり水に浸かる状況で用いられる場合が多い。",Guess the Word or Reading,Text
"自衛隊における3等陸佐、3等海佐、3等空佐を略した語。","三佐,さんさ","自衛隊における3等陸佐、3等海佐、3等空佐を略した語。",Guess the Word or Reading,Text
"左の腕、||左||＊、または、左利きの人にとっての利き腕、を指す語。特に野球の投手では「||左||＊投手」などと言う。","左腕,さわん","左の腕、左腕、または、左利きの人にとっての利き腕、を指す語。特に野球の投手では「左腕投手」などと言う。",Guess the Word or Reading,Text
"(1)その欄、現在言及している欄を意味する表現。(2)新聞や雑誌などの紙媒体において、全体の中心となる欄を意味する表現。","本欄,ほんらん","(1)その欄、現在言及している欄を意味する表現。(2)新聞や雑誌などの紙媒体において、全体の中心となる欄を意味する表現。",Guess the Word or Reading,Text
"一つ一つ順番に扱うさま、あるいは省略することなく全て順に扱うさまなどを意味する表現。","逐一,ちくいち","一つ一つ順番に扱うさま、あるいは省略することなく全て順に扱うさまなどを意味する表現。",Guess the Word or Reading,Text
"揉め事や事件などの中心を意味する語。","渦中,かちゅう","揉め事や事件などの中心を意味する語。",Guess the Word or Reading,Text
"気分や雰囲気などが晴れないことを意味する語。「彼は||陰||＊な性格をしている」などのように用いる。","陰気,いんき","気分や雰囲気などが晴れないことを意味する語。「彼は陰気な性格をしている」などのように用いる。",Guess the Word or Reading,Text
"日本と韓国（大韓民国）を指す語。","日韓,にっかん","日本と韓国（大韓民国）を指す語。",Guess the Word or Reading,Text
"物事の数や量が膨れ上がり、非常に多いことを意味する語。","膨大,ぼうだい","物事の数や量が膨れ上がり、非常に多いことを意味する語。",Guess the Word or Reading,Text
"(1)天ぷらを米の上にのせた日本の丼物料理。(2)お笑い業界において、一度使ったギャグを会話中でもう一度使うこと。||天||＊には海老が2本のっているイメージがあることから、このように呼ばれるようになった。","天丼,てんどん","(1)天ぷらを米の上にのせた日本の丼物料理。(2)お笑い業界において、一度使ったギャグを会話中でもう一度使うこと。天丼には海老が2本のっているイメージがあることから、このように呼ばれるようになった。",Guess the Word or Reading,Text
"（１）燃え上がること。（２）発信した情報が大勢の受信者の怒りを買い、発信者のブログやSNSといったネット上のアカウントに大量のコメントが送られるなどすることを意味するネット用語。特に悪意のあるものは「荒らし」などとも呼ばれる。一般的には不謹慎な発言をした著名人などのブログやSNSが「||炎||＊」することが多い。","炎上,えんじょう","（１）燃え上がること。（２）発信した情報が大勢の受信者の怒りを買い、発信者のブログやSNSといったネット上のアカウントに大量のコメントが送られるなどすることを意味するネット用語。特に悪意のあるものは「荒らし」などとも呼ばれる。一般的には不謹慎な発言をした著名人などのブログやSNSが「炎上」することが多い。",Guess the Word or Reading,Text
"金銭を出し合って特定の目的に用いること、特定の目的に用いるため金銭を出し合うこと、という意味で用いられる表現。今日では「||拠||＊」の語は「||拠||＊年金」「確定||拠||＊年金」という表現の中で目にする場合が多い。確定||拠||＊年件は「収入を得ている間に掛け金を《確定》し、年金制度の運用のために《||拠||＊》して、老後に（運用後の年金の）給付を受ける」仕組みの制度である。「||拠||＊」の「拠」は「醵」の代用字であり、この字自体に「金銭を出し合う」という字義がある。この語義は「||拠||＊」の他に「拠金」（醵金）のような語でも用いられる。「拠」の字には本来「よりどころとする」という意味合いがあり、「依拠」「典拠」「根拠」「占拠」「証拠」「準拠」あるいは「拠点」といった語はこちらの語義にもとづいて解釈できる。「醵」の代用字としての「||拠||＊」の「拠」とは別個の語義である。","拠出,きょしゅつ","金銭を出し合って特定の目的に用いること、特定の目的に用いるため金銭を出し合うこと、という意味で用いられる表現。今日では「拠出」の語は「拠出年金」「確定拠出年金」という表現の中で目にする場合が多い。確定拠出年件は「収入を得ている間に掛け金を《確定》し、年金制度の運用のために《拠出》して、老後に（運用後の年金の）給付を受ける」仕組みの制度である。「拠出」の「拠」は「醵」の代用字であり、この字自体に「金銭を出し合う」という字義がある。この語義は「拠出」の他に「拠金」（醵金）のような語でも用いられる。「拠」の字には本来「よりどころとする」という意味合いがあり、「依拠」「典拠」「根拠」「占拠」「証拠」「準拠」あるいは「拠点」といった語はこちらの語義にもとづいて解釈できる。「醵」の代用字としての「拠出」の「拠」とは別個の語義である。",Guess the Word or Reading,Text
"||購||＊とは、「物を買う（こと）」という意味で用いられる表現である。英語のpurchaseもしくはbuy(ing)に相当する。||購||＊の「購」の字は「あがなう」と訓読し、対価を支払って目当てのものを得る（つまり「買う」）ことを意味する。「入」の字は「いれる」と読まれ、「||購||＊」「納入」「導入」のような表現においては「（物を移し）入れる」という意味合いで用いられる。とりわけ「||購||＊」の語では「自分のものにする」という意味合いまで汲み取り得る。平たく言えば「||購||＊」とは「買い入れる」という意味合いを漢語で述べた言い方である。ちなみに現代中国語でも「||購||＊」の語は用いられる。繁体字では日本語と同じく「||購||＊」、簡体字では「?入」と表記される。「||購||＊」の語は名詞としても動詞としてもよく用いられる。動詞としては「買う」よりも幾分かたい響きがあり、「..","購入,こうにゅう","購入とは、「物を買う（こと）」という意味で用いられる表現である。英語のpurchaseもしくはbuy(ing)に相当する。購入の「購」の字は「あがなう」と訓読し、対価を支払って目当てのものを得る（つまり「買う」）ことを意味する。「入」の字は「いれる」と読まれ、「購入」「納入」「導入」のような表現においては「（物を移し）入れる」という意味合いで用いられる。とりわけ「購入」の語では「自分のものにする」という意味合いまで汲み取り得る。平たく言えば「購入」とは「買い入れる」という意味合いを漢語で述べた言い方である。ちなみに現代中国語でも「購入」の語は用いられる。繁体字では日本語と同じく「購入」、簡体字では「?入」と表記される。「購入」の語は名詞としても動詞としてもよく用いられる。動詞としては「買う」よりも幾分かたい響きがあり、「購入なさいますか」「ご購入の際には～」というような丁寧な表現において用いられやすい。名詞としては「購入履歴」「購入日」「即日購入」等々のように他の名詞と連結して用いられるこおが多い。「購入」と同じく「買う」の意味で用いられる漢語表現には「購買」「決済」「買入」なども挙げ",Guess the Word or Reading,Text
"||哲||＊（||て||＊＊＊）とは、語弊を恐れずにわかりやすく言えば「真理を探究する知的営み」のことです。世界の根源や本質を見極めるための知的探究的な取組み、および、その知的探究を方法的に進めるための学問です。ただし、この「||哲||＊は真理を探究する知的営みである」という見解は、ある程度は妥当としても、決定的な定義ではありません。「||哲||＊とは何か」という問いに対する回答は、||哲||＊的立場によっても微妙に異なり、統一的見解は見出せない、その意味では極めて||哲||＊的な話題です。||哲||＊は、一般的には、《感覚的経験を超越した「形而上」の世界を対象とし、概念と論理とに依拠する、時代や文化などに左右されない、普遍的な真理への到達を目指す学問》として理解されます。あるいは、《世界のあらゆる事象を論理的に説明すること》である、ともいえるでしょう。||哲||＊は英語では phi..","哲学,てつがく","哲学（てつがく）とは、語弊を恐れずにわかりやすく言えば「真理を探究する知的営み」のことです。世界の根源や本質を見極めるための知的探究的な取組み、および、その知的探究を方法的に進めるための学問です。ただし、この「哲学は真理を探究する知的営みである」という見解は、ある程度は妥当としても、決定的な定義ではありません。「哲学とは何か」という問いに対する回答は、哲学的立場によっても微妙に異なり、統一的見解は見出せない、その意味では極めて哲学的な話題です。哲学は、一般的には、《感覚的経験を超越した「形而上」の世界を対象とし、概念と論理とに依拠する、時代や文化などに左右されない、普遍的な真理への到達を目指す学問》として理解されます。あるいは、《世界のあらゆる事象を論理的に説明すること》である、ともいえるでしょう。哲学は英語では philosophy（フィロソフィー）といいます。この語源はギリシア語の φιλοσοφ?α （philosophia）であり、もともとは「知を愛する」（loving knowledge）という意味の言葉です。このため、「哲学とは何か」という問いに対しては今日でも「哲学とは知",Guess the Word or Reading,Text
"（1）||握||＊とは、手指の関節を内側に曲げて物を潰すようにする動作の力の強さのことである。わかりやすくいうと、握る力のことである。||握||＊は、||握||＊計という器具を用いて計測することができる。日本人30歳～35歳の平均||握||＊は、男性の場合は47.5kg、女性の場合は28.8kgである。||握||＊の鍛え方としては、懸垂や指立て伏せなどが挙げられる。また、前腕筋を鍛える器具などでも||握||＊を鍛えることができる。（2）||握||＊とは、株式投資の関連分野において、特定銘柄の株をあくまでも保有し続る意思を指す俗な言い方。株価が高騰したり暴落したりといった動きがあると早々に手放してしまいたくなるような傾向を「||握||＊が弱い」と形容することがある。","握力,あくりょく","（1）握力とは、手指の関節を内側に曲げて物を潰すようにする動作の力の強さのことである。わかりやすくいうと、握る力のことである。握力は、握力計という器具を用いて計測することができる。日本人30歳～35歳の平均握力は、男性の場合は47.5kg、女性の場合は28.8kgである。握力の鍛え方としては、懸垂や指立て伏せなどが挙げられる。また、前腕筋を鍛える器具などでも握力を鍛えることができる。（2）握力とは、株式投資の関連分野において、特定銘柄の株をあくまでも保有し続る意思を指す俗な言い方。株価が高騰したり暴落したりといった動きがあると早々に手放してしまいたくなるような傾向を「握力が弱い」と形容することがある。",Guess the Word or Reading,Text
"||謄||＊とは、もととなる文書の内容をすべて写し取った文書のことである。一般的には戸籍||謄||＊や登記簿||謄||＊などの証明文書の写しを指すことが多い。例えば、戸籍には3つの種類があり、それぞれ||謄||＊を取り寄せることができる。戸籍||謄||＊（戸籍全部事項証明）は現時点の戸籍が書かれている文書である。ちなみに戸籍抄本は、戸籍個人事項証明といって、本人のみの情報が記載されている。結婚や離婚、死亡などによって戸籍に記載されている人が抜けていき、最後に誰もいなくなるとその戸籍は戸籍簿から削除される。このように削除された戸籍であることを証明する文書の写しを除籍||謄||＊（除籍全部事項証明）という。法令の改正により戸籍の形式が変更される場合がある。形式が変更される前の戸籍を改製戸籍といい、その写しを改製戸籍||謄||＊という。会社に関する||謄||＊には、会社登記簿||謄||＊（..","謄本,とうほん","謄本とは、もととなる文書の内容をすべて写し取った文書のことである。一般的には戸籍謄本や登記簿謄本などの証明文書の写しを指すことが多い。例えば、戸籍には3つの種類があり、それぞれ謄本を取り寄せることができる。戸籍謄本（戸籍全部事項証明）は現時点の戸籍が書かれている文書である。ちなみに戸籍抄本は、戸籍個人事項証明といって、本人のみの情報が記載されている。結婚や離婚、死亡などによって戸籍に記載されている人が抜けていき、最後に誰もいなくなるとその戸籍は戸籍簿から削除される。このように削除された戸籍であることを証明する文書の写しを除籍謄本（除籍全部事項証明）という。法令の改正により戸籍の形式が変更される場合がある。形式が変更される前の戸籍を改製戸籍といい、その写しを改製戸籍謄本という。会社に関する謄本には、会社登記簿謄本（履歴事項全部証明）や不動産登記簿謄本（登記事項全部証明）などが挙げられる。会社登記簿謄本は、会社登記簿の事項の履歴が書かれている文書である。不動産登記簿謄本は、不動産登記簿の権利変動履歴が書かれている文書である。",Guess the Word or Reading,Text
"||享||＊とは、その人が生きていた年数のことである。||享||＊の「享」は、うけるという意味があり、||享||＊は「天から享（う）けた年」と解釈することができる。||享||＊の使い方は、例えば「||享||＊九十」「||享||＊90」のように表記する。「||享||＊」には「年」の表記があるため、「歳」「才」を付けると重言になるため誤用になる。「||享||＊九十歳」「||享||＊90才」といった書き方は誤りである。||享||＊は数え年で表記する。||享||＊に満年齢を使うのは誤りである。||享||＊の語を使う場合には、満年齢から数え年を算出する必要がある。ちなみに、数え年と満年齢とでは、数え年のほうが1歳、2歳ほど多い。満年齢を使いたい場合は、||享||＊の代わりに没年を使用すればよい。||享||＊の類義語としては「没年」（ぼつねん）や「行年」（ぎょうねん）などが挙げられる。没年は、そ..","享年,きょうねん","享年とは、その人が生きていた年数のことである。享年の「享」は、うけるという意味があり、享年は「天から享（う）けた年」と解釈することができる。享年の使い方は、例えば「享年九十」「享年90」のように表記する。「享年」には「年」の表記があるため、「歳」「才」を付けると重言になるため誤用になる。「享年九十歳」「享年90才」といった書き方は誤りである。享年は数え年で表記する。享年に満年齢を使うのは誤りである。享年の語を使う場合には、満年齢から数え年を算出する必要がある。ちなみに、数え年と満年齢とでは、数え年のほうが1歳、2歳ほど多い。満年齢を使いたい場合は、享年の代わりに没年を使用すればよい。享年の類義語としては「没年」（ぼつねん）や「行年」（ぎょうねん）などが挙げられる。没年は、その人が死んだときの年齢という意味があり、行年は、いままでに生きていた年数という意味がある。",Guess the Word or Reading,Text
