Question,Answer,Comment,Instruction,Render As
"生命保険、または生命保険会社、などの意味の略称。「||生||＊業界」などという具合に使われる。","生保,せいほ","生命保険、または生命保険会社、などの意味の略称。「生保業界」などという具合に使われる。",Guess the Word or Reading,Text
"政治に携わる上での見解。選挙において、立候補者がテレビ・ラジオなどを通じて||政||＊を発表するものを「||政||＊放送」という。","政見,せいけん","政治に携わる上での見解。選挙において、立候補者がテレビ・ラジオなどを通じて政見を発表するものを「政見放送」という。",Guess the Word or Reading,Text
"水の供給を絶つこと、または水の供給を絶たれること。災害や事故の影響で水道が機能しなくなることを指す場合が多い。","断水,だんすい","水の供給を絶つこと、または水の供給を絶たれること。災害や事故の影響で水道が機能しなくなることを指す場合が多い。",Guess the Word or Reading,Text
"すでに経過した日々や、遠い過去を意味する語。","過日,かじつ","すでに経過した日々や、遠い過去を意味する語。",Guess the Word or Reading,Text
"正月を賀すること。年賀状で用いる。賀春。頌春。主に目下の者へ用いるとされ、よりかしこまった機会には「謹賀新年」などを用いる。","賀正,がしょう","正月を賀すること。年賀状で用いる。賀春。頌春。主に目下の者へ用いるとされ、よりかしこまった機会には「謹賀新年」などを用いる。",Guess the Word or Reading,Text
"||気||＊（||き||＊＊）とは、大気の圧力の強さを意味する。||気||＊を表す単位には水銀柱ミリメートル（mmHg）、ミリバール（mb）、パスカル（Pa）、ヘクトパスカル（hPa）が用いられる。||気||＊は正式には「標準大||気||＊」と呼ばれる。標準大||気||＊は大||気||＊の国際基準となる値で、1||気||＊（1atm）は1013.25hPa＝10万1325Pa＝760mmHg。||気||＊は、簡単に言えば空気の重さである。私たちの目には見えないが空気にも重さがあり、私たちの体は普段空気からの圧力を受けている。その圧力は、1平方cmの小さな面に1kgのものが乗っているのにほぼ等しい。||気||＊は地上が近いほど高く、高度が高いほど低くなる。標高の高い山に行くと未開封の袋菓子がパンパンに膨らむが、これは袋の中の||気||＊がその場所の||気||＊より高く、袋にかかる空気の..","気圧,きあつ","気圧（きあつ）とは、大気の圧力の強さを意味する。気圧を表す単位には水銀柱ミリメートル（mmHg）、ミリバール（mb）、パスカル（Pa）、ヘクトパスカル（hPa）が用いられる。気圧は正式には「標準大気圧」と呼ばれる。標準大気圧は大気圧の国際基準となる値で、1気圧（1atm）は1013.25hPa＝10万1325Pa＝760mmHg。気圧は、簡単に言えば空気の重さである。私たちの目には見えないが空気にも重さがあり、私たちの体は普段空気からの圧力を受けている。その圧力は、1平方cmの小さな面に1kgのものが乗っているのにほぼ等しい。気圧は地上が近いほど高く、高度が高いほど低くなる。標高の高い山に行くと未開封の袋菓子がパンパンに膨らむが、これは袋の中の気圧がその場所の気圧より高く、袋にかかる空気の圧力が小さくなることによって起こる現象である。気圧は大きく「低気圧」と「高気圧」に分けられる。低気圧は天気図上で周囲より気圧が低く、閉じた等圧線で囲まれた領域を指す。一方で高気圧は周囲より気圧が高い領域を指す。低気圧・高気圧にもさまざまな種類があり、前者には「温帯低気圧」「日本海低気圧」「南岸低気圧」",Guess the Word or Reading,Text
"法律文などで見られる、条項を箇条書きにした形式の文。単に「条」（じょう）とも言う。","条文,じょうぶん","法律文などで見られる、条項を箇条書きにした形式の文。単に「条」（じょう）とも言う。",Guess the Word or Reading,Text
"(1)主とする職業。それで生計を立てている第一の職業。類義語に「本業」、対義語に「副職」などを挙げることができる。(2)その道の専門家。プロ。片手間でこなすアマチュアとの対比で用いる表現。","本職,ほんしょく","(1)主とする職業。それで生計を立てている第一の職業。類義語に「本業」、対義語に「副職」などを挙げることができる。(2)その道の専門家。プロ。片手間でこなすアマチュアとの対比で用いる表現。",Guess the Word or Reading,Text
"手段や手法などを用いて物事を成し遂げる能力。","技術力,ぎじゅつりょく","手段や手法などを用いて物事を成し遂げる能力。",Guess the Word or Reading,Text
"物事の手順や作法などを教える本。ハウツー本。","教則本,きょうそくぼん","物事の手順や作法などを教える本。ハウツー本。",Guess the Word or Reading,Text
