Question,Answer,Comment,Instruction,Render as
青ざめる・青褪める,あおざめる,"主に顔色が、血の気が引いて青白くなるさまを意味する表現。顔面蒼白になる。","Ichidan verb,Ichidan verb",Image
上がる,あがる,"人前で緊張してしまい、平静な心持ちを保てなくなるさま、人の目を気にしてぎこちなくなってしまうさまなどを意味する表現。","auxiliary verb,Godan verb with 'ru' ending",Image
当てはまる,あてはまる,"合致すること、適合すること。もしくは、該当すること。「当て嵌まる」と書く。","Godan verb with 'ru' ending",Image
行き交う・行交う,いきかう,"人などが往復すること、往来することを意味する表現。","Godan verb with 'u' ending,Godan verb with 'u' ending",Image
入り交じる・入り混じる,いりまじる,"「混じる」を強調した表現。多くのものが混ざり合うさまなどを表す語。一般的には「入り交じる」の表記が用いられる。","Godan verb with 'ru' ending,Godan verb with 'ru' ending",Image
受け入れる・受け容れる・受入れる・受容れる,うけいれる,"人の主張や要求を聞き、それを承知・容認すること。聞き入れること。","Ichidan verb,Ichidan verb,Ichidan verb,Ichidan verb",Image
動き出す,うごきだす,"それまで動きのなかったものが、動きを見せはじめる。動き始める。物体や生物などから、抽象的なものまで、あらゆる物事について用いられるが、特にビジネス上のプロジェクトが始動することについて言うことが多い。","Godan verb with 'su' ending",Image
動き回る,うごきまわる,"あちらこちらと、動いて移動する。うろうろする。「下手にうろつく」といった意味合いで用いられることが多い。","Godan verb with 'ru' ending",Image
歌い上げる・謳い上げる,うたいあげる,"(1)歌や文章などに自分の感情をうまく表現することを意味する表現。(2)主に商品やサービスなどを熱心に宣伝することを意味する表現。","Ichidan verb,Ichidan verb",Image
打ちひしがれる・打ち拉がれる,うちひしがれる,"激しい打撃や精神的な苦痛などによってやる気を失ったり、またはがっかりしている、などの意味の表現。「打ち拉ぐ(うちひしぐ)」の受け身の表現だが、「打ち拉がれる」という受身の形で用いられることが多い。","Ichidan verb,Ichidan verb",Image
肯く,うなずく,"首を縦に振って同意・賛成・肯定の意味を示すこと。首を縦に振る動作は「頷く」、同意や賛成を表明することは「肯く」と表記することが多い。","Godan verb with 'ku' ending",Image
呻る・唸る,うなる,"低い声を漏らすさまなどを意味する表現。","Godan verb with 'ru' ending,Godan verb with 'ru' ending",Image
憂える,うれえる,"悪いことが起きるのではないか、と不安を抱くこと。他人の将来を考えて、重い気持ちになるときに「行く末を憂える」などと表現することがある。同音語としては、「愁える」が挙げられる。「世の中を憂える」「愁える」が、物悲しさや寂しさを含んだ感情を表すのに対して、「憂える」は、何かに対して心配するときや心を痛めるときに用いられることが多い。","Ichidan verb",Image
押し付ける,おしつける,"何かに力を加えることで、それ自体を動かさないようにすること、あるいは、物事を無理やり他人にやらせることなどを意味する表現。","Ichidan verb",Image
