question,answer,comment,instruction
"里
sample words:
阿里巴巴
亜爾加里
海底二万里",り,"里:village, hamlet, the country; parents' home
阿里巴巴(ありばば):Alibaba
亜爾加里(あるかり):alkali
海底二万里(かいていにまんり):Twenty Thousand Leagues Under the Sea: A Tour of .",Jouyou.
"柵
sample words:
柵状組織
立入禁止柵
鉄柵",さく,"柵:stockade, fence, palisade
柵状組織(さくじょうそしき):palisade layer
立入禁止柵(たちいりきんしさく):no-entry barrier
鉄柵(てっさく):iron fence; iron railing",Jouyou.
"汎
sample words:
汎愛
汎化
汎米主義",はん,"汎:pan-
汎愛(はんあい):philanthropy
汎化(はんか):generalization (psychology, linguistics, etc.)
汎米主義(はんべいしゅぎ):Pan-Americanism",Jouyou.
"膳
sample words:
膳越し
膳所
膳立て",ぜん,"膳:small low table; tray
膳越し(ぜんごし):rudely reaching over one's serving tray to grab f.
膳所(ぜんしょ):kitchen
膳立て(ぜんだて):laying the table; setting the stage; getting one'..",Jouyou.
"芯
sample words:
しゃ芯
芯切り
芯地",しん,"芯:wick
しゃ芯(しゃしん):mechanical pencil lead
芯切り(しんきり):snuffer; candle wick trimmer; douter
芯地(しんじ):foundation; padding; lining",Jouyou.
"蜜
sample words:
花蜜
はち蜜
蜂蜜入り",みつ,"蜜:honey, nectar, molasses, honeydew
花蜜(かみつ):nectar
はち蜜(はちみつ):honey
蜂蜜入り(はちみついり):containing honey",Jouyou.
"隙
sample words:
罅隙",げき,"隙:time; leisure; gap, crack; room, space; chance; u.
罅隙(こげき):slit; crevice; crack; crevasse",Jouyou.
"顎
sample words:
下顎
下顎骨
顎関節症",がく,"顎:jaw, chin
下顎(かがく):mandible; lower jaw
下顎骨(かがくこつ):lower jawbone; mandible
顎関節症(がくかんせつしょう):temporomandibular joint dysfunction; TMJ; temporo.",Jouyou.
"鬱
sample words:
鬱気
鬱金香
鬱陶しい",うつ,"鬱:gloom, depression, melancholy
鬱気(うっき):gloomy; melancholy
鬱金香(うっこんこう):tulip
鬱陶しい(うっとうしい):depressing; troublesome; irritating; cloudy; gloo.",Jouyou.
"麺
sample words:
すなっく麺
ぴびん麺
冷やし麺",めん,"麺:noodles; wheat flour
すなっく麺(すなっくめん):snack noodle
ぴびん麺(ぴびんめん):bibim-guksu (Korean spicy noodles)
冷やし麺(ひやしめん):chilled noodles",Jouyou.
