question,answer,comment,instruction
刀|sample words:|一刀彫り|古刀|天下の宝刀,とう,"刀:sword, blade|一刀彫り(いっとうぼり):one-knife carving|古刀(ことう):old sword|天下の宝刀(てんかのほうとう):trump card; one's last resort",Jouyou. JLPT : N1
丁|sample words:|四丁|背丁|丁子油,ちょう,"丁:fourth; adult male; servant. counter for guns, to..|四丁(しちょう):ladder|背丁(せちょう):print signature; signature|丁子油(ちょうじゆ):clove oil",Jouyou. JLPT : N1
第|sample words:|第五|第五趾|第二,だい,"第:residence. number (1, 2, 3, etc.)|第五(だいご):fifth|第五趾(だいごし):little toe|第二(だいに):second",Jouyou. JLPT : N1
級|sample words:|すとろ級|すぱへび級|弩級,きゅう,"級:grade, class, rank; steps; decapitated head|すとろ級(すとろきゅう):straw weight|すぱへび級(すぱへびきゅう):super heavyweight|弩級(どきゅう):dreadnought class (of warship)",Jouyou. JLPT : N1
詩|sample words:|詩がるた|詩句|自由詩,し,"詩:poem, poetry|詩がるた(しがるた):utagaruta with jueju poetry|詩句(しく):verse|自由詩(じゆうし):free verse",Jouyou. JLPT : N1
博|sample words:|博戯|博打打|博奕宿,ばく,"博:command esteem, win acclaim; gain, receive. docto.|博戯(ばくぎ):gambling game; game of chance|博打打(ばくちうち):gamester; professional gambler|博奕宿(ばくちやど):gambling den",Jouyou. JLPT : N1
博|sample words:|該博な知識|賭博|賭博師,はく,"博:command esteem, win acclaim; gain, receive. docto.|該博な知識(がいはくなちしき):profound knowledge|賭博(とばく):gambling|賭博師(とばくし):gambler; gamester",Jouyou. JLPT : N1
氏|sample words:|か氏|氏ぬ|氏の意見,し,"氏:clan; lineage, birth; surname|か氏(かし):Fahrenheit|氏ぬ(しぬ):to die|氏の意見(しのいけん):his opinion",Jouyou. JLPT : N1
票|sample words:|電子投票機|投票制度|票読み,ひょう,票:label; ballot; ticket; sign|電子投票機(でんしとうひょうき):electronic voting machine|投票制度(とうひょうせいど):voting system|票読み(ひょうよみ):estimation of votes (in an election); announcing .,Jouyou. JLPT : N1
脈|sample words:|語脈|遅脈|脈あり,みゃく,脈:vein (of ore); blood vessel; pulse; pulsation; ho.|語脈(ごみゃく):word linkage|遅脈(ちみゃく):slow pulse|脈あり(みゃくあり):having a pulse; having a romantic interest,Jouyou. JLPT : N1
