Question,Answer,Comment,Instruction,Render as
一,"いち","one;1;best;first;foremost;beginning;start;a (single);one (of many);ace;bottom string (on a shamisen, etc.)",Guess the Onyomi,Image
七,"しち","seven",Guess the Onyomi,Image
万,"まん","10,000;ten thousand;myriad;everything;all;various",Guess the Onyomi,Image
三,"さん","three;3",Guess the Onyomi,Image
上,"じょう","from the standpoint of;from the viewpoint of;with respect to;in terms of;as a matter of;in view of;so far as ... is concerned;on;above;on top of;aboard (a ship or vehicle);the best;top;first class;first grade;first volume (of a two or three-volume set);first book;with my compliments",Guess the Onyomi,Image
両,"りょう","both (hands, parents, sides, etc.);counter for carriages (e.g. in a train);counter for vehicles;traditional unit of weight (for gold, silver and drugs), 4-5 monme, 15-19 g;pre-Meiji unit of currency, orig. the value of one ryō of gold;traditional measure of fabric, 2 tan;ryō;tael;unit of weight under the ritsuryō system, 1/16 kin, 42-43 g;counter for suits of clothing, sets of armor, etc.",Guess the Onyomi,Image
中,"ちゅう","medium (size);average (grade, level, etc.);middle;in;within;out of (e.g. ten people);among;during;while;in (the course of);within (a period);throughout;currently (doing);in the process of;in the middle of;under (e.g. construction, investigation);middle way;moderation;second volume (of three);junior high school;middle school;China",Guess the Onyomi,Image
主,"しゅ","(one's) master;Lord;the main thing;the majority;the primary concern",Guess the Onyomi,Image
九,"きゅう,く","nine;9,nine;9",Guess the Onyomi,Image
二,"に","two;2",Guess the Onyomi,Image
五,"ご","five;5",Guess the Onyomi,Image
京,"きょう","imperial capital (esp. Kyoto);final word of an iroha poem;10^16;10,000,000,000,000,000;ten quadrillion",Guess the Onyomi,Image
人,"じん,にん","-ian (e.g. Italian);-ite (e.g. Tokyoite);-er (e.g. performer, etc.);person working with ...;man;person;people,counter for people",Guess the Onyomi,Image
内,"ない","within ...;inside ...",Guess the Onyomi,Image
仕,"し","official;civil service",Guess the Onyomi,Image
他,"た","other (esp. people and abstract matters)",Guess the Onyomi,Image
件,"けん","matter;affair;case;item;subject;counter for (received) emails, text messages, voicemail messages, etc.;counter for accounts (on a website, email service, etc.)",Guess the Onyomi,Image
任,"にん","obligation;duty;charge;responsibility",Guess the Onyomi,Image
会,"え,かい","gathering (esp. Buddhist, festive, etc.),meeting;assembly;party;gathering;conference;athletic meet;society;association;club",Guess the Onyomi,Image
位,"い","rank;place (e.g. first place);decimal place;counter for ghosts",Guess the Onyomi,Image
住,"じゅう","dwelling;living",Guess the Onyomi,Image
作,"さく","work (e.g. of art);production;harvest;cultivation;farming;crop;yield;technique",Guess the Onyomi,Image
例,"れい","example;instance;illustration;case;precedent;custom;habit;practice;usage",Guess the Onyomi,Image
便,"びん","flight (e.g. airline flight);trip (e.g. train trip);service;mail;post;letter;opportunity;chance",Guess the Onyomi,Image
信,"しん","honesty;sincerity;fidelity;trust;reliance;confidence;(religious) faith;devotion;counter for received messages",Guess the Onyomi,Image
偉,"い","greatness",Guess the Onyomi,Image
全,"ぜん","all;whole;entire;complete;total;pan-;complete (set);in total",Guess the Onyomi,Image
八,"はち","eight;8",Guess the Onyomi,Image
六,"ろく","six;6",Guess the Onyomi,Image
具,"ぐ","tool;means;ingredients (added to soup, rice, etc.);counter for sets of armor, utensils, furniture, etc.",Guess the Onyomi,Image
円,"えん","yen (Japanese monetary unit);circle",Guess the Onyomi,Image
分,"ふん,ぶん","minute (unit of time);fun (one tenth of a monme, 5.787 grains),part;portion;share;amount;worth (as in 'two days' worth');enough (for);one's means;one's place;one's lot;one's social position;one's duty;one's part;condition;state (of affairs);extent;rate (as in 'at this rate');in proportion to;just as much as;to the same degree;content (e.g. alcohol);percentage;equivalent to (e.g. an old brother)",Guess the Onyomi,Image
切,"せつ","eager;earnest;ardent;kind;keen;acute;OFF (on switch)",Guess the Onyomi,Image
列,"れつ","row;line;file;column;queue;rank;procession;company (of someone);group;ranks;sequence;counter for rows",Guess the Onyomi,Image
判,"はん","seal;stamp;monogram signature;judgment;judgement;size (of paper or books)",Guess the Onyomi,Image
別,"べつ","distinction;difference;discrimination;separate;different;another;extra;exception;exclusion;classified by;ranked by;according to",Guess the Onyomi,Image
利,"り","advantage;benefit;profit;interest",Guess the Onyomi,Image
制,"せい","system;organization;organisation;imperial command;laws;regulation;control;government;suppression;restraint;holding back;establishment",Guess the Onyomi,Image
刻,"こく","period of time (usu. a period of approx. two hours corresponding to one of the signs of the Chinese zodiac);carving;engraving;cutting;mincing;victory;strictness;cruelty",Guess the Onyomi,Image
前,"ぜん","last (i.e. immediately preceding);previous;ex-;former;pre- (e.g. premodern);before;earlier",Guess the Onyomi,Image
力,"りょく","strength;power;proficiency;ability",Guess the Onyomi,Image
加,"か","addition;Canada",Guess the Onyomi,Image
労,"ろう","labor;labour;toil;trouble;pains;work;effort;striving",Guess the Onyomi,Image
動,"どう","motion",Guess the Onyomi,Image
区,"く","ward;borough;city (in Tokyo);district (e.g. electoral);section;zone (e.g. postal)",Guess the Onyomi,Image
医,"い","medicine;the healing art;healing;curing;doctor",Guess the Onyomi,Image
十,"じゅう","ten;10;ten years of age;book containing a collection of poems",Guess the Onyomi,Image
千,"せん","thousand;1,000",Guess the Onyomi,Image
半,"はん","half;semi-;half-past;odd number;han (unit of land area, approx. 595.8 m^2)",Guess the Onyomi,Image
単,"たん","single;simple;singles (tennis, badminton, etc.);win bet (bet which predicts the winner of a race)",Guess the Onyomi,Image
反,"はん","anti-;antithesis;fanqie;traditional Chinese spelling system in which two characters are used: the first one for the onset, the second one for rhyme and tone",Guess the Onyomi,Image
可,"か","acceptable;satisfactory;allowed;permitted;approval;being in favour;(a) vote in favour;aye;Pass (grade);Fair;C;D",Guess the Onyomi,Image
台,"だい","stand;rest;base;pedestal;platform;table;holder;support;rack;setting (of a gem);mounting;stock (in grafting);counter for machines and vehicles;level (e.g. price level);mark;range;decade (of one's life);tall building (with a fine view);(observation) platform;plateau;heights",Guess the Onyomi,Image
号,"ごう","number;edition;make;model;issue;part of that group;sobriquet;pen-name;size (of printing types, canvases, knitting needles, etc.);suffix attached to names of ships, trains, airplanes, etc.",Guess the Onyomi,Image
合,"ごう","traditional unit of volume, approx. 0.1804 litres;gō;traditional unit of area, approx 0.33 metres square;one-tenth of the way from the base to the summit of a mountain;conjunction;sum;total;synthesis (in dialectics);minor premise (in hetuvidya);counter for covered containers;counter for matches, battles, etc.",Guess the Onyomi,Image
同,"どう","the same;the said;likewise",Guess the Onyomi,Image
君,"くん","Mr;master;boy;Ms;miss;sir;madam",Guess the Onyomi,Image
否,"ひ","no;the noes",Guess the Onyomi,Image
和,"わ","sum;harmony;peace;Japan;Japanese-style",Guess the Onyomi,Image
品,"ひん","elegance;grace;refinement;class;dignity;article;item;counter for items (of food, etc.);counter for dishes or courses (at a restaurant)",Guess the Onyomi,Image
員,"いん","member",Guess the Onyomi,Image
商,"しょう","quotient;business;merchant;dealer;second degree (of the Japanese and Chinese pentatonic scale);Shang dynasty (of China;approx. 1600-1046 BCE);Yin dynasty",Guess the Onyomi,Image
問,"もん","counter for questions",Guess the Onyomi,Image
四,"し","four;4",Guess the Onyomi,Image
回,"かい","counter for occurrences;a time;an instance;inning (baseball);round;game;episode;chapter;instalment;Hui (people);Islam",Guess the Onyomi,Image
因,"いん","cause;factor;hetu (direct cause, esp. as opposed to indirect conditions);the basis of one's argument (in hetuvidya)",Guess the Onyomi,Image
図,"ず","drawing;picture;diagram;figure;illustration;chart;graph;map;sight;scene",Guess the Onyomi,Image
園,"えん","garden;orchard;park;plantation;kindergarten;nursery school;preschool",Guess the Onyomi,Image
地,"ち","earth;ground;land;soil;place;territory;bottom (of a package, book, etc.);earth (one of the five elements)",Guess the Onyomi,Image
堂,"どう","temple;shrine;chapel;hall;company;front room",Guess the Onyomi,Image
報,"ほう","information;news;report;reward;retribution",Guess the Onyomi,Image
変,"へん","strange;odd;peculiar;weird;curious;queer;eccentric;funny;suspicious;fishy;unexpected;change;incident;disturbance;disaster;accident;flat",Guess the Onyomi,Image
外,"がい","outside ...;beyond ...;not included in ...",Guess the Onyomi,Image
多,"た","multi-",Guess the Onyomi,Image
大,"だい","large;big;great;huge;vast;major;important;serious;severe;prominent;eminent;distinguished;-sized;as big as;the size of;university;large (e.g. serving size);large option;long month (i.e. having 31 days)",Guess the Onyomi,Image
天,"てん","sky;heaven;God;svarga (heaven-like realm visited as a stage of death and rebirth);deva (divine being of Buddhism);top (of a book);sole (of a Japanese sandal);beginning;start;tempura;India",Guess the Onyomi,Image
字,"じ","character (esp. kanji);letter;written text;handwriting;penmanship;the ... word (e.g. 'the L word' = 'love')",Guess the Onyomi,Image
学,"がく","learning;scholarship;study;erudition;knowledge;education;study of ...;-ology;-ics",Guess the Onyomi,Image
宅,"たく","house;home;one's house;one's home;one's husband",Guess the Onyomi,Image
実,"じつ","truth;reality;sincerity;honesty;fidelity;content;substance;(good) result",Guess the Onyomi,Image
客,"きゃく","guest;visitor;customer;client;shopper;spectator;audience;tourist;sightseer;passenger;counter for containers used to entertain guests",Guess the Onyomi,Image
室,"しつ","room;wife (of someone of high rank);scabbard;Chinese 'Encampment' constellation (one of the 28 mansions)",Guess the Onyomi,Image
害,"がい","injury;harm;evil influence;damage",Guess the Onyomi,Image
家,"け","house;family",Guess the Onyomi,Image
寒,"かん","midwinter;cold season;coldest days of the year",Guess the Onyomi,Image
対,"たい,つい","versus;against;vs.;v.;to (e.g. score of 4 to 2, ratio of 3 to 1, vote of 320 to 180);toward ...;to ...;with ...;against ...;anti-;equal footing;equal terms;opposite,pair;couple;set;antithesis;counter for items that come in pairs;counter for sets (of clothes, small furniture, utensils, etc.)",Guess the Onyomi,Image
小,"しょう","smallness;small item;short month (i.e. having fewer than 31 days);elementary school;smaller (of two things, places, etc. with the same name);inferior;younger (of two people with the same name);junior;unit of field area (approx. 400 sq m)",Guess the Onyomi,Image
少,"しょう","small;little;few",Guess the Onyomi,Image
局,"きょく","bureau;department;office (e.g. post, telephone);broadcasting station (e.g. television, radio);channel;exchange;affair;situation;game (of go, shogi, etc.)",Guess the Onyomi,Image
式,"しき","way;style;fashion;method;system;form;type;ceremony;rite;ritual;celebration;wedding (ceremony);equation;formula;expression;enforcement regulations (of the ritsuryō legal codes)",Guess the Onyomi,Image
差,"さ","variation;difference",Guess the Onyomi,Image
市,"し","city",Guess the Onyomi,Image
席,"せき","seat;location (of a gathering, etc.);place;position;post",Guess the Onyomi,Image
年,"ねん","year;counter for years (e.g. of an era), grades (e.g. school);period of an apprentice's contract (usu. ten years)",Guess the Onyomi,Image
店,"てん","store;shop;restaurant",Guess the Onyomi,Image
度,"ど","degree (angle, temperature, scale, etc.);counter for occurrences;strength (of glasses);glasses prescription;alcohol content (percentage);alcohol by volume;extent;degree;limit;presence of mind;composure",Guess the Onyomi,Image
座,"ざ","seat;place;position;status;gathering;party;company;atmosphere (of a gathering);stand;pedestal;platform;trade guild;attaches to the names of constellations;attaches to the names of theatres, cinemas and theatrical troupes;counter for theatres, deities, Buddhist images, tall mountains, and satokagura songs",Guess the Onyomi,Image
弱,"じゃく","a little less than;a little under;slightly fewer than;weakness;the weak;low (setting);-lower (seismic intensity)",Guess the Onyomi,Image
役,"やく","role;assignment;responsibility;duty;function;job;service;position (of responsibility);post;office;part (in a play, film, etc.);character;scoring combination;hand;yaku;meld",Guess the Onyomi,Image
後,"ご","after",Guess the Onyomi,Image
得,"とく","profit;advantage;benefit;gain;rebirth in paradise, entering nirvana",Guess the Onyomi,Image
御,"ご","honorific/polite/humble prefix;honorific suffix",Guess the Onyomi,Image
心,"しん","heart;mind;spirit;vitality;inner strength;bottom of one's heart;core (of one's character);nature;centre;center;core;heart (organ);Chinese 'Heart' constellation (one of the 28 mansions);friend",Guess the Onyomi,Image
念,"ねん","sense;idea;thought;feeling;desire;concern;attention;care",Guess the Onyomi,Image
急,"きゅう","sudden;abrupt;unexpected;urgent;pressing;steep;sharp;precipitous;rapid;swift;fast;emergency;crisis;danger;urgency;hurrying;haste;(in gagaku or noh) end of a song",Guess the Onyomi,Image
性,"せい","nature (of a person);sex;sex (i.e. sexual attraction, activity, etc.);gender;-ty;-ity;-ness;-cy",Guess the Onyomi,Image
悪,"あく","evil;wickedness;(role of) the villain (in theatre, etc.);the bad guy",Guess the Onyomi,Image
情,"じょう","feelings;emotion;sentiment;compassion;sympathy;passion;affection;love;the way things really are;the actual situation",Guess the Onyomi,Image
想,"そう","conception;idea;thought;samjna (perception)",Guess the Onyomi,Image
愛,"あい","love;affection;care;attachment;craving;desire;agape;Ireland",Guess the Onyomi,Image
才,"さい","... years old;age (of) ...;ability;gift;talent;aptitude;genius;sai;traditional unit of volume, approx. 1.8 ml",Guess the Onyomi,Image
数,"すう","several;a number of;quantity;amount;counting;figures;numbers;numeral;figure;number;destiny;fate;course of events;trend",Guess the Onyomi,Image
文,"ぶん","sentence;composition;text;writings;the literary arts (as opposed to the military arts);academia;literature;statement",Guess the Onyomi,Image
料,"りょう","fee;charge;rate;material",Guess the Onyomi,Image
断,"だん","decision;judgment;resolution",Guess the Onyomi,Image
新,"しん","new;neo-;newness;novelty;Gregorian calendar;Xin dynasty (of China;9-23 CE);Hsin dynasty",Guess the Onyomi,Image
方,"ほう","direction;side;area (in a particular direction);side (of an argument, etc.);one's part;type;category;field (of study, etc.);indicates one side of a comparison;way;method;manner;means;length (of each side of a square)",Guess the Onyomi,Image
族,"ぞく","tribe;clan;band;family;(taxonomical) tribe;group (of the periodic table)",Guess the Onyomi,Image
日,"にち","Sunday;nth day (of the month);counter for days;Japan",Guess the Onyomi,Image
易,"えき","type of cleromancy divination (described in the Book of Changes) performed with long sticks;The Book of Changes;Yijing;I Ching",Guess the Onyomi,Image
時,"じ","hour;o'clock;(specified) time;when ...;during ...",Guess the Onyomi,Image
晩,"ばん","evening;night;dinner;evening meal;counter for nights",Guess the Onyomi,Image
曲,"きょく","composition;piece of music;song;track (on a record);tune;melody;air;enjoyment;fun;interest;pleasure",Guess the Onyomi,Image
最,"さい","the most;the extreme;prime;conspicuous",Guess the Onyomi,Image
有,"ゆう","existence;possession;having;limited company",Guess the Onyomi,Image
服,"ふく","clothes (esp. Western clothes);counter for doses of medicine, gulps of tea, drags of a cigarette, etc.",Guess the Onyomi,Image
期,"き","period;time;opportunity;chance;occasion;age;term (e.g. in office);session (e.g. of parliament);stage (e.g. of a disease);season (e.g. of a TV series)",Guess the Onyomi,Image
未,"み","not yet;un-",Guess the Onyomi,Image
末,"まつ","the end (of);powder",Guess the Onyomi,Image
本,"ほん","book;volume;script;this;present;current;... in question;... at issue;main;head;principal;real;genuine;regular;proper;counter for long, cylindrical things;counter for films, TV shows, etc.;counter for goals, home runs, etc.;counter for telephone calls",Guess the Onyomi,Image
来,"らい","next (year, spring, etc.);coming;since (e.g. last month);for (e.g. 20 years)",Guess the Onyomi,Image
格,"かく","status;position;rank;method;way;style;rule;regulation;law;case;figure (form of a syllogism)",Guess the Onyomi,Image
業,"ぎょう","work;business;company;agency;study",Guess the Onyomi,Image
楽,"らく","comfort;ease;relief;(at) peace;relaxation;easy;simple;without trouble;without hardships;(economically) comfortable;raku pottery;sukha (happiness)",Guess the Onyomi,Image
様,"よう","appearing ...;looking ...;way to ...;method of ...ing;form;style;design;like;similar to;thing (thought or spoken)",Guess the Onyomi,Image
権,"けん","right (to do something);authority;power",Guess the Onyomi,Image
欠,"けつ","lack;deficiency;vacancy;absence;non-attendance",Guess the Onyomi,Image
欲,"よく","greed;craving;desire;appetite;hunger;avarice;wants",Guess the Onyomi,Image
正,"せい","(logical) true;regular;10^40;ten thousand undecillion;original;positive;greater than zero;thesis (in dialectics)",Guess the Onyomi,Image
歩,"ほ","step;stride;counter for steps",Guess the Onyomi,Image
歳,"さい","... years old;age (of) ...",Guess the Onyomi,Image
死,"し","death;(an) out;death penalty (by strangulation or decapitation;most severe of the five ritsuryō punishments)",Guess the Onyomi,Image
